Italian	Brazilian Portuguese	probability
a	ɐ	0.74
a	a	0.151
a	-	0.098
b	b	0.764
b	v	0.165
b	k	0.071
bː	ɾ	0.395
bː	v	0.382
bː	-	0.167
bː	ʃ	0.056
d	d	0.413
d	-	0.374
d	ʤ	0.148
d	t	0.052
dː	-	1.0
e	-	0.585
e	i	0.215
e	e	0.062
f	f	0.892
f	ʃ	0.081
i	i	0.355
i	e	0.291
i	-	0.152
i	u	0.131
i	ĩ	0.054
j	-	0.602
j	j	0.177
j	ʒ	0.099
j	ɾ	0.071
k	k	0.656
k	ɡ	0.238
k	ʃ	0.055
k	-	0.05
kː	k	0.504
kː	ʎ	0.455
l	l	0.418
l	w	0.326
l	-	0.237
lː	l	0.806
lː	w	0.133
lː	ɾ	0.061
m	m	0.892
mː	m	1.0
n	-	0.511
n	n	0.266
n	j̃	0.112
n	w̃	0.111
nː	n	1.0
o	u	0.706
o	-	0.209
o	o	0.057
p	p	0.646
p	b	0.24
p	ʃ	0.078
pː	b	1.0
r	h	0.548
r	ɾ	0.282
r	ɦ	0.128
rː	h	1.0
s	s	0.717
s	ʃ	0.24
sː	ʃ	0.663
sː	s	0.178
sː	j̃	0.132
t	d	0.41
t	t	0.402
t	ʧ	0.073
t	w	0.054
tː	t	0.365
tː	d	0.223
tː	-	0.16
tː	ʧ	0.12
tː	j_t	0.098
u	ˈa	0.402
u	u	0.327
u	i	0.152
u	e	0.119
v	v	0.961
w	w	0.502
w	-	0.395
w	ˈõ	0.074
z	z	0.799
z	s	0.132
ŋ	-	0.666
ŋ	j̃	0.334
ɡ	ɡ	0.923
ɡ	-	0.077
ɲː	j̃	1.0
ʃː	ʃ	0.857
ʃː	s	0.143
ʎː	ʎ	0.825
ʎː	l	0.175
ʣ	-	1.0
ʣː	j	1.0
ʤ	ʒ	0.643
ʤ	-	0.329
ʤː	j	0.514
ʤː	-	0.458
ʦ	s	1.0
ʦː	s	1.0
ʧ	s	0.426
ʧ	j_ʃ	0.27
ʧ	z	0.148
ʧ	ʃ	0.129
ʧː	s	0.555
ʧː	-	0.445
ˈa	ˈa	0.537
ˈa	ˈɐ̃	0.392
ˈe	ˈe	0.609
ˈe	ˈẽ	0.162
ˈe	ˈĩ	0.079
ˈe	ˈi	0.063
ˈi	ˈĩ	0.426
ˈi	ˈi	0.319
ˈi	ˈe	0.184
ˈo	ˈo	0.341
ˈo	ˈõ	0.23
ˈo	ˈɔ	0.172
ˈo	ˈu	0.107
ˈo	ˈɐ̃	0.095
ˈu	ˈu	0.395
ˈu	ˈũ	0.365
ˈu	ˈõ	0.097
ˈu	ˈẽ	0.057
ˈɔ	ˈo	0.487
ˈɔ	ˈɔ	0.214
ˈɔ	-	0.095
ˈɔ	ˈõ	0.073
ˈɛ	ˈɛ	0.452
ˈɛ	ˈẽ	0.322
ˈɛ	ˈe	0.17
