Ukrainian	Old Prussian	probability
ˈ	-	1.0
ʦʲ	ɡ	1.0
ʦ	l	1.0
ʤ	i_t	1.0
ʒ	ɡ	1.0
ʍ	l	1.0
ʋʲ	v	1.0
ʊ	-	1.0
ʃ	-	1.0
ɫ	l	1.0
ɦʲ	ɡ	1.0
ɦ	ɡ	1.0
ɛ_ˈ	e	1.0
ɑ_ˈ	o	1.0
zʲ	z	1.0
x	s	1.0
tʲ	t	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
rʲ	r	1.0
r	r	1.0
p	p	1.0
nʲ	n	1.0
mʲ	m_e	1.0
m	m	1.0
lʲ_ɑ	eː	1.0
lʲ	l	1.0
j_ɑ	e_n	1.0
j	-	1.0
e_j	a_n	1.0
d_ɪ	ai̯	1.0
b	b	1.0
a	o	1.0
d	d	0.862
z	z	0.854
ɛ	-	0.817
ʋ	v	0.757
ɑ	-	0.646
ɪ	-	0.632
n	n	0.603
e	-	0.585
k	k	0.572
ʧ	k	0.513
i	a	0.513
ɔ_ˈ	i	0.511
ɪ_ˈ	s	0.506
w	v	0.5
w	a	0.5
ɪ_ˈ	u	0.494
ɔ_ˈ	a	0.489
ʧ	k_t	0.487
i	-	0.454
k	-	0.428
e	o_n	0.415
ɐ	i	0.404
ɐ	-	0.404
n	n_a	0.397
ɔ	-	0.388
ɪ	oːu̯	0.368
u	ŋ	0.333
u	u	0.333
u	-	0.333
ɔ	o	0.284
ɔ	u	0.258
ʋ	w	0.243
ɑ	e	0.214
ɐ	o	0.192
ɛ	e	0.183
z	ɡ_e	0.146
ɑ	n	0.139
d	-	0.138
ɔ	a	0.069
