Emilian	Occitan	probability
a	ɔ	0.692
a	a	0.219
a_d	a	0.503
b	b	0.738
b	β	0.202
b	-	0.059
d	d	0.455
d	ð	0.222
d	t	0.139
d	z	0.053
d	ʤ	0.053
d_ˈɛ	ˈa	1.0
e	-	0.461
e	e	0.305
e	j	0.107
e	w	0.083
f	f	1.0
i	i	0.464
i	e	0.4
i	-	0.129
j	-	0.432
j	l	0.325
j	ʎ	0.127
k	k	0.969
l	l	0.873
l	w	0.052
m	m	1.0
n	n	0.894
n	-	0.095
o	-	0.333
o	u	0.333
o	w	0.333
p	p	0.851
p	-	0.076
p	β	0.065
r	ɾ	0.52
r	r	0.305
r	-	0.174
s	s	0.777
s	e_s	0.162
t	t	0.73
t	ʧ	0.159
u	u	0.612
u	a_w	0.209
u	a	0.089
u	y	0.071
v	v	0.494
v	β	0.229
v	-	0.126
v	w	0.066
w	-	0.76
w	u	0.125
w	ɣ	0.084
z	ʦ	0.335
z	s	0.156
z	s_e	0.156
z	m	0.09
z	ɾ	0.09
z	z	0.072
z	d	0.058
ð	ʒ	0.482
ð	-	0.248
ð	ʧ	0.097
ð	ʤ	0.077
ð	ɲ	0.076
ŋ	-	0.4
ŋ	n	0.277
ŋ	ŋ	0.25
ŋ	m	0.062
ŋ_t	n	1.0
ɡ	ɣ	0.363
ɡ	ɡ	0.274
ɡ	k	0.167
ɡ	-	0.073
ɡ	ˈɔ_k	0.066
ɲ	ɲ	0.717
ɲ	ʒ	0.133
ɲ	n	0.126
ʤ	ɡ_l	0.719
ʤ	ʒ	0.203
ʧ	l	0.707
ʧ	ʎ	0.281
ˈa	ˈe	0.516
ˈa	ˈa	0.235
ˈa	ˈɛ	0.206
ˈa_d	ˈe	1.0
ˈa_ŋ	ˈa	1.0
ˈaː	ˈa	0.925
ˈe	ˈi	0.725
ˈe	ˈe	0.161
ˈe	ˈy	0.063
ˈe	ˈa	0.054
ˈi	ˈi	0.53
ˈi	ˈe	0.461
ˈiː	ˈi	0.341
ˈiː	ˈe	0.315
ˈiː	ˈɛ	0.259
ˈiː	-	0.064
ˈiː_r	ˈi	1.0
ˈo	ˈy	0.449
ˈo	ˈu	0.249
ˈo	ˈi	0.096
ˈo	w	0.063
ˈo	ɥ	0.063
ˈuː	ˈy	0.433
ˈuː	ˈu	0.252
ˈuː	ɥ	0.233
ˈuː	ˈɔ	0.061
ˈæ	ˈɛ	0.587
ˈæ	ˈe	0.408
ˈɔ	ˈɔ	0.581
ˈɔ	ɥ_ˈɛ	0.214
ˈɔ	ˈu	0.197
ˈɔː	ˈɔ	0.613
ˈɔː	ˈa_w	0.175
ˈɔː	ˈu	0.069
ˈɔː	ɥ	0.059
ˈɔː	-	0.051
ˈɛ	ˈa	0.435
ˈɛ	ˈɛ	0.419
ˈɛ_d	ˈa	1.0
ˈɛ_r	ˈa	1.0
ˈɛː	ˈɛ	0.736
ˈɛː	ˈa	0.101
ˈɛː	ˈe	0.096
ˈʌ	ˈu	0.601
ˈʌ	ˈɔ	0.159
ˈʌ	ˈy	0.127
ˈʌ	-	0.073
ˈʌu̯	ˈu	0.782
ˈʌu̯	u	0.099
ˈʌu̯	ˈy	0.099
ˈʌu̯_r	ˈu	1.0
θ	s	0.777
θ	-	0.08
θ	t	0.056
θ	ʤ	0.056
