Campidanese	Campidanese	probability
ˈɛ_z	ˈe	1.0
ˈe	j_ˈɛ	1.0
ʦ	-	1.0
ʤ_ˈe	j_ˈe	1.0
ʒ_i	ʃ_ə	1.0
ʃ	ʃː	1.0
ɾ_i	ɾ_ə	1.0
ɲ	ɲː	1.0
ɛ	ə	1.0
ɖː	lː	1.0
ɔ̆	-	1.0
ŋ	ŋ	1.0
w	w	1.0
s_k	ʃ_k	1.0
p_ɾ	k_j	1.0
p	p	1.0
o	-	1.0
n_ʤ	ɲː	1.0
n_u	n_ə	1.0
m_i	mː	1.0
k_a	kː_ə	1.0
j	-	1.0
ĭ	j	1.0
i_#>	#>	1.0
f_ɾ	ʃ	1.0
b_ˈi	v	1.0
b_ɾ	v	1.0
ă	-	1.0
a_ɾ	r	1.0
a_r	r	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_j	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_w	1.0
#>	ə_#>	1.0
ˈa	ˈa	0.957
f	f	0.947
l	l	0.943
k	k	0.938
ð	t	0.933
ʧ	ʃ	0.9
m	m	0.875
u	ə	0.841
ˈu	ˈu	0.833
d	d	0.769
n	n	0.763
ˈi	ˈi	0.75
ɭː	ʎː	0.75
ɡ	ɡ	0.75
ŭ	-	0.75
a	ə	0.735
z	-	0.714
s	s	0.7
b	v	0.667
r	ɾ_n	0.6
nː	nː	0.6
e	ə	0.6
ɾ	ɾ	0.585
i	ə	0.58
ˈɛ	ˈɛ	0.571
ʤ	ʤ	0.571
ɔ	-	0.571
t	t	0.556
β	p	0.5
β	-	0.5
ˈɔ	ˈɔ	0.5
ʒ	-	0.5
ʤ	-	0.429
ɔ	u	0.429
ɣ	k	0.412
r	rː	0.4
nː	n	0.4
e	-	0.4
t	tː	0.361
ʒ	ʃ	0.333
ˈo	w_ˈɔ	0.286
ˈɔ	ˈu	0.25
ˈɔ	ˈo	0.25
ˈi	ˈe	0.25
ɭː	lː	0.25
ɡ	-	0.25
ŭ	ə	0.25
ˈo	w	0.238
ɣ	ˈɔ_k	0.235
ɣ	kː_j	0.235
a	a	0.235
d	-	0.231
n	-	0.184
ˈɛ	ˈi	0.179
ˈɛ	ˈe	0.179
ɾ	r	0.171
ʒ	ʧ	0.167
ˈo	ˈɔ	0.143
ˈo	ˈo	0.143
z	j_ə	0.143
z	j	0.143
s	ʃ	0.133
m	mː	0.125
b	b_w	0.125
b	b	0.125
ɣ	-	0.118
i	i	0.116
i	ɾ_ə	0.101
ʧ	ʧː	0.1
s	sː	0.1
ɾ	-	0.098
ˈo	ˈɔ_r	0.095
ˈo	ˈu	0.095
ˈu	ˈo	0.083
ˈu	-	0.083
t	-	0.083
b	v_j	0.083
u	u	0.08
ˈɛ	ˈɛ_ɾ	0.071
ð	dː	0.067
s	-	0.067
k	kː	0.062
i	ɾ	0.058
i	v_ə	0.058
i	-	0.058
l	-	0.057
n	nː	0.053
f	fː	0.053
