Romansch	Galician	probability
b	b	1.0
i	e	1.0
k	k	1.0
p	p	1.0
u	o	1.0
ŋ	ŋ	1.0
ʧ	θ	1.0
ˈaː	ˈa	1.0
ˈe	ˈe	1.0
ˈeː	ˈe	1.0
ˈiə̯	ˈɛ	1.0
ˈo	ˈo	1.0
ˈuɔ̯	ˈo	1.0
ˈɔː	ˈɔ	1.0
ˈɛː	ˈɛ	1.0
f	β	0.191
v	b	0.631
w	-	0.651
ɲ	ɲ	0.811
ʃ	-	0.071
ˈɔ	ˈɔ	0.291
f	f	0.712
ʃ	ʃ	0.102
ʨ	t	0.112
ˈa	ˈa	0.52
ˈu	ˈɔ	0.122
ˈɛ	ˈɛ	0.672
n	n_ʊ	0.083
s	θ	0.063
t	ð	0.113
t	t_ʊ	0.123
ə	-	0.103
ʨ	k	0.733
ˈɛ	ˈe	0.223
d	ð	0.504
l	l	0.644
m	m_ɪ	0.184
n	-	0.114
ʃ	s	0.274
ʃ	θ	0.554
ʎ	ʎ	0.504
j	-	0.545
l	l_ʊ	0.135
l	-	0.175
n	ŋ	0.175
r	-	0.05
ə	ɐ	0.615
ɡ	ɣ	0.085
ɡ	ɡ	0.655
ˈa	-	0.275
ˈuː	ˈo	0.95
ˈɛ	ˈi	0.105
d	d	0.496
m	m	0.816
n	ɲ	0.16
r	ɾ_ʊ	0.076
r	r	0.116
ɡ	-	0.26
ʎ	ʎ_ʊ	0.496
ˈi	ˈe	0.066
ˈiː	ˈe	0.086
ˈu	ˈu	0.256
f	-	0.097
j	ˈe	0.117
r	ɾ	0.757
t	t_ɪ	0.117
t	t	0.577
ʨ	k_ʊ	0.087
ˈa	a	0.087
ˈi	ˈu	0.177
ˈi	ˈi	0.757
ˈiː	ˈu	0.127
ˈiː	ˈi	0.787
ˈu	ˈo	0.597
j	ɣ	0.058
j	ˈɛ	0.28
ə	a	0.108
ʥ	-	0.958
ʨ	t_ʊ	0.068
ˈa	ˈo	0.078
n	n	0.469
s	s	0.829
v	β	0.369
w	w	0.349
ə	e	0.109
ɲ	ɲ_ʊ	0.189
ˈɔ	ˈa	0.709
