Old French	Old French	probability
θ	ð_ɛ	1.0
ˈɔ_r	ˈɔ_ɾ	1.0
ˈɔ_j	ˈi	1.0
ˈỹ	ˈu	1.0
ˈy_j	ˈɔ	1.0
ˈy	ˈu	1.0
ˈu_r	ˈɔ_ɾ	1.0
ˈĩ	ˈi	1.0
ˈi_r	ˈi_ɾ	1.0
ˈi_#>	ˈi_ɛ_#>	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_j	ˈa	1.0
ʧ_j	k_ˈa	1.0
ʦ_ˈi	k_ˈi	1.0
ʤ_ə	j_u	1.0
ʤ	i_ɣ	1.0
ɡ_ˈu	b_ˈu	1.0
ɛ	i	1.0
ŋ_k	m_b	1.0
z	-	1.0
y	-	1.0
w_ˈɛ	ˈɔ	1.0
w_#>	u_#>	1.0
v_ə	b	1.0
v_r	ɛ_ɾ	1.0
ũ	ɔ	1.0
u_r	ɾ	1.0
s_ˈɛ	s_ˈi	1.0
r_ˈɛ	ɾ_ˈa	1.0
r_b	ɾ_b	1.0
p	p	1.0
o	-	1.0
m	m	1.0
l_#>	u_#>	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j_ˈe	j_ˈa	1.0
j_r	ɛ_ɾ	1.0
ĩ	i	1.0
i	i	1.0
f_l	f_ɾ	1.0
f_#>	ɛ_#>	1.0
f	f	1.0
b	b	1.0
ã_n	a_n	1.0
a	a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
<#	<#_b	1.0
ˈa	ˈa	0.9
t	t	0.895
ʧ	k	0.889
n	n	0.864
s	s	0.812
d	d	0.75
v	b	0.727
r	ɾ	0.701
l	l	0.677
ɡ	ɡ	0.667
s_#>	z_ɔ̆_#>	0.667
j_n	n_u	0.667
ˈi	ˈi	0.632
ə	a	0.61
ɲ	-	0.6
j_s	ɣ_ɛ	0.6
ˈũ	ˈɔ	0.588
ʎ	ʣ	0.571
ˈe	ˈa	0.545
w	-	0.538
#>	ɛ_#>	0.51
ˈɛ_f	ɛ	0.5
ˈɛ_f	u	0.5
ˈu	ˈu	0.5
ɔ	o	0.5
ɔ	i	0.5
p_l	p_ɾ	0.5
p_l	p_j	0.5
j_ˈɛ	ˈɛ	0.5
j_ˈɛ	ˈe	0.5
j_#>	ɣ_ɛ_#>	0.5
j_#>	ɣ_u_#>	0.5
<#_ʤ	<#_ʣ	0.5
<#_ʤ	<#_b	0.5
ʦ	k	0.471
ʎ	j_u	0.429
#>	u_#>	0.408
ˈẽ	ˈɛ	0.4
ɲ	ɲ	0.4
j_s	t_u	0.4
ˈẽ	ˈe	0.333
ɡ	b	0.333
u	ˈɔ	0.333
u	ɔ	0.333
u	u	0.333
s_#>	z_ŭ_#>	0.333
j_n	n	0.333
ˈɛ	ˈɛ	0.308
ˈu	ˈo	0.3
ʦ	-	0.294
ˈɛ	ˈe	0.269
ˈɛ	ˈa	0.269
ˈɔ	ˈo	0.269
ˈi	ˈɛ	0.263
d	-	0.25
ˈũ	ˈo	0.235
ʦ	ʦ	0.235
ˈɔ	ˈɛ	0.231
w	ˈɔ	0.231
w	ˈo	0.231
l	ɖː	0.226
j	ɣ	0.211
j	ɛ	0.211
ˈu	ˈɔ_j	0.2
ˈɔ	ˈi	0.192
ˈe	ɾ	0.182
v	-	0.182
ˈũ	-	0.176
ə	ɛ	0.16
j	ð	0.158
ˈe	ˈa_ð	0.136
ˈe	-	0.136
n	nː	0.136
ˈẽ	ˈi	0.133
ˈẽ	-	0.133
s	z	0.125
r	ɛ_ɾ	0.119
ˈɔ	ˈɔ	0.115
ˈɔ	ˈu	0.115
ʧ	-	0.111
ə	u	0.11
ˈi	ɛ	0.105
j	ˈɛ	0.105
j	ˈa	0.105
j	ɣ_ɛ	0.105
j	-	0.105
ˈa	-	0.1
l	ɾ	0.097
v	β	0.091
r	r	0.09
ˈɛ	ˈo_ɣ	0.077
ˈɛ	ˈi	0.077
ˈɔ	ˈa	0.077
s	u	0.062
r	ɛ	0.06
t	ð_u	0.053
t	-	0.053
