Bellunese	Bellunese	probability
ˈo_ɡ	ˈøː	1.0
ˈo_ŋ	ˈɔ̃	1.0
ˈo_v	ˈuː	1.0
ˈi_ŋ	ˈẽ	1.0
ˈe_ŋ	ˈɛ̃	1.0
ˈe_s	ʃ	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_r_#>	ˈiː_#>	1.0
ˈa_r	ˈe	1.0
ʤ	k	1.0
ɲ	ɲ	1.0
w_e_#>	#>	1.0
w	w	1.0
t_#>	#>	1.0
s_t	ˈɛ_s	1.0
s_k	ʃ	1.0
s_e	ʃ	1.0
s_#>	#>	1.0
r_t	ˈa_ʀ	1.0
r_o	ʀ	1.0
r_#>	#>	1.0
p	p	1.0
o_ŋ	ɔ̃	1.0
o_l	ɔ_l	1.0
m	m	1.0
k_ˈa	ʧ	1.0
k_a	ʧ	1.0
j_ˈe	ˈiː	1.0
j_u	ɛː	1.0
f	f	1.0
e_ŋ	ɛ̃	1.0
e_n	ɲː	1.0
e_#>	#>	1.0
b	b	1.0
a_ŋ	ɑ̃	1.0
a_v	f	1.0
a_#>	#>	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
#>	ˈa_#>	1.0
s	s	0.895
i	-	0.833
t	t	0.773
e	-	0.75
o	-	0.733
r	ʀ	0.731
θ	s	0.714
n	n	0.667
ð	ʤ	0.625
z	-	0.625
l	-	0.571
v	v	0.56
ˈɛ	j	0.556
j	l	0.545
k	k	0.538
l_#>	ˈa_#>	0.533
d	d	0.526
ʧ	k_l	0.5
ʧ	-	0.5
ŋ	ˈɛ̃	0.5
d	-	0.474
l_#>	#>	0.467
k	ʧ	0.462
ˈe	ˈɛ	0.455
j	-	0.455
l	l	0.429
ð	-	0.375
z	ʒ	0.375
ɡ	ɡ	0.357
ɡ	-	0.357
a	a	0.348
ˈi	ˈi	0.294
ˈi	-	0.294
θ	-	0.286
v	-	0.28
ˈɛ	-	0.278
ˈɔ	w	0.278
ˈu	ˈɔ	0.25
ˈu	ˈøː	0.25
ˈu	ˈy	0.25
ˈu	-	0.25
ŋ	ˈẽ	0.25
ŋ	-	0.25
ˈi	ˈɛ	0.235
t	-	0.227
ˈɔ	ˈɔ	0.222
ˈo	ˈuː	0.217
ˈa	ˈa	0.206
ˈe	w	0.182
ˈe	-	0.182
ˈi	ˈiː	0.176
ˈo	ˈɔ	0.174
ˈo	ˈøː	0.174
a	ɛ	0.174
ˈɛ	ˈɛ	0.167
ˈɔ	ˈoː	0.167
n	ˈɛ̃	0.167
n	-	0.167
i	ẽ	0.167
v	f	0.16
ˈa	ˈɛ	0.147
ˈa	ˈe	0.147
ɡ	w	0.143
ɡ	k	0.143
r	-	0.135
ˈo	w	0.13
a	ˈɔː_j	0.13
a	j	0.13
a	-	0.13
e	ˈɛː	0.125
e	ˈeː	0.125
ˈa	ˈɔː	0.118
ˈɔ	ˈuː	0.111
ˈɔ	ɔ	0.111
ˈɔ	-	0.111
s	ʃ	0.105
o	ɔ	0.1
o	j	0.1
ˈe	ˈøː	0.091
ˈe	j	0.091
ˈa	ˈiː	0.088
ˈa	w	0.088
ˈa	-	0.088
ˈo	ˈɔ̃	0.087
ˈo	ˈu	0.087
ˈo	-	0.087
a	n	0.087
r	ˈe	0.077
o	uː	0.067
ˈa	ɛ	0.059
ˈa	l	0.059
r	ˈa	0.058
