Gascon	Gascon	probability
β_ɔ	b_ɐ	1.0
ˈɛ_j	ˈa	1.0
ˈu_ŋ	ˈõũ̯	1.0
ˈo	ˈou̯_l	1.0
ˈi_ʎ	j_ˈɔə̯	1.0
ˈi_#>	ˈi_#>	1.0
ˈa_ŋ	ˈʌ̃	1.0
ˈa_w	ˈɔə̯	1.0
ˈa_#>	ˈeə̯_#>	1.0
ʦ_#>	θ_#>	1.0
ʦ	z	1.0
ʤ	-	1.0
ʃ_#>	s_#>	1.0
ʃ	s	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɲ	ɲ	1.0
ɣ	ɡ	1.0
ɔ_#>	#>	1.0
ð	d	1.0
z_ˈa	j	1.0
y	-	1.0
w_ˈa	v_ˈa	1.0
u	u	1.0
s_ˈa	s_ˈʌ̃	1.0
n_#>	n_t_#>	1.0
mː	t_m	1.0
m_i	m_ɐ	1.0
m	m	1.0
l_ɔ	l_ɐ	1.0
k_l	ʧ	1.0
k_#>	ɡ_#>	1.0
j_ˈe	ˈɛə̯	1.0
j_t	t	1.0
i	i	1.0
h	f	1.0
f	f	1.0
e_s	r_i	1.0
e_#>	#>	1.0
b	b	1.0
<#_ˈa	<#_ˈʌ̃	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_b	<#_v	1.0
<#_a_w	<#_u	1.0
<#_a_r	<#_r	1.0
<#	<#_l	1.0
t	t	0.929
p	p	0.929
k	k	0.913
n	n	0.882
ɔ	ɐ	0.867
a	ɐ	0.842
ɾ	r	0.808
r	r	0.783
ʎ	ʧ	0.75
w_#>	l_#>	0.727
w_ˈe	ˈɔ	0.714
β	v	0.667
ʒ	ð	0.6
z	z	0.6
ˈi	ˈi	0.591
ˈɛ	ˈɛə̯	0.577
s	s	0.569
ŋ	ŋ	0.545
j	-	0.538
ˈa	ˈeə̯	0.524
ˈɔ	ˈɔə̯	0.5
ŋ_#>	n_#>	0.5
ŋ_#>	#>	0.5
w_t	ˈeə̯_t	0.5
w_t	t	0.5
t_#>	l_#>	0.5
l	j	0.5
#>	ɐ_#>	0.462
ˈy	ˈo	0.455
w	v_ɐ	0.429
e	-	0.417
z	-	0.4
ˈe	ˈɛ	0.395
ˈu	ˈou̯	0.385
l	l	0.357
t_#>	d_#>	0.312
ˈu	ˈo	0.308
w_ˈe	ˈo	0.286
w	l	0.286
w	-	0.286
ˈy	ˈu	0.273
ŋ	n	0.273
w_#>	v_#>	0.273
ˈa	ˈʌ̃	0.262
ˈɔ	ˈɔ	0.25
ʎ	j	0.25
e	ɐ_r	0.25
ˈi	ˈẽ	0.227
s	θ	0.216
ʒ	ʤ	0.2
ʒ	-	0.2
ˈɛ	ˈeː	0.192
ɾ	-	0.192
t_#>	#>	0.188
ˈe	ˈeː	0.184
ˈi	ˈɛ	0.182
ŋ	j̃	0.182
β	b	0.167
β	-	0.167
ˈe	ˈi	0.158
a	a	0.158
s	-	0.157
ˈɛ	ˈɛ	0.154
ˈu	ˈɔ	0.154
ˈu	ˈou̯_r	0.154
j	ð	0.154
j	j	0.154
j	d	0.154
#>	r_#>	0.154
#>	l_#>	0.154
l	-	0.143
ˈy	ˈou̯	0.136
ˈy	-	0.136
ˈɔ	ˈu	0.125
ˈɔ	ˈo	0.125
ˈa	ˈa	0.119
n	-	0.118
#>	v_#>	0.115
#>	n_#>	0.115
e	ɐ	0.111
e	r	0.111
e	i	0.111
ɔ	n_ɐ	0.089
r	r_ɐ	0.087
r	-	0.087
k	ɡ	0.087
ˈe	ˈẽ	0.079
ˈe	-	0.079
ˈɛ	ˈi	0.077
t	l	0.071
p	-	0.071
s	z	0.059
ˈe	ˈɛə̯	0.053
