Eastphalian	Middle English	probability
ˈɛə̯	ˈaː	1.0
ˈɔʏ̯	ˈeː	1.0
ˈɒː_ɐ	ˈɛː_r	1.0
ˈøː	ˈeː	1.0
ˈyː	-	1.0
ˈaː	ˈa	1.0
ˈaʊ̯	ˈoː	1.0
ˈa_x	ˈi_ç	1.0
ʃ	ʃ	1.0
ɪ_ç	iː	1.0
ɡ	ə	1.0
ɒː	eː	1.0
ç	ç	1.0
z_ˈɪ	s_ˈi	1.0
x	x	1.0
w	w	1.0
v̥	f	1.0
s	s	1.0
r	r	1.0
p	p	1.0
l_ə	l_ə	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b	b	0.925
m	m	0.915
ˈiː	ˈiː	0.854
ˈœ	ˈu	0.83
ˈeo̯	ˈɛː	0.826
ˈɛː	-	0.812
ə	ə	0.773
ˈʊ	ˈu	0.758
n	n	0.733
t	t	0.731
ˈuː	ˈuː	0.726
z	s	0.726
v	w	0.704
l	l	0.617
ˈeː	-	0.611
ɣ	ɡ	0.61
j	-	0.608
ˈʏ	ˈi	0.604
ˈa	ˈa	0.566
ɐ	r	0.539
d	d	0.525
ˈɪ	ˈi	0.511
ˈɛ	ˈɛ	0.504
ŋ	ŋ_ɡ	0.493
ˈoː	ˈu	0.482
d	θ	0.475
ˈɒː	ˈaː	0.468
k	k	0.468
ˈʏ	ˈu	0.396
j	j	0.392
ɣ	-	0.39
ˈeː	ˈɛ	0.389
l	ɫ	0.383
ˈɪ	ˈiː	0.36
ˈoː	-	0.359
ˈɛɪ̯	ˈeː	0.338
ɐ	ə_r	0.331
ˈɔ	-	0.312
ˈɔ	ˈɔ	0.309
ˈɛɪ̯	ˈɔː	0.306
ˈuː	-	0.274
ˈɒː	ˈɛː	0.268
k	k_ə	0.266
ˈɒː	ˈoː	0.264
ˈa	ˈɔː	0.259
t	t_ə	0.234
ə	-	0.227
ˈɔ	ˈu	0.225
k	ʧ	0.21
ˈɛ	ˈi	0.19
ˈɛː	ˈɛː	0.188
ˈɛ	ˈæi̯	0.18
ŋ	ŋ	0.18
ŋ	n	0.18
ˈeo̯	-	0.174
ˈœ	ɛ	0.17
z	z_ə	0.164
ˈoː	ˈɔ	0.16
ˈɔ	ˈɔː	0.153
ŋ	n_ɡ	0.147
ˈiː	-	0.146
ˈʊ	-	0.145
ɐ	r_ə	0.13
ˈɛ	-	0.126
v	v	0.122
ˈa	-	0.121
ˈɛɪ̯	ˈɛ	0.111
ˈɛɪ̯	ˈiː_ə	0.11
z	z	0.11
ˈʊ	ˈoː	0.097
n	n_ə	0.096
v	ˈɛː_v	0.095
ˈɛɪ̯	-	0.088
m	ə_n	0.085
ˈɪ	ˈeː	0.082
v	ʍ	0.078
b	p	0.075
n	n_d	0.072
k	ʧ_ˈi	0.056
