Scots	Palatine German	probability
θ_ˈɪ	d̥_ˈɪ	1.0
θ	d̥	1.0
ˈʌu̯	ˈɔ_l	1.0
ˈɪ_n	ˈõː	1.0
ˈɛː	ˈɛː	1.0
ˈəi̯_n	ˈɑ̃ɪ̯	1.0
ˈɔɪ̯	ɪ	1.0
ˈøː	ˈuː	1.0
ˈiː_r	ˈoː_ɐ	1.0
ˈi_n	ˈĩː	1.0
ˈe_d	ˈoː_d̥	1.0
ˈaːɪ̯	ˈɪ	1.0
ˈaː	ˈɪ_ʃ	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ʤ	ɡ̊	1.0
ʍ	β	1.0
ʃ	ʃ	1.0
ɡ	ɡ̊	1.0
ɛ	n	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
ð	r	1.0
z	s	1.0
w_ˈi	ˈiː	1.0
v	β	1.0
tʰ	ʣ̥	1.0
s_t	ʃ_d̥	1.0
r_ˈiː	r	1.0
r_n	ɐ_n	1.0
r_d	ɐ_d̥	1.0
pʰ	b̥	1.0
n_d	n_ə	1.0
m	m	1.0
l_d	l_d̥	1.0
l	l	1.0
kʰ	kʰ	1.0
i_n	eː	1.0
i	ɪ_ʃ	1.0
h	h	1.0
f_r	f_r	1.0
f	f	1.0
e	ɪ	1.0
b	b̥	1.0
ˈəi̯	ˈaɪ̯	0.932
w	β	0.927
d	d̥	0.897
n	n	0.87
ˈo	ˈɔ	0.75
ə	ə	0.734
ˈʌ	ˈu	0.725
p	f	0.705
s	s	0.68
r	ɐ	0.67
ˈa	ˈɑ	0.646
ˈu	ˈau̯	0.637
ç	ʃ	0.604
ˈɛ	ˈɛ	0.562
ˈɑː	ˈɑ	0.55
x	x	0.506
x	-	0.494
ˈɪ	ˈɪ	0.489
ˈeː	ˈɑː	0.472
j	-	0.437
k	ɡ̊	0.435
t	s	0.427
ˈiː	ˈeː	0.397
ç	x	0.396
ˈiː	ˈiː	0.393
ˈuː	ˈau̯	0.385
ˈuː	-	0.364
ˈu	-	0.363
ˈø	ˈuː	0.36
ˈa	ˈɛ	0.354
ˈø	-	0.336
ˈe	ˈɛː	0.324
j	ɡ̊	0.315
ˈø	ˈoː	0.304
p	f_ə	0.295
r	r	0.292
k	ʃ	0.288
ˈi	-	0.28
k	x	0.277
ˈʌ	-	0.275
ə	-	0.266
s	ʃ	0.264
t	ʣ̥	0.255
ˈuː	ˈɔ_l	0.251
ˈo	-	0.25
ˈɛ	-	0.248
j	j	0.248
ˈɪ	-	0.231
ˈɑː	ˈɑ_l	0.225
ˈɑː	-	0.225
ˈi	ˈiː	0.217
ˈeː	ˈɑ	0.212
t	d̥	0.202
ˈi	ˈoː	0.191
ˈe	ˈɑ	0.188
ˈe	ˈɑː	0.185
ˈiː	ˈaɪ̯	0.175
ˈe	-	0.169
ˈeː	ˈɛː	0.158
ˈeː	ˈoː	0.158
ˈi	ˈɑː	0.143
ˈɪ	ˈɛ	0.133
ˈe	ˈeː	0.133
n	n_ə	0.13
t	s_ə	0.115
ˈɛ	ˈɛː	0.112
d	r_ə	0.103
ˈɪ	ˈɑ	0.082
ˈɛ	ˈɑː	0.078
w	β_ˈɛː	0.073
ˈəi̯	ˈau̯̯	0.068
ˈi	ˈɔ	0.068
ˈi	ˈuː	0.068
ˈɪ	ˈu	0.066
s	n_s	0.056
