Lithuanian	Lithuanian	probability
ˈ_#>	#>	1.0
ʒ	z	1.0
ʑ	z	1.0
ɫ	l	1.0
ɪ_ˈ_#>	#>	1.0
ɪ_ɫ	uː	1.0
ɪ_rʲ	r̩	1.0
ɪ_r	r̩	1.0
ɛʊ̯	uː	1.0
ɐɪ̯	iː	1.0
ɐ_s_#>	#>	1.0
ŋʲ	-	1.0
ŋ	-	1.0
z	aː	1.0
v	ʋ	1.0
uː	iː	1.0
uə̯	a	1.0
s_#>	#>	1.0
rʲ	r	1.0
pʲ	p	1.0
p	ɲ	1.0
mʲ	m	1.0
lʲ	l	1.0
kʲ	k	1.0
k_tʲ	c	1.0
j	-	1.0
eː_̂	i_̂	1.0
dʲ	d	1.0
bʲ	ʧ	1.0
aʊ̯	uː	1.0
aɪ̯	-	1.0
<#_ɐ	<#	1.0
<#_tʲ	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_kʲ	<#	1.0
ʊ	-	0.8
ɕ	s	0.8
vʲ	ʋ	0.8
r	r	0.778
̌	̂	0.759
d	d	0.75
b	b	0.75
ˈ	̂	0.737
n	-	0.714
k	k	0.714
ʃ	s	0.667
ɪ_ˈ	̂	0.667
ɡ	ɡ	0.667
t	t	0.636
m	m	0.625
tʲ	-	0.6
oː	-	0.6
nʲ	-	0.571
ɡʲ	ʒ	0.5
ɡʲ	-	0.5
sʲ	s	0.5
sʲ	-	0.5
iː	iː	0.5
iː	a	0.5
iə̯	iː	0.5
iə̯	-	0.5
eː	a	0.5
s	n	0.444
̂	̂	0.429
ɐ	a	0.429
nʲ	n	0.429
ɛ	eː	0.4
tʲ	t	0.4
oː	a	0.4
ɪ	i	0.375
æː	o	0.375
æː	e	0.375
m	-	0.375
aː	oː	0.375
aː	-	0.375
t	-	0.364
̂	̌	0.357
ʃ	x	0.333
ɪ_ˈ	o	0.333
s	r	0.333
ɪ	e	0.312
ɪ	-	0.312
ɛ	e_̂	0.3
ɛ	e	0.3
n	n	0.286
k	-	0.286
ˈ	-	0.263
ɐ	o	0.25
æː	-	0.25
eː	l_a	0.25
eː	iː	0.25
d	d̥	0.25
b	b̥	0.25
aː	o	0.25
s	s	0.222
r	-	0.222
̂	i_̂	0.214
ɐ	-	0.214
ʊ	a_k	0.2
ɕ	ʃ	0.2
vʲ	̂_ʋ	0.2
ɡ	ɡ̊	0.167
ɡ	-	0.167
̌	-	0.138
ɐ	uː	0.107
̌	̌	0.103
