Standard German	Standard German	probability
ˈɛː	ˈiː	1.0
ˈɔ_ɐ	ˈɔː	1.0
ˈœ	-	1.0
ˈøː	ˈyː	1.0
ˈuː_#>	ˈoː_#>	1.0
ˈuː	ˈoː	1.0
ˈoː_n	n	1.0
ˈeː_#>	ˈiː_#>	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʁ	ʀ	1.0
ɡ_n	n	1.0
ə_n	ə	1.0
ɐ_ʦ	ʦ	1.0
ɐ_n	n	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
tʰ	d	1.0
t_n	d_ə	1.0
p͡f	p	1.0
p	p	1.0
n_d	ŋ	1.0
m	m	1.0
l_ə	ɫ	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
h	h	1.0
eː	e	1.0
d	d	1.0
b̥	v̥	1.0
a	ˈo_n	1.0
<#_n	<#_n	1.0
ɐ	ɐ	0.946
f	f	0.917
s	s	0.913
ə	-	0.905
v	ʋ	0.9
ç	ɕ	0.889
ˈɔ	ˈɔ	0.818
x	x	0.8
ˈʏ	ˈœ	0.75
b	b	0.733
ɡ	j	0.7
ˈa	ˈa	0.697
ˈyː	ˈøː	0.667
#>	ɡ̊_#>	0.667
ˈoː	ˈuː	0.636
ˈiː	ˈeː	0.625
d̥	d̥	0.625
ˈɪ	ˈe	0.615
ɡ̊	ɕ	0.6
ˈɛ	ˈɛ	0.588
l	l	0.574
ˈʊ	ˈo	0.5
ɪ	ə	0.5
ɪ	-	0.5
ˈaʊ̯	ˈɔʊ̯	0.474
ˈɔʏ̯	ˈyː	0.444
ˈeː	ˈeː	0.444
n	n	0.432
l	ɫ	0.426
ˈaʊ̯	ˈuː	0.421
ɡ̊	ɣ̊	0.4
ˈaː	ˈaː	0.381
n	ə	0.378
d̥	ɡ̊	0.375
t	d̥	0.361
ˈyː	ˈʏ	0.333
ˈeː	ˈɛ	0.333
ˈaː	ˈoː	0.333
#>	ɕ_#>	0.333
ˈaɪ̯	ˈeː	0.32
ˈʊ	-	0.312
ˈɪ	ˈɪ	0.308
t	-	0.306
ˈɛ	ˈɛː	0.294
ˈaɪ̯	ˈeɪ̯	0.28
ˈʏ	-	0.25
ˈiː	ˈiː	0.25
t	t	0.25
ˈaɪ̯	ˈiː	0.24
ˈɔʏ̯	ˈʏ	0.222
ˈɔʏ̯	-	0.222
ˈeː	ˈɛː	0.222
x	-	0.2
b	v	0.2
ˈaː	ˈa	0.19
ˈʊ	ˈʊ	0.188
ˈɔ	ˈo	0.182
ˈoː	ˈɔ	0.182
ˈoː	-	0.182
ˈa	ˈaː	0.182
n	ŋ	0.162
ˈaɪ̯	-	0.16
ɡ	ɣ	0.15
ɡ	-	0.15
ˈiː	ˈɪ	0.125
ˈa	ˈɛ	0.121
ˈɛ	-	0.118
ˈɔʏ̯	ˈøʏ̯	0.111
ç	-	0.111
ˈaʊ̯	ˈoː	0.105
v	-	0.1
ˈaː	-	0.095
ə	ə	0.095
s	-	0.087
t	d	0.083
f	p	0.083
ˈɪ	ˈeː	0.077
b	-	0.067
ɐ	-	0.054
