Logudorese	Lombard	probability
a	a	0.843
a	-	0.102
b	ʋ	0.432
b	b	0.205
b	w	0.134
b	ʤ	0.07
b	k	0.063
d	d	0.868
d	t	0.132
e	-	0.839
e	e	0.064
ĕ	ˈɛ	1.0
f	f	1.0
i	-	0.465
i	i	0.165
i	e	0.118
i	ĩ	0.073
i	ˈe	0.051
j	-	0.579
j	j	0.209
j	ĩ	0.165
k	k	0.498
k	ʧ	0.218
k	-	0.135
k	ʦ	0.095
k	ʤ	0.055
l	l	0.88
l	-	0.12
m	m	0.763
m	-	0.191
n	n	0.508
n	-	0.373
n	ɲ	0.082
o	e	0.415
o	u	0.278
o	-	0.082
o	a	0.082
o	o	0.082
o	y	0.06
p	p	0.958
r	r	0.552
r	-	0.31
r	j	0.066
s	s	0.695
s	-	0.155
s	ʃ	0.15
t	t	0.705
t	-	0.095
t	d	0.084
t	l_t	0.084
u	-	0.867
u	j	0.066
v	b	1.0
z	-	0.655
z	ʦ	0.186
z	s	0.16
ð	d	0.334
ð	-	0.303
ð	r	0.157
ð	t	0.157
ŋ	ʦ	0.461
ŋ	ã	0.268
ŋ	ˈũː	0.176
ŋ	n	0.095
ɖ	l	0.486
ɖ	-	0.396
ɖ	ʤ	0.078
ɡ	ʤ	0.499
ɡ	ɡ	0.283
ɡ	-	0.208
ɣ	-	0.429
ɣ	d	0.298
ɣ	ʧ	0.188
ɣ	z	0.058
ɲ	ɲ	0.651
ɲ	-	0.349
ʣ	-	1.0
ʦ	t	1.0
ˈa	ˈa	0.639
ˈa	ˈãː	0.138
ˈa	ˈaː	0.119
ˈa	-	0.061
ˈe	ˈɛ	0.403
ˈe	ˈe	0.165
ˈe	ˈe_j	0.094
ˈe	ˈɛ̃ː	0.084
ˈe	ˈeː	0.055
ˈi	ˈi	0.287
ˈi	ˈe	0.254
ˈi	ˈy	0.115
ˈi	ˈẽː	0.081
ˈi	ˈeː	0.069
ˈi	ˈa	0.059
ˈi	ˈĩː	0.055
ˈo	ˈɔ	0.319
ˈo	ˈø	0.14
ˈo	ˈu	0.119
ˈo	ˈyː	0.106
ˈo	ˈøː	0.106
ˈo	ˈo	0.103
ˈo	-	0.091
ˈu	ˈy	0.335
ˈu	ˈu	0.279
ˈu	ˈyː	0.144
ˈu	-	0.107
ˈu	ˈi	0.059
β	ʋ	0.562
β	-	0.177
β	b	0.149
β	f	0.113
