Logudorese	Campidanese	probability
ă	ă	1.0
d	d	1.0
ĕ	ĕ	1.0
f	f	1.0
j	j	1.0
n	n	1.0
nː	nː	1.0
ŏ	ŏ	1.0
p	p	1.0
rː	rː	1.0
s	s	1.0
sː	sː	1.0
t	t	1.0
u	u	1.0
ŭ	ŭ	1.0
v	v	1.0
w	w	1.0
z	z	1.0
ð	ð	1.0
ɖ	d	1.0
ɖː	ɖː	1.0
ɲː	ɲː	1.0
ʦ	ʦ	1.0
ˈa	ˈa	1.0
ˈe	ˈe	1.0
ˈi	ˈi	1.0
ˈo	ˈo	1.0
ˈu	ˈu	1.0
β	β	1.0
k	k	0.791
b	b	0.942
i	i	0.842
l	l	0.992
o	o	0.782
e	e	0.343
i	-	0.053
m	ŋ	0.13
ŋ	ŋ	0.203
a	a	0.974
ɡ	ɡ	0.604
i	e	0.105
ɣ	-	0.065
ʣ	ʤ	0.085
ʣ	ʣ	0.915
e	i	0.576
ɡ	-	0.396
e	j	0.057
m	m	0.87
ŋ	n	0.797
ɣ	ɣ	0.537
b	k_w	0.058
o	u	0.218
ɣ	ʒ	0.398
k	ʧ	0.209
r	r	0.979
