East Franconian	Old West Norse	probability
β	v	1.0
ˈɛː	-	1.0
ˈɒː	ˈɔ	1.0
ˈɒ_f	pː	1.0
ˈoː_ŋ	ʝː	1.0
ˈiː_ɐ	ˈeː_r̥	1.0
ˈa	k_ˈɑ	1.0
ʃ_d̥	s_t	1.0
ɣ	ɣ	1.0
ə	r̥ː	1.0
ɐ_d̥	r_ð	1.0
z̥_n	t_ɑ	1.0
z̥	t	1.0
v̥	-	1.0
r	r	1.0
n_a	nː_ɑ	1.0
j	-	1.0
i	-	1.0
h_ˈɛ	ç_ˈɑ	1.0
h	h	1.0
eː	ɑː	1.0
b̥͡v̥	pʰ	1.0
v	v	0.822
b̥	b	0.807
ˈaʊ̯	ˈuː	0.777
l	l	0.752
ɐ	r	0.729
ˈʊ	ˈu	0.706
m	m	0.691
kʰ	kʰ	0.679
ɡ̊_n	ɡː	0.667
f	f	0.667
ˈaː	ˈɛi̯	0.651
ˈaɪ̯	ˈiː	0.646
s	s	0.639
a	ɑ	0.62
ɣ̊	ɣ	0.589
x	r̥	0.584
ˈɒ	ˈɑ	0.582
ɾ	ð	0.555
ɡ̊	-	0.549
ˈeː	-	0.524
ˈoː	ˈɑː	0.52
ˈɪ	ˈi	0.501
ç	k	0.481
ˈeː	ˈe	0.476
n	n	0.461
ɾ	ð_i	0.445
ŋ	ŋ	0.445
ʦ	tʰ	0.429
x	tː	0.416
ˈuː	ˈoː	0.413
ɣ̊	ɡ	0.411
ʃ	s	0.399
a	a	0.38
ʦ	t	0.374
d̥	ð	0.367
ˈɔ	ˈu	0.365
s	t	0.361
ˈɛ	ˈe	0.358
ɡ̊_n	cː	0.333
ˈoː	ˈɑ	0.321
kʰ	cʰ	0.321
d̥	θ	0.309
ç	-	0.293
ˈɔ	ˈo	0.284
ŋ	-	0.261
ʃ	s_k	0.258
ʃ	s_c	0.247
ˈɛ	-	0.244
ɡ̊	ɟ	0.237
ˈɔ	-	0.234
ˈuː	-	0.226
ç	ɣ	0.226
ˈaʊ̯	-	0.223
ˈiː	j_ˈuː	0.214
ˈɒ	ˈɑː	0.213
ɡ̊	kː	0.213
l	lː	0.211
ˈaː	ˈɑu̯	0.199
ˈɪ	-	0.198
ʦ	-	0.198
f	p	0.197
d̥	d	0.197
ˈɪ	ˈy	0.192
ˈʊ	ˈo	0.185
n	ɑ	0.181
ˈaɪ̯	ˈyː	0.178
ŋ	ɣ	0.177
ˈaɪ̯	-	0.176
ˈiː	j_ˈoː	0.171
ˈiː	-	0.16
ˈoː	-	0.159
ˈiː	ˈi	0.155
ˈaː	ˈɑ	0.15
ˈuː	ˈɑu̯	0.141
n	nː	0.137
ˈuː	ˈo	0.136
f	v	0.136
ˈɛ	ˈɛ	0.125
ˈiː	ˈøː	0.123
ŋ	k	0.118
ˈɛ	ˈu	0.117
ˈɔ	ˈy	0.117
ˈiː	j	0.116
ˈʊ	ˈoː	0.11
ˈɪ	ˈe	0.109
m	v	0.108
n	-	0.107
ɐ	r̥ː	0.106
ˈɒ	ˈa	0.103
ˈɒ	-	0.102
m	mː	0.099
v	-	0.098
b̥	v_r̥	0.097
b̥	f	0.097
ʃ	c	0.095
ˈɛ	j_ˈɑ	0.084
ˈuː	ˈɔː	0.084
v	x	0.079
ˈɛ	e	0.072
ˈiː	ˈeː	0.062
n	s	0.053
m	v_ɑ	0.053
