Mainland North Frisian	Mainland North Frisian	probability
ˈɛː_d	ˈeː	1.0
ˈɒː_d	ˈaː_t	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈuː_l	ˈaː	1.0
ˈu	-	1.0
ʀ_t	ʀ	1.0
ʀ_n	ʀ_ə	1.0
ɡ	ɣ	1.0
ɛi̯	i	1.0
ə_ʀ	ʀ	1.0
ə_l	ə_l	1.0
ə_#>	#>	1.0
ç	ɣ̊	1.0
z̥	d̥	1.0
x_t	x	1.0
x_#>	k_#>	1.0
x	ɣ̊	1.0
w	ɣ	1.0
v̥	v̥	1.0
tʲ	t	1.0
s_t	s	1.0
s_#>	z̥_#>	1.0
p	p	1.0
n_t	n_t	1.0
n_#>	#>	1.0
m	m	1.0
lʲ_#>	#>	1.0
l_ˈiː	l_ˈeː	1.0
l	l	1.0
j_ˈa	ˈeː	1.0
i_#>	ə_ɣ̊_#>	1.0
i	ɪ	1.0
h	ɦ	1.0
f	v	1.0
<#_ʀ	<#_ʀ	1.0
<#_j	<#	1.0
<#	<#_β	1.0
ə	ə	0.964
v	β	0.923
b	b	0.917
d	d	0.9
ʀ	ʀ	0.857
ŋ	ŋ	0.857
k	k	0.852
n	n	0.846
d̥	d̥	0.818
t	t	0.757
lʲ	l	0.75
#>	k_#>	0.714
ˈɔ	ˈʊː	0.667
ˈaː	-	0.667
s	z	0.629
nʲ	n	0.625
j	ɣ	0.625
ˈai̯	-	0.6
z	-	0.6
v_ə	v_ə	0.6
ˈɛ	-	0.571
ˈɒː	ˈɑ	0.571
ˈyː	ˈu	0.5
ˈeː	-	0.5
dʲ	d̥	0.5
dʲ	-	0.5
ˈʏ	ˈuː	0.467
ʃ	s	0.467
ˈɛ	ˈøː	0.429
ˈɒː	-	0.429
ˈɔː	-	0.417
ˈɒ	ˈɑ	0.4
ˈai̯	ˈɪː	0.4
ʃ	ʃ	0.4
z	t	0.4
v_ə	ə_v̥	0.4
ˈi	ˈiː	0.381
nʲ	n_d̥	0.375
j	ˈeː	0.375
s	s	0.371
ˈʏ	-	0.333
ˈʊ	ˈʊː	0.333
ˈɛː	ˈeː	0.333
ˈɛː	ˈaː	0.333
ˈɛː	-	0.333
ˈɔu̯	ˈɒː	0.333
ˈɔu̯	ˈøː	0.333
ˈɔu̯	-	0.333
ˈɔ	-	0.333
ˈaː	ˈɛː	0.333
ˈiː	ˈɛː	0.296
ˈʊ	-	0.286
ˈi	-	0.286
#>	ɣ̊_#>	0.286
ˈuː	β	0.273
ˈuː	ˈɔː	0.273
ˈuː	-	0.273
ˈœ	ˈʊː	0.267
ˈɔː	ˈɔ	0.25
ˈyː	ˈʊː	0.25
ˈyː	-	0.25
ˈa	-	0.25
lʲ	w	0.25
t	d	0.243
ˈeː	ˈæː	0.214
ˈʏ	ˈʏː	0.2
ˈɛi̯	ˈɒː	0.2
ˈɛi̯	ˈøː	0.2
ˈɛi̯	ˈi	0.2
ˈɛi̯	ɣ̊	0.2
ˈɛi̯	-	0.2
ˈɒ	ˈɪ	0.2
ˈɒ	ˈɑː	0.2
ˈɒ	-	0.2
ˈœ	ˈɑː	0.2
ˈiː	ˈi	0.185
ˈiː	ˈeː	0.185
ˈuː	ˈuː	0.182
d̥	-	0.182
ˈɔː	ˈɒː	0.167
ˈɔː	ˈeː	0.167
n	n_d	0.154
ˈa	ˈɪ	0.15
ˈa	ˈɛ	0.15
ˈa	ʀ	0.15
ˈʊ	ˈɔ	0.143
ˈi	ˈɪː	0.143
ˈeː	ˈœ	0.143
ˈeː	ˈæ	0.143
ŋ	-	0.143
ˈœ	ˈɔː	0.133
ˈœ	ˈoː	0.133
ˈœ	ˈaː	0.133
ˈœ	-	0.133
ʃ	-	0.133
ˈiː	ˈiː	0.111
ˈa	ˈɑ	0.1
ˈa	ˈi	0.1
ˈa	ˈeː	0.1
d	ɡ	0.1
ˈʊ	ˈæ	0.095
ˈʊ	ˈaː	0.095
ˈi	ˈɛː	0.095
ˈi	ˈɛ_j	0.095
b	-	0.083
v	-	0.077
ˈiː	ˈɛːi̯	0.074
ˈiː	ʀ	0.074
ˈiː	-	0.074
k	ə_k	0.074
k	x	0.074
ʀ	ʀ_ə	0.071
