Northern Low Saxon	Bavarian	probability
b	b̥	0.716
b	f	0.254
d	d̥	0.547
d	s	0.237
d	t	0.113
d	ʦ	0.09
f	f	0.838
f	b̥	0.13
h	h	1.0
i	-	1.0
j	ˈoɐ̯	1.0
k	k	1.0
kʰ	kʰ	0.993
l	l	0.537
l	j	0.383
m	m	0.885
m	a	0.077
n	n	0.958
p	f	0.642
p	p	0.358
r	r	1.0
s	s	0.838
s	ʃ	0.162
t	t	0.543
t	s	0.249
t	d̥	0.208
tʰ	ʦ	0.875
tʰ	d̥	0.125
v	ʋ	0.945
x	x	0.666
x	ɡ̊	0.334
z	s	0.951
ç	ɡ̊	0.781
ç	x	0.11
ç	ç	0.11
ŋ	ŋ	1.0
ɐ	a	0.478
ɐ	ɐ	0.303
ɐ	r	0.177
ə	a	1.0
ɡ	ɡ̊	0.625
ɡ	x	0.173
ɡ	ç	0.096
ɡ	-	0.096
ɪ	i	0.69
ɪ	ŋ	0.193
ɪ	ɪ	0.117
ʃ	ʃ	1.0
ʒ	j	1.0
ˈa	ˈa	0.27
ˈa	ˈo	0.187
ˈa	ˈɔ	0.184
ˈa	ˈɒː	0.106
ˈa	ˈɒ	0.103
ˈa	ˈoː	0.051
ˈaɪ̯	ˈoɐ̯	0.369
ˈaɪ̯	ˈiɐ̯	0.216
ˈaɪ̯	ˈeː	0.084
ˈaɪ̯	ˈɛː	0.077
ˈaɪ̯	ˈi	0.063
ˈaɪ̯	ˈiː	0.063
ˈaɪ̯	ˈe	0.057
ˈaʊ̯	ˈuɐ̯	0.267
ˈaʊ̯	ˈou̯	0.193
ˈaʊ̯	ˈaː	0.192
ˈaʊ̯	ˈeɐ̯	0.107
ˈaʊ̯	ˈoɐ̯	0.091
ˈaʊ̯	ˈo	0.073
ˈaː	ɐ	0.626
ˈaː	ˈa	0.256
ˈaː	ˈoɐ̯	0.118
ˈeɪ̯	ˈeː	0.34
ˈeɪ̯	ˈiː	0.311
ˈeɪ̯	ˈai̯	0.182
ˈeɪ̯	ˈɛː	0.167
ˈeː	ˈɛ	0.333
ˈeː	ˈai̯	0.159
ˈeː	ˈeː	0.159
ˈeː	ˈa	0.157
ˈeː	ˈe	0.154
ˈiː	ˈai̯	0.724
ˈiː	ˈi	0.193
ˈiː	-	0.05
ˈoː	ˈoː	0.26
ˈoː	ˈɔ	0.23
ˈoː	ˈaː	0.107
ˈoː	ˈɒ	0.104
ˈoː	ˈɒː	0.093
ˈoː	ˈɛː	0.073
ˈuː	ˈau̯	0.925
ˈuː	ˈuɐ̯	0.075
ˈyː	ˈai̯	1.0
ˈø	ˈi	0.714
ˈø	ˈe	0.286
ˈøː	ˈu	0.726
ˈøː	ˈiː	0.103
ˈøː	ˈau̯	0.089
ˈøː	ˈy	0.082
ˈœ	ˈɛ	1.0
ˈœː	ˈe	1.0
ˈɔ	ˈu	0.337
ˈɔ	ˈɔ	0.324
ˈɔ	ˈo	0.299
ˈɔʏ̯	ˈeɐ̯	0.298
ˈɔʏ̯	ˈiɐ̯	0.193
ˈɔʏ̯	ˈeː	0.18
ˈɔʏ̯	ˈi	0.176
ˈɔʏ̯	ˈe	0.077
ˈɔʏ̯	ˈu	0.076
ˈɛ	ˈo	0.373
ˈɛ	ˈoː	0.209
ˈɛ	ˈɛ	0.155
ˈɛ	ˈe	0.129
ˈɛ	ˈu	0.08
ˈɛ	ˈeː	0.053
ˈɛɪ̯	ˈoɐ̯	0.419
ˈɛɪ̯	ˈɑː	0.379
ˈɛɪ̯	ˈe	0.202
ˈɪ	ˈi	0.665
ˈɪ	-	0.073
ˈɪ	ˈa	0.07
ˈɪ	ˈɛ	0.07
ˈɪ	ˈai̯	0.055
ˈʊ	ˈu	0.643
ˈʊ	ˈo	0.208
ˈʊ	ˈau̯	0.149
ˈʏ	ˈʏ	0.379
ˈʏ	ˈɛ	0.312
ˈʏ	ˈu	0.178
ˈʏ	ˈai̯	0.131
