Russian	Proto-Slavic	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
dʲ	d	1.0
e	e	1.0
kʲ	k	1.0
m	m	1.0
n	n	1.0
pʲ	p	1.0
r	r	1.0
rʲ	r	1.0
sʲ	s	1.0
v	v	1.0
vʲ	v	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɨ	ŭ	1.0
ʂ	ʒ	1.0
ʊ	õː	1.0
ʐ	ʒ	1.0
ʨ	ʧ	1.0
ˈæ	ẽ̂ː	1.0
k	k_ŭ	0.191
lʲ	l_ĭ	0.161
lʲ	l	0.791
p	p	0.821
t	t_ŭ	0.271
tʲ	t	0.341
ɐ	ǒ	0.1
ə	o	0.511
ʦ	ʦ	0.551
ˈe	ɛ̂ː	0.231
ˈo	-	0.051
ə	a	0.232
ɪ	ẽː	0.052
ɪ	ẽ	0.142
ɪ	e	0.332
ʦ	-	0.42
ˈe	ê	0.072
ˈo	ĭ̂	0.062
ˈɨ	ɨ̌	0.562
j	ŭ	0.193
nʲ	n	0.953
ɐ	o	0.803
mʲ	m	0.824
s	s_ŭ	0.304
t	t	0.624
tʲ	t_i	0.274
ɪ	ŭ	0.144
t	d_ŭ	0.105
tʲ	t_ĭ	0.385
ˈe	ɛ̌	0.145
ˈi	ǐ	0.545
ˈo	ĭˀ	0.065
ˈɵ	ě	0.205
ˈɵ	ĭ̌	0.795
mʲ	m_ĭ	0.176
s	s	0.696
ɐ	e	0.096
ɡ	ɡ	0.956
ˈe	ĭ	0.286
j	j_ĭ	0.807
ɪ	ɛː	0.137
ɪ	-	0.167
ˈi	ĭ̂	0.057
ˈo	ŭ̂	0.077
ˈo	ôː	0.117
k	ɡ_ŭ	0.08
ə	ŭ	0.218
ˈa	aˀ	0.28
ˈa	ǎ	0.708
ˈe	ĭ̌	0.058
ˈe	ɛˀ	0.208
ˈi	i	0.398
ˈɨ	ɨˀ	0.438
k	k	0.729
p	b_ŭ	0.179
ɫ	l	0.959
ˈo	ǒ	0.189
ˈo	ô	0.409
