German	Faroese	probability
a	a	1.0
b	b̥	0.669
b	v	0.219
b	tʰ	0.06
d	tʰ	0.491
d	-	0.373
d	ʧʰ	0.088
eː	a	1.0
f	f	0.649
f	p	0.133
f	v	0.106
f	-	0.068
h	h	0.866
h	-	0.134
j	-	1.0
k	ɡ̊ː	0.211
k	ʰʧː	0.211
k	k	0.163
k	ʤ̊ː	0.122
k	v	0.086
k	ʰʧ	0.065
k	w	0.052
kʰ	kʰ	0.863
kʰ	ʧʰ	0.117
l	l	0.766
l	l̥	0.158
l	-	0.076
m	m	0.854
m	-	0.146
n	n	0.486
n	a	0.138
n	nː	0.133
n	n̥	0.093
p	v	0.949
p͡f	ʰp	0.533
p͡f	tː	0.467
s	s	0.513
s	t	0.363
s	ʰt	0.103
t	-	0.299
t	d̥	0.25
t	t	0.177
t	j	0.134
t	w	0.109
tʰ	d̥	0.666
tʰ	ʤ̊	0.191
tʰ	tʰ	0.144
v	v	0.634
v	-	0.223
v	kʰ_v	0.142
x	ʰtː	0.482
x	k	0.321
x	-	0.14
z	s	0.849
z	ʃ	0.151
ç	k	0.354
ç	-	0.273
ç	ʰtː	0.262
ç	ɡ̊	0.094
ŋ	ŋ	0.886
ŋ	ɲ	0.114
ɐ	ɹ	0.514
ɐ	ɪ	0.138
ɐ	ʊ	0.08
ɐ	-	0.078
ɐ	ɹ_ʊ	0.069
ə	a	0.728
ə	ʊ	0.092
ə	ɡ̊_a	0.061
ɡ	ɡ̊	0.665
ɡ	ʤ̊	0.116
ɡ	-	0.088
ɡ	j	0.088
ɪ	ʊ	0.809
ɪ	ɛ	0.191
ʁ	ɹ	0.878
ʁ	-	0.088
ʃ	s	0.634
ʃ	ʃ	0.286
ʃ	f	0.081
ʦ	tʰ	0.67
ʦ	ʈ	0.144
ʦ	ʰtː	0.082
ˈa	ˈa	0.532
ˈa	ˈɔ	0.192
ˈa	ˈɛːa̯	0.113
ˈa	ˈɛ	0.057
ˈaɪ̯	ˈʊ̯iː	0.475
ˈaɪ̯	ˈai̯	0.166
ˈaɪ̯	ˈaːi̯	0.143
ˈaɪ̯	ˈɛːi̯	0.061
ˈaɪ̯	ʊ̯ˈiː	0.056
ˈaɪ̯	ˈɛ	0.054
ˈaʊ̯	ˈʉːu̯	0.33
ˈaʊ̯	ˈɛːi̯	0.249
ˈaʊ̯	ˈɪ	0.122
ˈaʊ̯	ˈɛːa̯	0.106
ˈaʊ̯	ˈʊ	0.064
ˈaʊ̯	ˈɔːi̯	0.054
ˈaː	ˈɛːa̯	0.289
ˈaː	ˈɔ̯aː	0.28
ˈaː	ˈa	0.139
ˈaː	ˈɔ	0.117
ˈaː	ˈoː	0.067
ˈaː	ˈøː	0.055
ˈaː	ˈiː	0.052
ˈeː	ˈɔ̯aː	0.308
ˈeː	ˈeː	0.205
ˈeː	ˈʊ	0.13
ˈeː	ˈɛ	0.125
ˈeː	ˈɛːa̯	0.08
ˈeː	ˈiː	0.079
ˈeː	ˈøː	0.074
ˈiː	ˈʉːu̯	0.232
ˈiː	ˈɔːu̯	0.232
ˈiː	ˈɛːa̯	0.208
ˈiː	ˈɛːi̯	0.086
ˈiː	ˈʊ̯iː	0.068
ˈiː	ˈuː	0.06
ˈiː	ˈʏ	0.06
ˈiː	ˈeː	0.054
ˈoː	ˈɔ̯aː	0.346
ˈoː	ˈɛːi̯	0.241
ˈoː	ˈɔ	0.175
ˈoː	ˈuː	0.152
ˈuː	ˈɔːu̯	0.651
ˈuː	ˈɪ	0.12
ˈuː	ˈøː	0.116
ˈuː	ˈœ	0.084
ˈyː	ˈøː	0.764
ˈyː	ˈiː	0.236
ˈøː	ˈɔ	0.772
ˈøː	ˈɔːi̯	0.228
ˈœ	ˈʊ	0.526
ˈœ	ˈœ	0.474
ˈɔ	ˈoː	0.31
ˈɔ	ˈɔ	0.154
ˈɔ	ˈʊ	0.153
ˈɔ	ˈœ	0.134
ˈɔ	ʎ	0.062
ˈɔ	ˈiː	0.062
ˈɔ	ˈuː	0.062
ˈɔ	ˈʏ	0.062
ˈɔʏ̯	ˈʊ̯iː	0.362
ˈɔʏ̯	ˈʊ	0.352
ˈɔʏ̯	ˈɔːi̯	0.151
ˈɔʏ̯	ˈa	0.134
ˈɛ	ˈɛ	0.332
ˈɛ	j	0.221
ˈɛ	ˈøː	0.15
ˈɛ	ˈeː	0.07
ˈɛː	ˈɔ̯aː	0.786
ˈɛː	ˈœ	0.214
ˈɪ	ˈɪ	0.608
ˈɪ	ˈiː	0.12
ˈɪ	ˈɛ	0.071
ˈɪ	ˈʊ̯iː	0.069
ˈʊ	ˈʊ	0.693
ˈʊ	ˈɔ	0.235
ˈʏ	ˈɪ	0.878
ˈʏ	ˈʊ	0.114
