German	Faroese	probability
b	b̥	0.738
b	v	0.225
b	-	0.04
d	tʰ	0.518
d	-	0.398
d	ʧʰ	0.066
f	f	0.597
f	ʰp	0.099
f	v	0.075
f	-	0.065
f	p	0.057
f_ʁ	f	1.0
h	h	0.968
h	-	0.041
j	ˈʊ	0.366
j	ˈɔ̯aː	0.177
k	k	0.213
k	ɡ̊	0.213
k	ɹ	0.122
k	ʊ_ɹ	0.122
k	ʰʧ	0.122
kʰ	kʰ	0.741
kʰ	ʧʰ	0.144
kʰ	-	0.1
l	l	0.712
l	l̥	0.137
l	l_ʊ	0.075
l	-	0.048
l	ʎ	0.029
m	m	0.748
m	m_ʊ	0.24
m	ʃ	0.029
n	-	0.371
n	n	0.358
n	nː	0.074
n	a	0.071
n	n̥	0.061
n_d	nː	1.0
p	v	0.392
p	ʊ_ɹ	0.392
p	tː	0.108
p͡f	ʰp	0.574
p͡f	tː	0.278
s	s	0.376
s	t	0.371
s	ʰt	0.169
s	sː	0.07
t	-	0.346
t	t	0.195
t	d̥	0.098
t	d̥_ʊ	0.082
t	j	0.073
tʰ	d̥	0.669
tʰ	tʰ	0.179
tʰ	ʤ̊	0.135
v	v	0.58
v	-	0.305
v	kʰ_v	0.11
x	k	0.45
x	-	0.297
x	v	0.179
x_t	ʰtː	1.0
z	s	0.952
z	ʃ	0.05
ç	-	0.511
ç	k	0.287
ç	ʧ	0.129
ç	ɡ̊_ʊ	0.049
ŋ	ŋ	0.88
ŋ	ɲ	0.102
ŋ_k	ʰkː	0.484
ɐ	ɹ	0.463
ɐ	ɪ	0.156
ɐ	ʊ_ɹ	0.153
ɐ	-	0.064
ɐ	ˈœ_t	0.054
ɐ_t	ɹ	1.0
ə	a	0.539
ə	-	0.267
ə	ʊ	0.085
ə	ʤ̊_a	0.039
ə	ɡ̊_a	0.039
ɡ	ɡ̊	0.639
ɡ	-	0.13
ɡ	j	0.105
ɡ	ʤ̊	0.09
ɪ	ʊ	0.871
ɪ	ɛ	0.069
ʁ	ɹ	0.92
ʁ	-	0.077
ʃ	s	0.541
ʃ	ʃ	0.236
ʃ	s_k	0.194
ʃ	f	0.037
ʦ	tʰ	0.566
ʦ	t	0.099
ʦ	d̥	0.091
ʦ	ʈ	0.068
ʦ	ʧʰ	0.065
ˈa	ˈa	0.39
ˈa	ˈɛːa̯	0.234
ˈa	ˈɔ	0.208
ˈa	ˈeː	0.041
ˈa	ˈɔ̯aː	0.038
ˈaɪ̯	ˈʊ̯iː	0.405
ˈaɪ̯	ˈai̯	0.249
ˈaɪ̯	ˈaːi̯	0.182
ˈaɪ̯	ˈɛːi̯	0.066
ˈaɪ̯	ʊ̯ˈiː	0.051
ˈaʊ̯	ˈʉːu̯	0.444
ˈaʊ̯	ˈɛːi̯	0.262
ˈaʊ̯	nː	0.089
ˈaʊ̯	ˈɔːi̯	0.089
ˈaʊ̯	ˈɪ	0.054
ˈaː	ˈɛːa̯	0.415
ˈaː	ˈɔ̯aː	0.202
ˈaː	ˈøː	0.067
ˈaː	ˈa	0.065
ˈaː	ˈɔ	0.065
ˈeː	ʊ	0.274
ˈeː	v_ʊ	0.134
ˈeː	ˈiː	0.116
ˈeː	ˈɔ̯aː	0.116
ˈeː	ˈɛ	0.116
ˈiː	ˈɔːu̯	0.193
ˈiː	ˈʊ̯iː	0.193
ˈiː	ˈɛːa̯	0.178
ˈiː	ˈuː	0.117
ˈiː	ˈeː	0.084
ˈoː	ˈɛːi̯	0.321
ˈoː	ˈɔ̯aː	0.279
ˈoː	ˈɔ	0.207
ˈoː	ˈʊ	0.067
ˈoː	ˈuː	0.051
ˈuː	ˈɔːu̯	0.655
ˈuː	ˈœ	0.149
ˈuː	ˈɪ	0.078
ˈuː	ˈʉːu̯	0.071
ˈyː	ˈøː	0.675
ˈyː	ˈiː	0.304
ˈøː	ˈɔ	0.5
ˈøː	ˈɔːi̯	0.5
ˈœ	ˈœ	0.66
ˈœ	ˈʊ	0.154
ˈɔ	ˈœ	0.23
ˈɔ	ˈɔ	0.196
ˈɔ	ˈʊ_t	0.171
ˈɔ	ˈoː	0.137
ˈɔ	ˈʏ	0.068
ˈɔɪ̯	ˈɔːi̯	0.484
ˈɔʏ̯	ˈʊ̯iː	0.457
ˈɔʏ̯	ˈʊ	0.359
ˈɔʏ̯	r	0.179
ˈɛ	ˈɛ	0.251
ˈɛ	ˈøː	0.19
ˈɛ	ˈeː	0.123
ˈɛ	j	0.107
ˈɛ	ˈœ	0.081
ˈɛː	j	0.319
ˈɛː	ˈɔ̯aː	0.319
ˈɪ	ˈɪ	0.526
ˈɪ	ˈiː	0.196
ˈɪ	ˈɛ	0.102
ˈɪ	ˈʊ̯iː	0.077
ˈɪ	j	0.061
ˈɪ_ç	ˈeː	1.0
ˈʊ	ˈʊ	0.413
ˈʊ	ˈɔ	0.251
ˈʊ	ˈœ	0.123
ˈʊ	-	0.09
ˈʊ	ˈɔːu̯	0.09
ˈʏ	ˈɪ	0.67
ˈʏ	ɹː	0.146
ˈʏ	ˈʊ	0.093
