Spanish	Spanish	probability
θ_ˈe	k_ɛ	1.0
β_e	w_ɛ̃ː	1.0
ˈe_θ	k_ɛ̃ː	1.0
ˈe_β	w	1.0
ˈe_ɾ	ɛ_r	1.0
ˈe_s	sː	1.0
ˈe_r	rː	1.0
ˈa_β	ˈa_p	1.0
ˈa_ɣ	ˈa_k	1.0
ɾ_t	r_t	1.0
ɾ_o	r_ʊ̃ː	1.0
ɾ_n	r_n	1.0
ɾ_m	r_m	1.0
ɾ_k	r_k	1.0
ɾ_e	ɛ̃ː	1.0
ɾ_a	r_ãː	1.0
ɣ_w	kʷ	1.0
ɣ_o	k_ʊ̃ː	1.0
ɟ͡ʝ_ˈe	ɡ_ˈɛ	1.0
ŋ	ŋ	1.0
w_ˈe	ˈɔ	1.0
t_e	t_ɛ̃ː	1.0
s_ˈo	ˈoː	1.0
s_t	s_t	1.0
s_a	s_ãː	1.0
p	p	1.0
o_ɾ	ɔ_r	1.0
n_#>	n_ɛ̃ː_#>	1.0
m_b	m	1.0
m_a	m_ãː	1.0
l_ˈe	lʲ_ˈɪ	1.0
k_ˈa	k_ˈa	1.0
k_ɾ	k_r	1.0
k_a	k_a	1.0
j_ˈo	ˈe	1.0
j_ˈe	ˈɛ	1.0
i_m	ĩː	1.0
i	-	1.0
f	f	1.0
e_s	s	1.0
e_n	ɛ_n	1.0
d	d	1.0
b_ɾ	ɪ_n	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈi	<#_f_ˈiː	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ɫ	1.0
<#_a	<#_a	1.0
<#	<#_f	1.0
m	m	0.941
n	n	0.936
l	ɫ	0.923
ɾ	r	0.84
s_#>	s_#>	0.833
#>	ɛ_#>	0.812
ð	t	0.808
ʝ	lʲː	0.8
ɣ	k	0.8
ʧ	k_t	0.778
t	t	0.76
k	k	0.735
ɡ	ɡ	0.692
o	ʊ̃ː	0.678
s	s	0.667
l_#>	ɫ_ɛ̃ː_#>	0.667
ˈu	ˈuː	0.654
ˈi	ˈiː	0.622
a	ãː	0.62
ˈa	ˈaː	0.603
ɾ_ˈa	r_ˈaː	0.6
u	ʊ	0.6
b	w	0.594
ɲ	n	0.545
w	ˈɔ	0.545
ˈe_j	ˈeː_ɡ	0.5
ˈe_j	ɡ	0.5
ɟ͡ʝ	p_ɫ	0.5
n_o	n_a	0.5
n_o	n	0.5
j	ˈɛ	0.462
w	-	0.455
θ	k	0.429
b	b	0.406
ɾ_ˈa	r_ˈa	0.4
u	-	0.4
ˈa	ˈa	0.397
β	b	0.385
e	ɛ̃ː	0.383
ˈo	ˈoː	0.378
x	k_ʊ	0.368
ˈe	ˈɪ	0.357
ˈu	ˈʊ	0.346
s	sː	0.333
l_#>	lʲː_ɛ_#>	0.333
x	lʲ_i	0.316
ˈo	ˈʊ	0.289
ɲ	n_e	0.273
ˈe	ˈeː	0.262
θ	k_ɛ̃ː	0.25
ɟ͡ʝ	ɫ	0.25
ɟ͡ʝ	k_ɫ	0.25
j	-	0.231
ʧ	ɫ_t	0.222
ʝ	d_i	0.2
ɣ	ɡ	0.2
β	p	0.192
#>	ɛ̃ː_#>	0.188
ɲ	nː	0.182
s_#>	#>	0.167
t	tː	0.16
x	sː	0.158
x	j	0.158
β	w	0.154
β	p_ɛ	0.154
ɡ	ɡʷ	0.154
ɡ	k	0.154
j	i	0.154
e	ɪ	0.149
e	ɛ	0.149
k	kʷ	0.147
ˈe	ˈɛ	0.143
a	a	0.141
ˈi	ˈɛ	0.135
ˈo	ˈɔ	0.133
ˈo	ˈau̯	0.133
k	kː	0.118
β	b_ʊ	0.115
o	oː	0.113
a	aː	0.109
θ	t_i	0.107
ˈe	-	0.095
e	-	0.085
ˈi	ˈiː_w	0.081
ˈi	ˈi	0.081
ɾ	ɛ_r	0.08
t	s	0.08
ð	ɪ_t	0.077
ð	ɪ	0.077
l	lʲ	0.077
j	ˈɛ̃ː	0.077
j	ˈae̯	0.077
θ	ɡ	0.071
θ	s_i	0.071
θ	kʷ	0.071
ˈe	ˈaː	0.071
o	ɔ	0.07
ˈo	ˈu	0.067
a	ɫ_ãː	0.065
n	ŋ_k	0.064
e	ʊ̃ː	0.064
m	mː	0.059
ˈi	-	0.054
