Ladin	Ladin	probability
ˈɛ_k	k_u	1.0
ˈɛ_f	β	1.0
ˈu	ˈu	1.0
ˈa	ˈa	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʥ	-	1.0
ʤ	ɣ	1.0
ʒ_ɡ	b	1.0
ŋ_k	m_ɛ	1.0
ŋ	-	1.0
w_ʃ	k_ɛ	1.0
w_r	ɾ	1.0
u	u	1.0
r_a	ɾ_a	1.0
p_l	p_ɾ	1.0
p	p	1.0
n_#>	n_u_#>	1.0
m	m	1.0
l_ˈe	l_ˈi	1.0
k_l	k_ɾ	1.0
j_ˈɛ	ˈɛ	1.0
i	i	1.0
f	f	1.0
e_s	a_z	1.0
d_l	k_ɾ	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#	<#_a	1.0
a	a	0.954
ʨ	k	0.9
t	t	0.895
ˈi	ˈi	0.87
k	k	0.833
r	ɾ	0.818
s	s	0.765
n	n	0.727
v	b	0.682
ɲ	n_ʣ	0.667
l	l	0.586
ʃ	i_s	0.571
ˈɔ	ˈɔ	0.526
ˈo	ˈu	0.5
ˈe_j	ˈɛ	0.5
ˈe_j	ˈi	0.5
ʧ	ˈa_ɾ	0.5
ʧ	k	0.5
ɡ	ɡ	0.5
#>	ɛ_#>	0.455
ʦ	-	0.429
#>	u_#>	0.407
ˈo	ˈɔ	0.393
ʒ	z	0.375
ʒ	-	0.375
d	d	0.37
ɲ	ɲ	0.333
o	ɔ	0.333
d	t	0.333
ˈɛ	ˈe	0.327
w	ˈo	0.318
ˈɔ	ˈo	0.316
j	ɛ	0.312
ɡ	-	0.3
ʦ	ʦ	0.286
ʦ	t_u	0.286
ʃ	k_ɛ	0.286
w	ˈɔ	0.273
ˈe	ˈa_ɾ	0.27
ʒ	ɡ	0.25
o	ˈɔ	0.25
o	-	0.25
j	-	0.25
ˈɛ	ˈɛ	0.245
l	ɖː	0.241
w	-	0.227
ˈɛ	ˈa	0.204
ɡ	k	0.2
e	ɛ	0.2
ˈe	ˈi	0.189
j	ˈe	0.188
v	β	0.182
l	ɾ	0.172
o	o	0.167
k	k_u	0.167
e	e	0.167
n	nː	0.159
ˈɔ	ˈu	0.158
d	ð	0.148
d	-	0.148
ˈɛ	-	0.143
ʃ	s	0.143
v	-	0.136
ˈe	ˈɛ	0.135
e	i	0.133
ˈi	ˈi_ʣ	0.13
j	ˈɛ	0.125
j	ʣ_u	0.125
s	z	0.118
s	j_z	0.118
r	r	0.114
ˈe	-	0.108
ˈo	ˈo	0.107
ʨ	-	0.1
e	ɛ_ɾ	0.1
e	ɔ	0.1
e	a	0.1
w	ɾ	0.091
w	p	0.091
ˈe	ɛ	0.081
r	-	0.068
n	-	0.068
e	ɾ	0.067
e	u	0.067
e	i_k	0.067
ˈe	ˈu	0.054
ˈe	ˈe	0.054
ˈe	ˈa	0.054
ˈe	s	0.054
t	ð	0.053
t	d	0.053
