Icelandic	Icelandic	probability
θ	θ	1.0
ˈʏ_ɡ̊	ˈaʊ̯	1.0
ˈɛi̯	ˈəʊ̯	1.0
ˈɔː	ˈɐ	1.0
ˈɔu̯	-	1.0
ˈɔ_r	ˈɔː	1.0
ˈɔ	w	1.0
ˈɑu̯	-	1.0
ˈœː	-	1.0
ˈuː_a_#>	#>	1.0
ˈu	ˈɐ	1.0
ˈou̯	-	1.0
ˈiː_ð	ˈaɪ̯_d	1.0
ˈiː_r̥	ˈaʊ̯	1.0
ˈi	ˈɪ	1.0
ˈeːi̯	-	1.0
ˈaːu̯	ˈəʊ̯	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ˈa_r̥	ˈɑː	1.0
ˈa_r	ˈɑː	1.0
ʰt͡n̥	t_ə	1.0
ʰp	p	1.0
ʰc	ʧ	1.0
ʏ_r̥_#>	#>	1.0
ɲ	-	1.0
ɪ_r̥	ə	1.0
ɪ	-	1.0
ɣ_ʏ_r̥_#>	#>	1.0
ɣ_a_#>	ˈaɪ̯_#>	1.0
ɡ̊_ʏ	ɡ	1.0
ɡ̊	-	1.0
ɟ̊ː	-	1.0
ɑu̯	ɪ	1.0
ŋ_ɡ̊	ŋ	1.0
ç	h	1.0
x	-	1.0
v_a	v	1.0
t͡n̥	n	1.0
t͡l̥	ɫ	1.0
tʰ	tʰ	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
s_#>	s_#>	1.0
r_ˈɛ	ɜː	1.0
r_ˈai̯	ɹ	1.0
r_ɪ	ə	1.0
r_a	ə	1.0
pʰ	pʰ	1.0
n̥	n	1.0
n	n	1.0
m	m	1.0
kʰ_v	w	1.0
kʰ	kʰ	1.0
j_ˈɛː_r̥_#>	ˈiː_#>	1.0
j_ˈɛː	ˈiː	1.0
j_ˈɛ	ˈaɪ̯	1.0
j_ˈoːu̯	ˈiː	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
cʰ	kʰ	1.0
c	k	1.0
b̥	b	1.0
aːu̯	ˈiː	1.0
a_#>	#>	1.0
a	k	1.0
<#_ˈɔ	<#_ˈɐ	1.0
<#_v	<#_w	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_d	1.0
#>	n_#>	1.0
s	s	0.941
k	k	0.8
p	p	0.778
ʰt	t	0.75
nː	n	0.714
<#_ɡ̊	<#_ɡ	0.714
<#	<#_w	0.714
ˈɪː	ˈɪ	0.667
ˈœ	-	0.667
ˈaːi̯	ˈiː	0.667
ʏ	-	0.667
ɟ̊	ɡ	0.667
r	ɹ	0.667
ˈœːy̯	ˈe	0.625
ð	d	0.615
ˈʏː	-	0.6
ˈiː	ˈaɪ̯	0.6
l̥	ɫ	0.6
l	l	0.565
ˈuː	ˈaʊ̯	0.538
ˈɛːi̯	ˈəʊ̯	0.5
ˈaː	ˈeɪ̯	0.5
ʰk	ŋ	0.5
ʰk	k	0.5
ɡ̊ː	ʤ	0.5
ɡ̊ː	-	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
r̥	ə	0.5
ˈɪ	ˈɪ	0.467
ˈɑːu̯	-	0.444
r̥	-	0.433
ˈʏː	ˈɐ	0.4
ˈɛ	ˈe	0.4
l̥	ˈe_ɫ	0.4
ˈa	ˈæ	0.385
v	f	0.385
ˈɛː	ˈɪ	0.375
ˈɛː	-	0.375
ˈœːy̯	ˈiː	0.375
ˈoːu̯	-	0.375
l	ɫ	0.348
ˈʏ	ˈɐ	0.333
ˈʏ	-	0.333
ˈɪː	-	0.333
ˈɪ	ˈaɪ̯	0.333
ˈɛ	-	0.333
ˈɑːu̯	ˈiː	0.333
ˈœ	ˈæ	0.333
ˈaːi̯	-	0.333
ɟ̊	-	0.333
ˈa	ˈɔː	0.308
ˈa	-	0.308
nː	θ	0.286
<#_ɡ̊	<#	0.286
<#	<#_j	0.286
j	-	0.278
ˈiː	ˈɪ	0.267
ˈɛːi̯	ˈɪ	0.25
ˈɛːi̯	ˈiː	0.25
ˈɛː	ˈe	0.25
ˈoːu̯	ˈuː	0.25
ˈaː	ˈɑː	0.25
ˈaː	-	0.25
ʰt	ˈaɪ̯_t	0.25
ˈuː	ˈɐ	0.231
ˈuː	-	0.231
v	w	0.231
v	-	0.231
ˈɑːu̯	ˈɪ	0.222
p	-	0.222
j	ˈe	0.222
j	ˈaɪ̯	0.222
r	ˈɔː	0.208
ˈɪ	-	0.2
k	ʧ	0.2
ð	θ	0.192
ð	ð	0.192
ˈoːu̯	ˈʊ	0.188
ˈoːu̯	ˈɐ	0.188
ˈʏ	ˈʊ	0.167
ˈʏ	ˈaʊ̯	0.167
ʏ	ɪ	0.167
ʏ	n	0.167
j	ˈɪ	0.167
v	v	0.154
ˈɛ	ˈɪ	0.133
ˈɛ	ˈæ	0.133
ˈiː	ˈiː	0.133
r	ˈɜː	0.125
j	ˈiː	0.111
l	ˈɑː	0.087
r̥	ɹ	0.067
s	-	0.059
