Alsatian	Alsatian	probability
ˈʊː	ˈaʊ̯	1.0
ˈɛ	ˈɛ	1.0
ˈɔi̯	ˈuː	1.0
ˈɒː_ʁ	ˈaː	1.0
ˈœ	ˈaʊ̯_x	1.0
ˈøː	ˈaʊ̯	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈɒː	1.0
ˈyː	ˈuː	1.0
ˈaː	-	1.0
ˈai̯	ˈɔʏ̯	1.0
ʃ_t	ç	1.0
ə_ʁ	æ	1.0
ŋ	ŋ	1.0
w	w	1.0
p͡f	p	1.0
p	p	1.0
n_ʃ	n_ʃ	1.0
n_d̥	n	1.0
m_ə	m	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ə	k_n	1.0
k_s	s	1.0
k	ç	1.0
j_ə	ŋ	1.0
j	j	1.0
i_ʃ	k	1.0
h	h	1.0
f_ə	p_n	1.0
f_#>	p_#>	1.0
eː	ae̯	1.0
e	-	1.0
d̥_ə	n	1.0
d̥_#>	d̥_#>	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ʁ	<#_r	1.0
#>	ç_#>	1.0
n	n	0.918
f	f	0.917
d̥	d	0.9
ʋ	v	0.846
ˈəi̯	ˈae̯	0.778
x	x	0.714
ʃ	ʃ	0.708
ˈɒ	ˈa	0.667
ˈei̯	ˈae̯	0.667
z̥	z̥	0.667
i	ɪ	0.667
ə	n	0.65
ɡ̊	ɡ	0.615
ˈi	ˈɪ	0.607
ˈæ	-	0.6
ʦ	tʰ	0.571
s	z	0.516
ˈæː	-	0.5
ˈo	ˈʊ	0.5
s	t	0.484
ʁ	r	0.475
ˈeː	-	0.444
ˈɒː	ˈa	0.429
ʦ	t	0.429
ʁ	æ	0.425
ˈæ	ˈɛ	0.4
ˈu	ˈʊ	0.364
t	d̥	0.359
ˈæː	ˈɛ	0.333
ˈei̯	ˈiː	0.333
z̥	-	0.333
i	-	0.333
ˈoː	ˈɒː	0.312
ˈoː	ˈaʊ̯	0.312
t	t	0.308
ˈɒː	ˈɛː	0.286
ˈɒː	ˈaː	0.286
x	k	0.286
ˈo	ˈɔ	0.25
ˈo	-	0.25
ˈiː	ˈiː	0.238
ɡ̊	j	0.231
ˈu	ˈʏ	0.227
ˈu	-	0.227
ˈəi̯	ˈɪ	0.222
ˈeː	ˈeː	0.222
ˈeː	ˈae̯	0.222
ə	m	0.2
ˈiː	ˈae̯	0.19
ˈoː	ˈoː	0.188
ˈoː	-	0.188
ˈu	ˈɔ	0.182
ˈi	-	0.179
t	d	0.179
ˈæː	ˈɛɪ̯	0.167
ˈe	ˈɪ	0.167
ˈe	ˈɛː	0.167
ˈe	ˈɛ	0.167
ˈe	ˈœː	0.167
ˈe	ˈœ	0.167
ˈe	-	0.167
ʃ	k	0.167
ʋ	-	0.154
ɡ̊	-	0.154
ə	-	0.15
ˈiː	ˈɪ	0.143
ˈiː	ˈɔʏ̯	0.143
ˈiː	ˈyː	0.143
ˈiː	-	0.143
ʃ	s	0.125
ˈɒ	ˈɒː	0.111
ˈeː	ˈaɪ̯	0.111
ˈi	ˈʏ	0.107
d̥	ɾ	0.1
f	-	0.083
t	ɾ	0.077
t	-	0.077
ˈɒ	ˈɔ	0.074
ˈɒ	ˈaʊ̯	0.074
ˈɒ	-	0.074
ˈi	ˈɛ	0.071
