Bokmål Norwegian	German	probability
b	b	1.0
d	tʰ	0.702
d	t	0.177
f	f	0.977
h	h	0.967
i	ɪ	1.0
j	ɡ	0.348
j	h	0.266
j	-	0.245
j	x	0.058
k	ç	0.505
k	x	0.213
k	-	0.168
k	k	0.114
kʰ	kʰ	0.909
kʰ	ʁ	0.091
kː	k	1.0
l	l	0.91
l	ɡ_l	0.09
lː	l	0.965
m	m	0.943
m	n	0.057
mː	m	1.0
n	n	0.935
nː	n	0.923
nː	-	0.077
p	f	0.917
p	p͡f	0.083
pʰ	p͡f	1.0
pː	f	1.0
s	z	0.421
s	ʃ	0.366
s	s	0.192
sː	s	1.0
t	s	0.58
t	t	0.406
tʰ	d	0.687
tʰ	ʦ	0.231
tʰ	b	0.055
tː	ʦ	0.363
tː	ç	0.288
tː	s	0.269
tː	x	0.079
ŋ	ɪ	0.646
ŋ	ç	0.354
ŋː	ŋ	1.0
ɕ	kʰ	0.928
ɕ	d	0.072
ə	ə	0.523
ə	-	0.467
ɡ	ɡ	0.797
ɡ	k	0.172
ɡː	k	0.742
ɡː	-	0.212
ɪ	ɪ	1.0
ɳ	ɐ	1.0
ɾ	ʁ	0.425
ɾ	ɐ	0.391
ɾ	t_ɐ	0.059
ɾ	d_ɐ	0.057
ʂ	m	0.575
ʂ	z	0.318
ʂ	s	0.107
ʃ	ʃ	1.0
ʈ	ʦ	0.892
ʈ	t	0.108
ʈː	ʦ	1.0
ʋ	v	0.666
ʋ	-	0.232
ʋ	p	0.078
ˈeː	ˈeː	0.233
ˈeː	ˈaɪ̯	0.212
ˈeː	ˈiː	0.144
ˈeː	ˈɪ	0.116
ˈeː	ˈaː	0.104
ˈeː	ˈaʊ̯	0.077
ˈeː	ˈɛ	0.059
ˈeː	ˈa	0.056
ˈiː	ˈaɪ̯	0.456
ˈiː	ˈiː	0.193
ˈiː	ˈɪ	0.157
ˈiː	ˈeː	0.102
ˈiː	ˈɔʏ̯	0.054
ˈoː	ˈaː	0.468
ˈoː	ˈeː	0.165
ˈoː	ˈoː	0.138
ˈoː	ˈɛː	0.119
ˈoː	ˈa	0.064
ˈuː	ˈuː	0.489
ˈuː	ˈɔ	0.382
ˈyː	ˈiː	0.52
ˈyː	ˈɔʏ̯	0.399
ˈæ	ˈɛ	0.802
ˈæ	ˈɪ	0.198
ˈæɪ̯	ˈaɪ̯	0.666
ˈæɪ̯	ˈeː	0.248
ˈæɪ̯	ˈɪ	0.056
ˈæː	ˈeː	0.704
ˈæː	ˈɛ	0.17
ˈæː	ˈiː	0.126
ˈøː	ˈoː	0.374
ˈøː	ˈeː	0.141
ˈøː	ˈaʊ̯	0.123
ˈøː	ˈuː	0.118
ˈøː	ˈøː	0.083
ˈøː	ˈɛ	0.058
ˈøː	-	0.055
ˈœ	ˈɪ	0.209
ˈœ	ˈyː	0.18
ˈœ	ˈʏ	0.171
ˈœ	ˈɔʏ̯	0.128
ˈœ	ˈoː	0.085
ˈœ	ˈʊ	0.074
ˈœ	ˈaʊ̯	0.059
ˈœʏ̯	ˈaʊ̯	1.0
ˈɑ	ˈa	0.893
ˈɑ	ˈaː	0.089
ˈɑː	ˈaː	0.515
ˈɑː	ˈa	0.485
ˈɔ	ˈʊ	0.373
ˈɔ	ˈɔ	0.328
ˈɔ	ˈa	0.063
ˈɔ	ˈyː	0.058
ˈɔ	ˈoː	0.058
ˈɔ	ˈaʊ̯	0.058
ˈɛ	ˈɛ	0.474
ˈɛ	ˈaɪ̯	0.289
ˈɛ	ˈa	0.059
ˈɛ	ˈɔʏ̯	0.054
ˈɛ	ˈʏ	0.054
ˈɪ	ˈɪ	0.915
ˈɪ	-	0.062
ˈʉ	ˈʊ	0.748
ˈʉ	ˈœ	0.086
ˈʉː	ˈaʊ̯	0.496
ˈʉː	ˈiː	0.135
ˈʉː	ˈuː	0.112
ˈʉː	ˈɔ	0.085
ˈʉː	ˈoː	0.083
ˈʊ	ˈøː	0.399
ˈʊ	ˈʊ	0.29
ˈʊ	ˈaʊ̯	0.198
ˈʊ	ˈoː	0.113
ˈʏ	ˈʏ	0.53
ˈʏ	ˈɪ	0.225
ˈʏ	ˈɔʏ̯	0.109
ˈʏ	ˈʊ	0.08
ˈʏ	ˈaʊ̯	0.056
