German	American English	probability
ˈʏ	ˈɪ	1.0
ˈʊ_ɐ	ˈɝ	1.0
ˈʊ	ˈʌ	1.0
ˈøː	ˈi	1.0
ˈyː	ˈi	1.0
ˈuː_#>	ˈaʊ̯_#>	1.0
ˈoː_t	ˈɛ_d	1.0
ˈoː_n	ˈʌ_n	1.0
ˈoː	-	1.0
ˈeː_#>	ˈoʊ̯_#>	1.0
ˈaː_ɡ	ˈeɪ̯	1.0
ˈaː_d̥	ˈæ_θ	1.0
ˈaɪ̯_t	ˈaɪ̯_d	1.0
ˈaɪ̯_#>	ˈi_#>	1.0
ˈa_x	ˈʌɪ̯	1.0
ˈa_l	ˈæ	1.0
ʁ_ə	ɚ	1.0
ɪ_ç	i	1.0
ɡ̊	-	1.0
ə	-	1.0
ɐ_n	ɹ_n	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
ç_t	ʔ	1.0
z_ə	z	1.0
z	s	1.0
v	w	1.0
tʰ	d	1.0
t_n	d	1.0
s_n	ʔ	1.0
p͡f	pʰ	1.0
m	m	1.0
l	ɫ	1.0
kʰ_n	n	1.0
k_ə	ʤ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f_n	p	1.0
b̥_#>	f_#>	1.0
b_n	v	1.0
<#_ˈʊ	<#_ˈʌ	1.0
<#_ʁ	<#	1.0
ʁ	ɹ	0.917
d̥	d	0.846
b	b	0.846
ç	k	0.75
f	f	0.722
ˈɪ	ˈɪ	0.696
ˈiː	ˈi	0.692
ˈɛ	ˈɛ	0.667
ɡ	ɡ	0.667
kʰ	kʰ	0.667
ʦ	tʰ	0.643
ɐ	ɚ	0.628
n	n	0.616
ˈɔʏ̯	ˈaɪ̯	0.6
x	k	0.571
s	s	0.567
d	θ	0.524
ˈɛː	ˈɛ	0.5
ˈɛː	ˈi	0.5
ˈaː	ˈi	0.5
ʃ	ʃ	0.5
ʃ	s	0.5
ˈaʊ̯	ˈaʊ̯	0.471
x	-	0.429
ˈaɪ̯	ˈoʊ̯	0.409
ˈɔʏ̯	ˈi	0.4
t	d	0.382
s	ʔ	0.367
ˈɔ	ˈɔ	0.357
ʦ	ʔ	0.357
t	t	0.353
ˈa	ˈæ	0.333
kʰ	ʧ	0.333
n	-	0.329
ˈuː	ˈʊ	0.3
ˈuː	ˈu	0.3
ˈeː	ˈɛ	0.3
ˈeː	ˈi	0.3
ˈaː	ˈeɪ̯	0.3
ˈaʊ̯	ˈi	0.294
d	d	0.286
ɐ	ɹ	0.256
ç	ʧ	0.25
ˈaʊ̯	ˈʌ	0.235
ˈa	ˈɑ	0.233
ˈaɪ̯	ˈʌɪ̯	0.227
ɡ	-	0.222
ˈɪ	ˈaɪ̯	0.217
ˈɔ	ˈʌ	0.214
ˈɔ	ˈʊ	0.214
ˈɔ	ˈɑ	0.214
ˈuː	ˈʌ	0.2
ˈuː	ˈi	0.2
ˈeː	ˈɪ	0.2
ˈeː	ˈoʊ̯	0.2
ˈaː	ˈæ	0.2
ˈa	ˈeɪ̯	0.2
f	p	0.194
d	ð	0.19
t	ʔ	0.176
ˈɛ	ˈɪ	0.167
ˈɛ	ˈɑ	0.167
ˈiː	ˈɪ	0.154
ˈiː	-	0.154
d̥	θ	0.154
b	v	0.154
ˈaɪ̯	ˈɛ	0.136
ˈaɪ̯	ˈaɪ̯	0.136
ɡ	j	0.111
ˈa	ˈɛ	0.1
ˈaɪ̯	ˈɪ	0.091
t	ð	0.088
ˈɪ	ˈʌɪ̯	0.087
ʁ	-	0.083
f	v	0.083
ɐ	ˈɝ	0.07
ˈa	ˈɔ	0.067
ˈa	ˈoʊ̯	0.067
s	ɾ	0.067
