French	French	probability
ʁ_w	ɾ_ˈe	1.0
ɲ	ɲ	1.0
ɛ_n	ˈa_ŋ	1.0
œ_ʁ	ˈu	1.0
z	z	1.0
w_ɛ̃	ˈy_n	1.0
t_#>	t_ɔ_#>	1.0
p	p	1.0
n_#>	#>	1.0
l_#>	w_#>	1.0
k	k	1.0
j_ɛ	ˈɛ	1.0
j_e_#>	ˈɛ_#>	1.0
i_ʁ_#>	ˈi_#>	1.0
a_ʁ	ð_e	1.0
<#_ʁ	<#_a_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
l	l	0.929
m	m	0.897
<#_l	<#_l	0.889
s	s	0.884
e_#>	ˈa_#>	0.867
d	d	0.867
ʃ	k	0.857
y	ˈy	0.857
f	h	0.8
ʒ	ʒ	0.778
ʁ_#>	e_#>	0.75
w_a	ˈe	0.727
ɡ	ɡ	0.714
t	t	0.706
b	b	0.684
a_#>	#>	0.667
ə	e	0.625
<#_e	<#_e_s	0.625
<#_a	<#_a	0.625
v	b	0.613
e	ˈa	0.6
u	ˈu	0.579
ʁ	ɾ	0.554
ɔ̃	ˈu_ŋ	0.545
#>	ɔ_#>	0.511
ɥ	ˈy	0.5
ɥ	w_ˈe	0.5
i_#>	j_t_#>	0.5
i_#>	#>	0.5
i	ˈi	0.485
a	ˈa	0.458
œ	w_ˈe	0.455
o	ˈa_w	0.438
ø	w	0.429
j	ʎ	0.421
a	a	0.417
w	ˈe	0.385
ə	-	0.375
o	ˈɛ_t	0.375
<#_e	<#_e	0.375
<#_a	<#_ˈa	0.375
n	n_ɔ	0.357
ɛ_ʁ	ˈa_r	0.333
ɛ_ʁ	ˈa	0.333
ɛ_ʁ	r	0.333
a_#>	j_#>	0.333
<#	<#_a	0.333
v	β	0.323
ʁ	r	0.321
ɑ̃	ˈe_n	0.316
u	u	0.316
j	-	0.316
ɡ	ɣ	0.286
ø	ˈɔ_k	0.286
ø	ˈu	0.286
n	n	0.286
ɛ̃	ˈa_ŋ	0.273
ɔ̃	ˈu_n	0.273
w_a	e	0.273
ɑ̃	n	0.263
ʁ_#>	#>	0.25
ɔ	ˈɔ	0.25
ɔ	u	0.25
ɛ	ˈɛ	0.244
w	ˈu_ʦ	0.231
w	-	0.231
ɛ̃	ɲ	0.227
<#	<#_ˈy	0.222
<#	<#_ˈa	0.222
<#	<#_e	0.222
ɛ	ˈe	0.22
n	ɔ	0.214
ɑ̃	ˈa_ŋ	0.211
b	β	0.211
ɔ	w	0.2
e	ˈi	0.2
e	ˈa_ð	0.2
o	ˈɔ_s	0.188
ɛ̃	ŋ	0.182
ɔ̃	ŋ	0.182
œ	ˈɔ	0.182
œ	ˈa	0.182
œ	-	0.182
t	s_t	0.176
ɛ	ˈa	0.171
f	w	0.16
j	ˈe	0.158
w	ˈy	0.154
ɔ	ˈu	0.15
ʃ	k_a	0.143
y	-	0.143
n	-	0.143
ɛ̃	ˈi_ŋ	0.136
e_#>	#>	0.133
d	-	0.133
a	j	0.125
ɛ	j	0.122
#>	e_#>	0.122
i	j	0.121
t	ʃ	0.118
ʒ	ɡ	0.111
ʒ	-	0.111
<#_l	<#_ʎ	0.111
ɑ̃	ˈe	0.105
ɑ̃	ˈa	0.105
u	ˈu_t	0.105
j	ˈe_ʎ	0.105
b	b_ˈa	0.105
ɔ	ˈɔ_r	0.1
ɛ̃	ˈi	0.091
ɛ̃	ˈa	0.091
i	ˈe	0.091
i	i	0.091
i	-	0.091
#>	k_#>	0.089
#>	s_#>	0.078
ɛ	ˈa_j	0.073
ɛ	a	0.073
l	ɾ_ɔ	0.071
s	ʃ	0.07
m	nː	0.069
v	-	0.065
i	ˈɛ_ʦ	0.061
i	ˈi_z	0.061
ʁ	-	0.054
