Western Lombard	Western Lombard	probability
ˈɛ_r	ˈɛ_rː	1.0
ˈɛ_k	ˈɛ_kː	1.0
ˈɑː	ˈa	1.0
ˈỹ	ˈu_n	1.0
ˈy	ˈu	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi_n	1.0
ˈi_#>	ˈɛ_#>	1.0
ˈa_s	ˈa_sː	1.0
ˈa_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
y_f	fː	1.0
y	u	1.0
w	w	1.0
ũ	u_n	1.0
u_l	u_l	1.0
u_d	u_t	1.0
u	u	1.0
t_ˈɛ	t_ˈe	1.0
p	p	1.0
o	u	1.0
n_ˈeː	n_ˈɛ	1.0
k_r	k_r	1.0
ĩ	-	1.0
ẽ	a_n	1.0
d_e	t_r	1.0
a_d	a_t	1.0
a	a	1.0
<#_ˈoː	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
m	m	0.906
b	b	0.905
r	r	0.869
ˈu	ˈɔ	0.846
ˈɔ	ˈɔ	0.833
ˈiː	ˈi	0.833
k	k	0.826
ˈã	ˈa_n	0.818
ˈyː	ˈu	0.812
f	f	0.8
ʒ	ɟ	0.778
n	n	0.75
d	d	0.75
ˈẽ	ˈɛ_n	0.714
v	v	0.69
ˈuː	ˈɔ	0.667
ʤ	ɟ	0.667
t	t	0.667
i	i	0.667
#>	u_#>	0.64
ˈeː	ˈɛ	0.625
ˈøː	ˈɔ	0.615
j	j	0.6
ˈe	ˈe	0.556
s	s	0.537
l	l	0.526
ˈœ	ˈɔ	0.5
ˈœ	ˈo	0.5
ˈũ	ˈɔ_n	0.5
ˈũ	ˈo_n	0.5
ʧ	c	0.5
z	-	0.5
ˈɛ	ˈɛ	0.467
ˈɛ	ˈe	0.467
l	lː	0.421
ˈi	ˈi	0.4
ˈi	e	0.4
e	i	0.385
ˈeː	ˈe	0.375
ɡ	ɡ	0.364
ɡ	k	0.364
ˈuː	ˈo	0.333
ʤ	-	0.333
z	z	0.333
i	-	0.333
j	ʎ	0.3
#>	e_#>	0.293
ˈẽ	ˈɛ	0.286
ɡ	-	0.273
e	e	0.269
d	t	0.25
ˈøː	ˈo	0.231
t	tː	0.231
ˈe	ˈɛ	0.222
ˈe	-	0.222
ʒ	-	0.222
ʧ	ɟ_e	0.214
ʧ	tː	0.214
ˈi	ˈu	0.2
ˈyː	-	0.188
ˈã	ˈa	0.182
v	p	0.172
ˈɔ	ˈo	0.167
ˈiː	ˈɛ	0.167
z	ʒ	0.167
ˈøː	-	0.154
ˈu	ˈo	0.154
e	r	0.154
v	-	0.138
f	v_e	0.133
n	nː	0.125
n	-	0.125
s	ʧ_e	0.119
e	-	0.115
j	-	0.1
b	bː	0.095
e	a	0.077
ʧ	dː	0.071
ˈɛ	ˈɛ_r	0.067
f	v_u	0.067
m	m_ˈɔ	0.062
l	u	0.053
t	d_u	0.051
t	d	0.051
