Meixian	Meixian	probability
⁵	⁵	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʋ	w	1.0
ɲ	nˡ	1.0
ɕ	s	1.0
ç	kʰ	1.0
¹¹	⁵³	1.0
²	²⁴	1.0
z̩	i	1.0
t̚	ʔ	1.0
t	t	1.0
p̚	ʔ	1.0
p	p	1.0
n̩	nˡ_y	1.0
l	l̃	1.0
k̚	ʔ	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ʊ	y	1.0
e	a	1.0
cʰ	k	1.0
c	k	1.0
a_⁴⁴	a_⁵⁵	1.0
a_w	o	1.0
a_m	a_ŋ	1.0
<#_ʋ	<#	1.0
<#_ɲ	<#	1.0
<#_n	<#_nˡ	1.0
<#_j	<#_h	1.0
<#_h	<#	1.0
<#	<#_h	1.0
n	ŋ	0.923
³¹	³³	0.913
¹	²⁴	0.857
⁴⁴	⁵⁵	0.833
w	w	0.818
s	s	0.818
m	m	0.8
ʦʰ	ʦʰ	0.75
ŋ	ŋ	0.714
ʦ	ʦ	0.667
tʰ	tʰ	0.667
h	h	0.667
ɔ	o	0.611
pʰ	pʰ	0.5
pʰ	p	0.5
⁵³	²⁴²	0.455
⁵³	²¹³	0.455
ʊ	ø	0.455
ɛ	-	0.429
i	i	0.417
j	j	0.367
ʊ	ɥ	0.364
a	a	0.355
u	u	0.353
ʦ	t	0.333
tʰ	t	0.333
o	o	0.333
o	-	0.333
j	-	0.333
h	kʰ	0.333
f	h_w	0.308
f	h	0.308
ɛ	j	0.286
ɛ	a_j	0.286
ʦʰ	t	0.25
u	w	0.235
f	p	0.231
m	ŋ	0.2
ʊ	o_w	0.182
w	e_w	0.182
s	ʦ	0.182
u	o_w	0.176
⁴⁴	³³	0.167
ɔ	ɑ	0.167
o	j	0.167
o	i	0.167
i	ɛ_j	0.167
i	j	0.167
a	ɑ	0.161
a	e	0.161
f	-	0.154
ŋ	ɥ_ŋ	0.143
ŋ	w_ŋ	0.143
¹	⁵	0.143
j	ɥ	0.133
i	ɛ	0.125
i	u_j	0.125
u	y	0.118
u	w_o	0.118
ɔ	ɑ_w	0.111
ɔ	w_ɔ	0.111
j	ø	0.1
a	ɛ	0.097
a	w_o	0.097
⁵³	⁵⁵	0.091
³¹	²⁴²	0.087
n	a_ŋ	0.077
j	ɛ	0.067
a	j_a	0.065
a	j	0.065
