East Franconian	Pennsylvania German	probability
ˈɪ	ˈɪ	1.0
ˈɔ_ɐ	ˈaː	1.0
ˈɒː	ˈa	1.0
ˈɒ	ˈa	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa	ˈaː	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɣ	ɣ	1.0
ɡ̊_n	ɡ̊	1.0
ə	ə	1.0
z̥_n	s_ə	1.0
z̥	s	1.0
x	x	1.0
v̥	f	1.0
v	ʋ	1.0
s_d̥	ʃ_d̥	1.0
s	s	1.0
r	ɾ	1.0
n_ɐ	n_ɑ	1.0
n_d̥	n	1.0
m	m	1.0
l_n	l	1.0
l_d̥	l_d̥	1.0
l	l	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
b̥͡v̥	b	1.0
ˈʊ	ˈʊ	0.946
ʦ	ʦ	0.939
ç	ç	0.86
ˈɛː	ˈɛː	0.791
ˈɛ	ˈɛ	0.767
b̥	b	0.743
ɐ	ɑ	0.733
n	n	0.695
a	ə	0.662
ˈoː	ˈɔː	0.636
ˈɔ	ˈɔ	0.626
ˈeː	ˈeː	0.579
ŋ	ŋ	0.555
ˈaː	ˈeː	0.553
β	-	0.55
ɣ̊	ɡ̊	0.549
ˈuː	ˈuː	0.546
ˈiː	ˈiː	0.533
d̥	d	0.524
ˈɘ	ˈɛː	0.5
ˈɘ	-	0.5
ɣ̊	-	0.451
β	ʋ	0.45
ɡ̊	k	0.439
d̥	d̥	0.433
ˈeː	ˈɛ	0.421
ɡ̊	ɡ	0.373
ˈuː	ˈoː	0.366
ˈoː	ˈoː	0.364
a	-	0.338
ˈaː	ˈɔː	0.31
b̥	b̥	0.257
ˈiː	ˈeː	0.249
ˈɛ	ˈɛː	0.233
ˈiː	ˈɪ	0.218
ˈɛː	ˈɔɪ̯	0.209
ˈɔ	ˈa	0.187
ˈɔ	-	0.187
n	ə	0.175
ŋ	j	0.157
ç	ɡ̊	0.14
ˈaː	-	0.137
n	-	0.129
ŋ	ə	0.116
ŋ	ç_ə	0.116
ɡ̊	ɡ̊	0.109
ˈuː	ˈɔ	0.088
ɐ	ɾ_ə	0.086
ɐ	ɾ	0.083
ɡ̊	ɡ_ˈeː	0.079
ʦ	-	0.061
ŋ	ɣ	0.056
ˈʊ	ˈaː	0.054
ɐ	ɾ_ɪ	0.053
