Swedish	Swedish	probability
ˈɪ	ˈɪ	1.0
ˈɛː_d	ˈæː	1.0
ˈœː	ˈøː	1.0
ˈøː_n	ˈœ_nː	1.0
ˈæː	ˈæː	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈa	ˈɑ	1.0
ʊ	-	1.0
ʈː	ʈː	1.0
ʈ	ʈ	1.0
ʂ	ʂ	1.0
ɳ	ɳ	1.0
ɪ_ɡ	i	1.0
ɪ	-	1.0
ɡː	ɡː	1.0
ɛ_n	ə_n	1.0
ɛ_l	l	1.0
ɖ	ɾ	1.0
ɕ	ç	1.0
ɔ	ə	1.0
ŋː	ŋː	1.0
ŋ	ŋ	1.0
tʰ	tʰ	1.0
t	t	1.0
sː	-	1.0
s_a	s_ə	1.0
r	ɾ	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	nː	1.0
n_d	nː	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l_v	lː	1.0
kʰ	kʰ	1.0
k	k	1.0
jː	ˈiː	1.0
j_ˈʉː	ˈyː	1.0
h	h	1.0
f	f	1.0
d_#>	#>	1.0
b	b	1.0
<#	<#_d	1.0
s	s	0.957
a	ə	0.948
ˈøː	ˈøː	0.941
v	ʋ	0.938
l	l	0.872
d	d	0.864
ˈʉː	ˈʉː	0.85
tː	tː	0.846
ˈoː	ˈoː	0.842
ɛ	ə	0.8
ˈʏ	ˈʏ	0.778
j	j	0.769
ˈɑː	ˈɑː	0.75
n	n	0.744
ˈɵ	ˈʉ	0.733
ˈɛ	ˈɛ	0.72
pː	p	0.667
kː	kː	0.667
ˈœ	ˈœ	0.636
ɡ	ɡ	0.609
ˈʊ	ˈʉ	0.6
ˈɔ	ˈɔ	0.6
ɧ	ʂ	0.583
ˈɛː	ˈeː	0.571
ˈɛː	ˈɛ	0.429
ˈeː	ˈæɪ̯	0.429
ˈeː	ˈeː	0.429
ɧ	s	0.417
ˈʊ	-	0.4
ˈɔ	-	0.4
ˈœ	-	0.364
pː	pː	0.333
kː	-	0.333
ˈɛ	-	0.28
ɡ	-	0.261
n	nː	0.256
ˈɑː	-	0.25
j	ɡ	0.231
ˈʏ	-	0.222
ɛ	-	0.2
ˈoː	-	0.158
tː	-	0.154
ˈʉː	ˈyː	0.15
ˈeː	ˈiː	0.143
d	-	0.136
ˈɵ	ˈʏ	0.133
ˈɵ	ˈʊ	0.133
ɡ	j	0.13
l	lː	0.128
v	-	0.062
ˈøː	ˈœʏ̯	0.059
a	-	0.052
