Asturian	Portuguese	probability
d	d	1.0
f	f	1.0
k	k	1.0
m	m	1.0
p	p	1.0
r	ʁ	1.0
w	w	1.0
ɟ͡ʝ	-	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ˈu	ˈu	1.0
i	ĩ	0.161
j	j̃	0.11
u	-	0.051
ɾ	ɾ	0.951
ʎ	l	0.901
ˈo	ˈo_w	0.1
ˈo	ˈo	0.41
b	b	0.212
l	w	0.072
t	t	0.972
ð	ð	0.982
ʃ	ʒ	0.922
ˈe	ˈɐ	0.132
ˈo	ˈõ	0.072
β	v	0.632
i	ɨ	0.343
j	j	0.673
l	l	0.313
n	ɲ	0.163
n	-	0.393
o	o	0.053
o	-	0.113
s	ʃ	0.493
ʝ	ʎ	0.423
ʧ	t	0.453
ˈa	ˈa	0.63
e	-	0.074
e	i	0.124
e	ɨ	0.654
l	ɫ	0.464
n	n	0.444
ŋ	-	0.214
ʝ	j_ʎ	0.374
ˈe	ˈɐ_j	0.084
ˈo	ˈɐ̃	0.114
θ	s	0.434
ɲ	n	0.125
ɲ	ɲ	0.875
ˈo	ˈu	0.05
a	ɐ	0.956
i	i	0.496
s	s	0.496
u	u	0.946
ŋ	w̃	0.786
ʝ	ʒ	0.096
ˈa	ˈɐ	0.086
ˈe	ˈi	0.06
ˈi	ˈi	0.96
j	-	0.217
o	u	0.697
ʝ	-	0.107
ʧ	j_t	0.547
b	v	0.788
l	-	0.128
o	ɔ	0.138
ʃ	j_ʃ	0.078
ˈe	ˈe	0.608
θ	z	0.278
θ	ʃ	0.288
ʎ	ʃ	0.099
ˈa	ˈɐ̃	0.269
ˈo	ˈɔ	0.209
β	β	0.339
