German	Insular North Frisian	probability
ˈʏ	ˈɛ	1.0
ˈœ	ˈɛ	1.0
ˈiː_ɐ_#>	ˈɪ_#>	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈa_l	ˈɔa̯_l	1.0
ʁ	r	1.0
ɪ	ɪ	1.0
ɡ̊	ˈaɪ̯	1.0
ɡ_n_#>	#>	1.0
ɡ_n	ç	1.0
ə	-	1.0
ɐ_n	ɐ_n	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
ç_t	ç_t	1.0
x_ə	k	1.0
tʰ	d	1.0
t_n	ɾ	1.0
t_#>	#>	1.0
s_ɐ	d_ɐ	1.0
s_#>	s_#>	1.0
p͡f	pʰ	1.0
n_d	nʲ	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ə	ç	1.0
j	j	1.0
h	h	1.0
f_n	p	1.0
f_l	f_l	1.0
b̥	f	1.0
<#_ˈa	<#_ˈɔː	1.0
<#_n	<#_n	1.0
z	s	0.895
v	v	0.867
b	b	0.864
f	f	0.828
n_#>	#>	0.778
ɡ	ɡ	0.769
ˈoː	ˈɔa̯	0.75
k	k	0.75
ɐ	ɐ	0.722
n_d̥	n	0.714
x	x	0.667
t	t	0.658
s	t	0.65
ʦ	tʰ	0.643
ˈɔʏ̯	ˈyː	0.6
ˈeː	ˈiː	0.6
ç	k	0.6
ʃ	s	0.577
ˈaʊ̯	ˈʏ	0.562
ˈyː	ˈɛ	0.5
ˈyː	ˈøː	0.5
ˈiː	ˈiː	0.5
ˈaː	ˈɔː	0.5
d̥	ɾ	0.5
d̥	t	0.5
ˈɪ	ˈɪ	0.478
ˈa	ˈa	0.444
d	tʰ	0.444
ˈɛ	ˈɛ	0.429
ʃ	s_k	0.423
ˈaɪ̯	ˈɪ	0.421
ˈɔʏ̯	ˈʏ	0.4
ˈeː	ˈɛ	0.4
ˈʊ	ˈʊ	0.364
ˈɔ	ˈuː	0.357
ʦ	t	0.357
s	s	0.35
t	ɾ	0.342
x	k	0.333
ˈuː	ˈʊ	0.3
ˈuː	ˈɔ	0.3
ˈɔ	ˈɔ	0.286
n_d̥	nʲ	0.286
d	d	0.278
ˈʊ	ˈœ	0.273
ˈaɪ̯	ˈiː	0.263
ˈɪ	ˈɛ	0.261
ˈoː	ˈuː	0.25
ˈiː	ˈʏ	0.25
ˈiː	ˈɛ	0.25
k	ç	0.25
ɡ	ç	0.231
n_#>	ə_#>	0.222
ˈɔ	ˈʊ	0.214
ˈaː	ˈiː	0.214
ˈuː	ˈʏ	0.2
ˈuː	ˈœ	0.2
ç	ŋ	0.2
ç	ç	0.2
ˈaʊ̯	ˈoː	0.188
ˈa	ˈɔː	0.185
ˈʊ	ˈʏ	0.182
ˈʊ	-	0.182
ˈɪ	ˈʊ	0.174
f	p	0.172
d	ə	0.167
ˈaɪ̯	ˈɛ	0.158
ˈaɪ̯	ˈeː	0.158
ˈɛ	ˈɛː	0.143
ˈɛ	ˈɔ	0.143
ˈɛ	ˈeː	0.143
ˈɛ	ˈa	0.143
ˈɔ	ˈœ	0.143
ˈaː	ˈa	0.143
ˈaː	-	0.143
b	-	0.136
v	-	0.133
ˈaʊ̯	ˈyː	0.125
ˈaʊ̯	-	0.125
ˈa	ˈʊ	0.111
ˈa	ˈuː	0.111
ɐ	r_ə	0.111
d	ɾ	0.111
z	ʃ	0.105
ˈɪ	ˈeː	0.087
ɐ	ɐ_x	0.083
ɐ	x	0.083
ˈa	ˈœ	0.074
ˈa	ˈeː	0.074
