Slovak	Ukrainian	probability
d	d	1.0
j	j	1.0
v	ʋ	1.0
ɟ	d	1.0
ɲ	nʲ	1.0
ʎ	lʲ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈaː	ˈɔ	1.0
ˈi	ˈɪ	1.0
ˈuː	ˈu	1.0
ˈæ	j_ˈɑ	1.0
a	ˈɑ	0.611
b	b	0.921
t	t	0.861
z	z	0.971
ˈr̩	r	0.551
ˈɛ	ˈi	0.541
i	e_j	0.652
n	n	0.972
r	rʲ	0.192
ɫ	lʲ	0.052
ˈu	ˈu	0.862
iː	e_j	0.683
m	mʲ	0.183
s	s	0.703
ʃ	ʒ	0.633
ʦ	ʦ	0.443
ˈɔ	ˈɔ	0.353
c	t_e	0.304
l	lʲ	0.214
r	ɔ_r	0.134
r	r	0.674
x	ɦ	0.304
ɔ	ɔ	0.754
ɛ	i	0.164
ɦ	ɦ_ˈɔ	0.174
ɪ̯ˈɛ	i	0.384
ʋ	w	0.104
p	b	0.265
ˈa	ɔ	0.15
ˈa	ɐ	0.265
ˈɛ	ɛ	0.185
c	t	0.186
l	ɫ	0.786
p	p	0.656
x	x	0.696
ɔ	ˈɔ	0.246
ɦ	ɦ	0.826
ʋ	ʋʲ	0.36
ʋ	ʋ	0.536
ˈɛ	ˈɛ	0.226
iː	ˈɪ_j	0.317
m	m	0.817
s	sʲ	0.297
ɛ	ˈi	0.247
ɪ̯ˈɛ	ɔ	0.117
ʃ	ʃ	0.367
ʦ	ʦʲ	0.557
ˈa	ˈɑ	0.167
ˈɫ̩	ˈɔ_ʍ	0.77
c	tʲ	0.48
i	ˈɪ	0.348
k	k	0.968
ˈa	ˈɔ	0.258
ˈu	ʊ	0.138
ˈɔ	ˈi	0.268
a	ɐ	0.389
b	bʲ	0.079
p	pʲ	0.079
t	d	0.139
ɛ	ɛ	0.589
ɪ̯ˈɛ	ˈi	0.499
ɫ	ɔ_ɫ	0.159
ɫ	ɫ	0.789
ˈa	ˈi	0.159
ˈr̩	ˈɛ_r	0.449
ˈɔ	ɔ	0.379
ˈɫ̩	ˈɔ_ʋ	0.209
