Old West Norse	Old English	probability
θ	θ	1.0
ˈɛː	-	1.0
ˈɛi̯	ˈɑː	1.0
ˈɔː	ˈoː	1.0
ˈɒu̯	ˈæːɑ̯	1.0
ˈɑu̯	ˈæːɑ̯	1.0
ˈøː	ˈeː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈi	ˈi	1.0
ˈa	ˈɑ	1.0
ʦ	d_i	1.0
ʝː	ʤː	1.0
ɾ	r	1.0
ɑː	iːy̯	1.0
ð_j	dː	1.0
ç	h	1.0
x	h	1.0
w	w	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	r	1.0
r_t	r_t	1.0
r_n	r_n	1.0
pː	pː	1.0
pʰ	p	1.0
p	p	1.0
n̥	h_n	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
l̥	h_l	1.0
j_ˈɔ	ˈeo̯	1.0
j_ˈɑ	ˈeo̯	1.0
j_ˈuː	ˈeːo̯	1.0
j_ˈoː	ˈeːo̯	1.0
i_ɡ	iː	1.0
h	h	1.0
f	f	1.0
d	d	1.0
cː	ʧː	1.0
cʰ	k	1.0
b	b	1.0
r	r	0.945
s	s	0.877
ŋ	ŋ	0.864
kʰ	k	0.792
a	ɑ	0.75
tː	t	0.683
ˈɔ	-	0.678
ɑ	ɑ_n	0.677
k	k	0.66
ˈeː	ˈeː	0.645
ɡː	ʤ	0.642
ɡ	ɡ	0.632
u	-	0.618
ˈu	ˈu	0.6
ð	d	0.57
ˈøy̯	ˈiːy̯	0.562
ɟ	j	0.543
ˈoː	w	0.541
kː	kː	0.53
l	l	0.522
ˈe	ˈe	0.52
ˈo	ˈo	0.517
ɣ	j	0.515
ˈɛ	ˈe	0.511
ˈɛ	ˈæː	0.489
ˈy	ˈo	0.489
ɣ	ɣ	0.485
l	ɫ	0.478
nː	n	0.477
kː	ŋ_k	0.47
ˈoː	ˈoː	0.459
ɟ	ɡ	0.457
ˈøy̯	-	0.438
lː	ɫ_d	0.432
v	v	0.412
lː	ɫː	0.398
i	o	0.394
u	i	0.382
j	-	0.374
ɡː	-	0.358
r̥	r	0.357
ˈeː	ˈeːo̯	0.355
k	ʧ	0.34
ˈɑ	ˈæɑ̯	0.332
r̥	e	0.327
ˈɔ	ˈɑ	0.322
tː	ç	0.317
i	-	0.31
nː	nː	0.307
v	w	0.298
ˈɑː	ˈæːɑ̯	0.286
ˈyː	ˈeːo̯	0.275
ˈe	-	0.275
ˈy	ˈy	0.265
ˈyː	ˈuː	0.261
ˈyː	ˈiːy̯	0.261
i	e	0.253
j	ˈeːo̯	0.25
j	ˈe	0.25
a	e	0.25
ˈy	ˈi	0.246
ˈɑ	ˈæ	0.245
ˈo	ˈu	0.243
ˈo	-	0.24
ɑ	e	0.237
nː	-	0.217
ˈɑː	ˈæː	0.213
ˈɑ	ˈɑ	0.211
kʰ	ʧ	0.208
ˈɑː	ˈoː	0.206
ˈe	ˈi	0.205
ˈyː	ˈyː	0.203
ɡ	ɣ̊	0.198
v	f	0.184
ð	θ	0.172
lː	ɫ	0.17
ˈu	ˈuː	0.152
ˈɑ	-	0.146
ŋ	-	0.136
ˈɑː	ˈɑː	0.133
ð	-	0.132
j	xː	0.127
ð	ð	0.126
ˈu	ˈy	0.118
r̥	e_r	0.116
v	-	0.088
ˈɑː	ˈi	0.086
ɡ	-	0.086
ɡ	j	0.084
ˈɑː	æːɑ̯	0.076
r̥	u	0.071
r̥	t	0.067
ˈɑ	ˈe	0.066
ˈu	ˈo	0.065
ˈu	w	0.065
r̥	x	0.063
r	r_ˈeːo̯	0.055
s	s_w	0.052
