Spanish	Québécois French	probability
f	f	1.0
i	i	1.0
r	ʁ	1.0
w	-	1.0
ŋ	-	1.0
a	e	0.181
d	-	0.051
l	l	0.751
n	n	0.411
o	u	0.071
o	ẽɪ̯̃	0.331
p	p	0.891
ð	-	0.971
ɾ	-	0.211
ʧ	t	0.71
β	-	0.501
m	-	0.272
o	e	0.052
ɡ	-	0.052
ɲ	-	0.472
ˈa	-	0.232
ˈe	ɛ	0.132
ˈi	-	0.072
ˈi	i	0.352
ˈo	øʏ̯	0.052
ˈu	w	0.592
β	v	0.412
θ	-	0.342
a	ɛ	0.103
o	i	0.053
ɟ͡ʝ	-	0.773
ɣ	ɡ	0.063
ʝ	-	0.23
d	d	0.464
s	s	0.624
ɾ	ʁ	0.774
ˈa	a	0.114
ˈe	ã	0.064
ˈe	w_ɛ	0.104
ˈo	ʊ	0.074
b	-	0.055
b	b	0.165
e	-	0.365
j	j	0.455
j	-	0.545
o	ɒ̃ʊ̯̃	0.105
t	t	0.525
x	-	0.585
ˈe	æɛ̯	0.285
θ	z	0.25
d	ʣ	0.486
e	œ	0.366
k	-	0.076
k	ʃ	0.536
s	-	0.376
t	-	0.436
ˈe	-	0.176
ˈo	-	0.116
a	-	0.097
a	a	0.597
o	-	0.087
x	j	0.127
ɟ͡ʝ	ʒ	0.227
ɣ	-	0.937
ʝ	l	0.77
ˈa	ã	0.17
ˈa	æɛ̯	0.37
ˈi	ɪ	0.307
b	v	0.78
k	k	0.388
m	m	0.728
o	øʏ̯	0.068
o	oʊ̯	0.128
x	ʒ	0.288
ɡ	ɡ	0.948
ɲ	ɲ	0.528
ˈi	ẽɪ̯̃	0.178
ˈu	-	0.08
ˈu	y	0.28
e	w	0.209
l	-	0.249
n	-	0.589
p	-	0.109
ʧ	ɥ	0.29
ˈa	ɛ	0.079
ˈe	i	0.099
ˈi	w	0.059
ˈo	aœ̯	0.119
ˈo	oʊ̯	0.159
ˈo	u	0.399
θ	s	0.369
