Galician	Galician	probability
θ_ʊ	ʦ	1.0
β_ʊ	w	1.0
β_ɪ	w	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_ɾ	ˈɔ_ʀ	1.0
ˈɑ	ˈa	1.0
ˈu_ɾ	ˈy	1.0
ˈo_ŋ	ˈu	1.0
ˈo_w	ˈa_w	1.0
ˈo_j	ˈy	1.0
ˈi_ɲ	ˈi	1.0
ˈi_ɐ	ˈi_ɔ	1.0
ɾ_ʊ_#>	ʀ_#>	1.0
ɾ_ʊ	ɾ_e	1.0
ɾ_ɐ	ɾ_ɔ	1.0
ɾ_n_ʊ_#>	ʀ_#>	1.0
ɾ_#>	#>	1.0
ɲ_ʊ_#>	ɲ_#>	1.0
ɪ_#>	#>	1.0
ɪ	e	1.0
ɣ_ʊ	k	1.0
ɟ_ʊ	l	1.0
ɟ	ʎ	1.0
ɔ	u	1.0
ɑ	a	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
ð_ɪ	t	1.0
v	β	1.0
u	u	1.0
t_ʊ_#>	#>	1.0
t_ʊ	ʧ	1.0
t_ɪ_#>	#>	1.0
t_ɐ	t_ɔ	1.0
s_k	s_k	1.0
s_#>	s_#>	1.0
p_ʊ	s	1.0
p	p	1.0
m_ɪ_#>	m_#>	1.0
m_j	nː	1.0
l_e	l_e	1.0
l_#>	l_#>	1.0
k_ʊ_#>	k_#>	1.0
k	k	1.0
f	f	1.0
b	b	1.0
<#_θ	<#_s	1.0
<#_ˈo	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#	<#_a	1.0
ˈa	ˈa	0.966
m	m	0.966
ɐ	ɔ	0.954
t	t	0.905
ʊ_#>	#>	0.882
e	e	0.882
ˈi	ˈi	0.862
d	d	0.833
n	n	0.8
s	s	0.789
l	l	0.762
ɡ	ɡ	0.727
ˈu	ˈy	0.722
ʃ	ʤ	0.722
ɣ	ɣ	0.714
β	β	0.692
a	a	0.69
o	u	0.619
ˈe_ɾ	ɾ_e	0.6
w	-	0.6
r	ɾ	0.6
ˈo	ˈu	0.583
ð	ð	0.579
ˈɔ	ˈɔ	0.545
ɲ	n	0.545
ɾ	ɾ	0.521
ˈe	ˈe	0.51
ʧ	p_l	0.5
ɲ	ɲ	0.455
i	i	0.444
#>	l_#>	0.429
ˈe_ɾ	e	0.4
ʊ	w	0.4
w	w	0.4
r	ʀ	0.4
j	j	0.4
θ	s	0.389
j	ˈɛ	0.35
θ	ʦ	0.333
i	e	0.333
ˈɔ	ˈu	0.318
ʊ	l	0.3
ʊ	e	0.3
ɣ	-	0.286
o	-	0.286
#>	n_ɔ_#>	0.286
#>	e_#>	0.286
ˈu	ˈu	0.278
ʃ	s	0.278
ɡ	k	0.273
ð	t	0.263
ʧ	l	0.25
ʧ	k_l	0.25
j	-	0.25
l	-	0.238
i	-	0.222
s	z	0.211
ɾ	ʀ	0.208
ˈe	ˈɛ	0.204
n	-	0.2
θ	z	0.167
d	-	0.167
ð	-	0.158
β	w	0.154
β	-	0.154
ˈo	ɥ	0.139
ˈi	ˈe	0.138
a	ˈa	0.138
ˈɔ	ɥ_ˈɔ	0.136
ʊ_#>	i_#>	0.118
e	-	0.118
θ	-	0.111
ˈo	ˈɔ	0.111
a	-	0.103
t	ʧ	0.095
o	e	0.095
ˈo	ˈu_n	0.083
ˈo	ɥ_ˈɛ	0.083
ɾ	ɾ_e	0.083
ˈe	j	0.082
a	ɔ	0.069
ɾ	ˈi	0.062
