Megleno-Romanian	Megleno-Romanian	probability
ˈɛ	ˈɛ	1.0
ˈɔ	ˈa	1.0
ʃ	-	1.0
ɡ	ɡ	1.0
ɔ	ˈɛ	1.0
ŋ	-	1.0
w_ˈo	ˈo	1.0
w_ə	β_ɛ	1.0
v	b	1.0
t_#>	t_u_#>	1.0
t	t	1.0
s	s	1.0
p_t	t	1.0
p	p	1.0
o̯ˈa	ˈɔ	1.0
n_#>	n_u_#>	1.0
m	m	1.0
kʲ	p	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j_n	n	1.0
j	-	1.0
f	f	1.0
e̯ˈa	ˈi	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_k	<#	1.0
<#_j	<#	1.0
ə	a	0.923
ˈu	ˈu	0.882
i	ɛ	0.8
n	n	0.759
d	d	0.714
ˈa	ˈa	0.682
r	ɾ	0.657
#>	u_#>	0.636
z	-	0.6
ˈo	ˈo	0.538
u	u	0.538
ˈe	ˈe	0.5
ʦ	k	0.5
ʦ	-	0.5
ʎ	ɾ	0.5
l	l	0.5
<#	<#_t	0.5
<#	<#_b	0.5
z	ɡ	0.4
ˈi	ˈi	0.389
ʎ	ʣ	0.357
ˈa	ˈɛ	0.318
ˈo	ˈu	0.308
ˈe	ˈi	0.286
d	ð	0.286
l	ɾ	0.273
#>	ɛ_#>	0.242
u	ɔ	0.231
u	o	0.231
ˈi	ˈe	0.222
ˈe	ˈɛ	0.214
ˈi	ˈɛ	0.167
ˈo	-	0.154
ʎ	-	0.143
r	r	0.143
r	l	0.143
l	ɖː	0.136
#>	a_#>	0.121
ˈu	ˈo	0.118
ˈi	f_ˈi	0.111
ˈi	-	0.111
n	nː	0.103
l	-	0.091
i	-	0.086
ə	ɛ	0.077
n	m_ɛ	0.069
n	-	0.069
r	-	0.057
i	i	0.057
i	e	0.057
