Friulian	Friulian	probability
ˈɛ_s	s_u	1.0
ˈɛ_l	ɖː_u	1.0
ˈɔː	ˈa	1.0
ˈi_l	ˈi_ɖː	1.0
ˈi_e	ˈi_a	1.0
ˈaː_t	ˈa_ð	1.0
ˈa_t	ˈa_t	1.0
ˈa_m	ˈa_m	1.0
ʧ_e	ʦ_a	1.0
ʤ	b	1.0
ɟ	ɣ	1.0
ŋ_k	m_b	1.0
z_v	b	1.0
z	z	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈɔ	1.0
w_ˈa	ˈɔ	1.0
t_e	t_a	1.0
r_t	ɾ	1.0
r_i	ɾ_u	1.0
r_e	ɾ_a	1.0
p	p	1.0
m	m	1.0
l_s	ɾ_ʦ	1.0
l_i	j_u	1.0
k_l	k_ɾ	1.0
i_ʧ	i_ɣ	1.0
f_l	f_ɾ	1.0
f_#>	ɛ_#>	1.0
e_r	i_ɾ	1.0
e_n	e_n	1.0
d_e	ð_a	1.0
c	k	1.0
b	b	1.0
a_m	a_m	1.0
a_d	a_ð	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʣ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
n	n	0.882
f	f	0.88
ˈu	ˈu	0.867
e	a	0.865
t	t	0.805
k	k	0.8
ˈa	ˈa	0.775
<#	<#_i	0.769
s	s	0.759
ˈeː	ˈi	0.75
r	ɾ	0.735
ˈi	ˈi	0.724
ʧ	k	0.714
v	b	0.68
d	-	0.667
ˈaː	ˈa_ɾ	0.636
j_ˈɛ	ˈɛ	0.636
ˈoː	ˈɔ	0.625
ˈɔ	ˈɔ	0.556
u	u	0.556
l	l	0.556
ˈiː	ˈɛ	0.5
ɲ	n_ʣ	0.5
a	a	0.5
ˈɛ	ˈe	0.462
ˈuː	ˈu	0.462
o	ɔ	0.462
#>	ɛ_#>	0.445
u	-	0.444
ˈo	ˈu	0.438
ˈe	ˈi	0.435
ŋ	n_u	0.435
ŋ	n_ɛ	0.391
ˈuː	ˈo	0.385
w	ˈo	0.385
w	-	0.385
ˈoː	ˈu	0.375
a	-	0.375
#>	u_#>	0.375
ˈaː	ˈa	0.364
j_ˈɛ	ˈe	0.364
ˈo	ˈɔ	0.344
ɡ	ɡ	0.333
d	ð	0.333
i	ɛ_ɾ	0.31
i	i	0.276
ɡ	b	0.267
ɡ	-	0.267
ˈe	ˈɛ	0.261
ˈiː	ˈi_ɾ	0.25
ˈiː	ɛ	0.25
ˈeː	-	0.25
ɲ	ɲ	0.25
ɲ	n	0.25
j	ˈe	0.25
ˈɛ	ˈɛ	0.231
w	u	0.231
o	o	0.231
<#	<#_a	0.231
ˈɔ	ˈu	0.222
ˈɔ	-	0.222
k	ɣ_u	0.2
j	j	0.188
j	-	0.188
i	ɛ	0.172
l	ɾ	0.167
v	-	0.16
ˈɛ	r	0.154
ˈɛ	-	0.154
ˈuː	ˈɔ	0.154
o	ˈɔ	0.154
o	-	0.154
ʧ	t_u	0.143
ʧ	-	0.143
ˈu	ˈo	0.133
ɡ	k	0.133
ˈe	ˈe	0.13
ˈo	-	0.125
j	ˈɛ	0.125
j	ʣ_u	0.125
j	ʣ	0.125
a	ɛ	0.125
t	ð	0.122
f	u	0.12
n	nː	0.118
ˈi	ˈi_ʣ	0.103
ˈi	ˈe	0.103
i	-	0.103
e	-	0.096
ˈo	ˈo	0.094
s	ɣ_ɛ	0.093
ˈe	ˈɛ_ɣ	0.087
ˈe	-	0.087
ŋ	u	0.087
ŋ	nː	0.087
l	ɖː	0.083
l	j	0.083
r	r	0.082
r	-	0.082
v	β	0.08
v	ɛ_ɾ	0.08
ˈa	-	0.075
t	-	0.073
ˈi	-	0.069
i	u	0.069
i	i_ɣ	0.069
#>	ɔ̆_#>	0.062
r	u	0.061
s	ɔ_z	0.056
s	z	0.056
l	z_ˈa	0.056
l	-	0.056
