Bellunese	Bellunese	probability
ˈɛ_ð	ˈi	1.0
ˈo_s	j_s	1.0
ʧ_o	ʎ	1.0
ʧ	k_l	1.0
ʤ	ɡ	1.0
ŋ_#>	n_#>	1.0
w	w	1.0
v_o	f	1.0
u	-	1.0
t_a	t_ə	1.0
s	s	1.0
r_#>	r_#>	1.0
p	p	1.0
o_r	u_r	1.0
m	m	1.0
l_a	l_ə	1.0
k_ˈa	ʧ_j	1.0
j_ˈe	j_ˈɛ	1.0
j_ˈa	l_ˈã	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɔ	<#	1.0
<#_ð	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ã	1.0
t	t	0.935
l	l	0.913
r	r	0.9
θ	ʦ	0.882
i	-	0.875
n	n	0.808
v	v	0.8
a	ə	0.736
ˈɛ	ˈɛ	0.72
ˈɔ	ˈɔ	0.714
s_#>	s_#>	0.714
e_r	r_ə	0.7
ˈu	ˈy	0.636
ɲ	ɲ	0.6
ɡ_o_#>	#>	0.6
ɡ	ɡ	0.571
ŋ	n	0.556
z	z	0.556
e	ə	0.556
k	k	0.543
o	-	0.5
d	d	0.5
<#	<#_ʤ	0.5
<#	<#_ɡ	0.5
k	ʧ	0.457
z	-	0.444
#>	s_#>	0.444
ˈi	ˈi	0.44
ɡ	-	0.429
j	-	0.417
ɲ	-	0.4
ɡ_o_#>	w_#>	0.4
ŋ	ŋ	0.333
j	l	0.333
d	-	0.333
#>	ə_#>	0.333
ˈi	ˈĩ	0.32
ˈo	ˈũ	0.3
ˈo	ˈu	0.3
e_r	r	0.3
ˈe	ˈɔ_j	0.286
s_#>	#>	0.286
ˈe	ˈẽ	0.257
j	j	0.25
ˈi	-	0.24
e	-	0.222
#>	t_#>	0.222
ˈɔ	-	0.214
ˈa	ˈe	0.185
ˈa	ˈa	0.185
ˈu	ˈỹ	0.182
ˈu	-	0.182
d	j	0.167
o	u	0.156
ˈa	ˈɛ	0.148
ˈa	ˈã_j	0.148
ˈa	ˈã	0.148
ˈo	w_ˈɛ	0.133
v	-	0.133
o	ə	0.125
i	ĩ	0.125
ˈɛ	-	0.12
θ	-	0.118
n	-	0.115
ˈe	ˈɛ	0.114
ˈe	ˈe	0.114
ˈe	-	0.114
a	a	0.113
ŋ	m	0.111
e	ˈi	0.111
e	j	0.111
ˈo	ˈɛ	0.1
ˈo	ˈy	0.1
o	r	0.094
l	ə	0.087
ˈɛ	ˈi	0.08
ˈɛ	ˈẽ	0.08
n	n_ə	0.077
ˈɔ	ˈo	0.071
ˈo	w	0.067
v	f	0.067
t	-	0.065
o	ũ	0.062
o	l	0.062
ˈe	ˈɔ	0.057
ˈe	ˈẽ_j	0.057
ˈa	j_ˈɛ	0.056
ˈa	j_ˈe	0.056
