Eastphalian	Old Frisian	probability
ˈɛə̯	ˈe	1.0
ˈɔʏ̯	ˈeː	1.0
ˈœ_l	l_ə	1.0
ˈœ	ˈu	1.0
ˈøː	-	1.0
ˈyː	ˈi̯uː	1.0
ˈeo̯	ˈaː	1.0
ˈaː	-	1.0
ˈaʊ̯	ˈoː	1.0
ˈaɪ̯	ˈaː	1.0
ʃ	s_k	1.0
ɪ	i	1.0
ɣ̊	-	1.0
ɡ	-	1.0
ɒː	iː	1.0
ɐ_n	r_ə	1.0
w	w	1.0
v̥	f	1.0
s	s	1.0
m_n	m_ə	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b_m	p_ə	1.0
m	m	0.945
r	r	0.926
l	l	0.9
p	p	0.889
ˈiː	ˈiː	0.882
b	b	0.871
ˈuː	ˈuː	0.861
t	t	0.836
ə	ə	0.832
ˈʊ	ˈu	0.805
v	w	0.776
ˈɪ	ˈi	0.77
ˈɛ	ˈe	0.75
k	k	0.701
x	x	0.693
z	s	0.692
ˈʏ	ˈe	0.688
ŋ	ŋ_ɡ	0.64
n	n	0.597
j	j	0.595
ɐ	r	0.551
ˈɛː	ˈe	0.541
ˈeː	ˈe	0.532
ç	ɣ̥	0.5
ç	x	0.5
d	d	0.49
ˈa	ˈa	0.487
ɣ	ɡ	0.48
ˈɛɪ̯	ˈi̯aː	0.479
ˈoː	ˈo	0.459
d	θ	0.454
j	-	0.405
ˈɔ	ˈo	0.387
ˈɒː	ˈeː	0.381
ˈɒː	ˈɔː	0.339
ˈʏ	-	0.312
ɐ	ə_r	0.31
ˈeː	-	0.309
z	z	0.308
ˈoː	ˈaː	0.307
x	ɣ̥	0.307
ˈa	ˈɔː	0.301
ˈɛɪ̯	ˈɛː	0.295
ˈɛː	-	0.271
ˈɛ	ˈi	0.25
ˈoː	ˈɔː	0.235
ˈɔ	ˈa	0.231
ˈɪ	-	0.23
ˈɔ	ˈu	0.225
ˈa	ˈe	0.213
ɣ	ɣ_ə	0.198
k	k_ə	0.198
ˈɛː	ˈi	0.188
ŋ	ɣ_ə	0.18
ŋ	ŋ	0.18
n	ə	0.179
ˈɒː	ˈa	0.169
ə	-	0.168
ɣ	-	0.162
ˈeː	ˈi̯uː	0.16
ɣ	ɣ	0.16
ˈɔ	-	0.156
ˈuː	-	0.139
ɐ	r_ə	0.139
v	v	0.13
b	bː	0.129
ˈiː	ˈeː	0.118
ˈɒː	ˈe	0.111
p	pː	0.111
ˈɛɪ̯	-	0.101
k	ʦ	0.101
ˈʊ	ˈoː	0.098
ˈʊ	ˈo	0.098
v	-	0.095
n	nː	0.08
ˈɛɪ̯	ˈaː	0.076
t	tː	0.075
r	h_r	0.074
d	dː	0.056
t	-	0.055
m	mː	0.055
