Gascon	Emilian	probability
h	f	1.0
i	i	1.0
u	u	1.0
y	u	1.0
ð	d	1.0
ɲ	ɲ	1.0
ʤ	d	1.0
ʦ	z	1.0
k	ɡ	0.171
w	ˈuː	0.051
ŋ	n	0.101
ˈa	ˈaː	0.261
ˈɛ	ˈɛː	0.121
ˈɛ	ˈaː	0.181
e	-	0.142
j	j	0.142
l	j	0.172
w	w	0.102
z	-	0.352
ɡ	-	0.052
ɣ	ɡ_e	0.402
ɾ	l	0.072
ɾ	r	0.852
ʎ	j	0.432
ʒ	-	0.242
ˈɔ	ˈɔ	0.382
β	v	0.942
a	a	0.993
b	b	0.313
e	a	0.113
e	e_r	0.483
j	-	0.543
r	r_e	0.213
r	r	0.753
s	θ	0.243
w	l	0.513
ʎ	ʧ	0.463
ʒ	ʤ	0.073
ˈa	ˈɛ_r	0.183
d	d	0.994
k	k	0.814
p	p	0.964
t	t	0.674
w	-	0.274
ɔ	-	0.14
ɔ	a	0.854
ˈe	ˈa	0.354
ˈi	ˈe	0.584
ˈu	ˈɔː	0.074
ˈy	ˈo	0.764
l	-	0.15
ʎ	-	0.105
ʒ	ð	0.685
ˈa	ˈɛ	0.265
ˈe	ˈa_j	0.055
ˈe	ˈe	0.115
ˈe	ˈæ	0.145
ˈy	ˈuː	0.215
ˈɔ	ˈɔː	0.575
ˈɛ	ˈɛ	0.505
e	e	0.206
j	d_e	0.286
n	ɲ	0.06
n	ŋ_t	0.216
t	d	0.096
w	j	0.06
ɾ	-	0.076
ˈa	ˈa	0.276
ˈe	ˈo	0.056
ˈe	ˈɛ	0.116
ˈu	ˈaː	0.06
ˈu	ˈʌu̯	0.156
ˈɛ	ˈiː	0.066
b	v	0.687
e	i	0.057
n	ŋ	0.087
n	n	0.637
s	z	0.07
t	-	0.197
ˈi	-	0.067
ˈi	ˈi	0.137
ˈu	ˈo	0.137
l	l	0.678
s	s	0.608
z	z	0.648
ɡ	ɡ	0.948
ɣ	ɡ	0.598
ˈɛ	-	0.058
β	b	0.058
m	m	0.989
s	-	0.079
ŋ	ŋ	0.899
ˈe	ˈiː	0.109
ˈi	ˈiː	0.19
ˈu	ˈʌu̯_r	0.089
ˈu	ˈʌ	0.399
ˈɛ	ˈa	0.069
