Scots	East Franconian	probability
ˈʌu̯	ˈɔ_l	1.0
ˈɛː	-	1.0
ˈəi̯	ˈaɪ̯	1.0
ˈɔɪ̯	ˈɛ_ɐ	1.0
ˈøː	ˈuː	1.0
ˈoː	-	1.0
ˈo	ˈɔ	1.0
ˈiː_r	ɐ	1.0
ˈeː_r	ɐ	1.0
ˈe_t	ˈaː_s	1.0
ˈe_d	ˈuː_d̥	1.0
ˈaːɪ̯	ˈɪ	1.0
ˈaɪ̯	ə	1.0
ʤ	ɡ̊_n	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ	ɡ̊	1.0
ɛ	n	1.0
ə_r	ɐ	1.0
ə_n	n	1.0
ə	-	1.0
ŋ	ŋ	1.0
z	z̥	1.0
v	m	1.0
tʰ	ʦ	1.0
t_ə	z̥	1.0
s_t	ʃ_d̥	1.0
r_ˈɛ	r	1.0
r_ˈi	r	1.0
r_n	ɐ_n	1.0
pʰ	b̥͡v̥	1.0
m	m	1.0
l_d	l_d̥	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	ɡ̊_s	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e	ɪ_ç	1.0
d_r	d̥_r	1.0
b	b̥	1.0
θ	d̥	0.901
w	v	0.897
d	d̥	0.84
ˈʌ	ˈʊ	0.797
n	n	0.745
ˈu	ˈaʊ̯	0.704
ð	ɾ	0.671
x	ɣ̊	0.662
ˈɛ	ˈɛ	0.653
r	ɐ	0.646
s	s	0.623
ˈø	ˈuː	0.612
ˈuː	ˈaʊ̯	0.602
i	eː	0.587
ˈɑː	ˈɒ	0.581
ˈe	ˈaː	0.561
ç	ç	0.547
p	v̥	0.542
ˈa	ˈɒ	0.473
ˈɪ	ˈɪ	0.471
p	f	0.458
ç	x	0.453
i	i	0.413
ˈi	ˈiː	0.4
ˈuː	ˈɔ_l	0.398
ˈa	ˈɛ	0.366
ˈiː	ˈiː	0.35
x	x	0.338
ˈeː	ˈoː	0.334
ð	-	0.329
t	s	0.317
t	ʦ	0.315
ˈu	-	0.296
r	r	0.296
k	x	0.279
t	d̥	0.266
k	ɡ̊	0.261
k	ŋ	0.261
s	ʃ	0.245
ˈɑː	ˈɒ_l	0.241
ˈeː	-	0.24
ˈiː	ˈaɪ̯	0.237
ˈø	ˈoː	0.227
ˈʌ	-	0.203
k	ç	0.199
n	n_a	0.196
ˈi	-	0.179
ˈɑː	-	0.178
ˈiː	ˈɛː	0.173
ˈɪ	-	0.172
ˈe	ˈɒ	0.165
ˈe	-	0.162
ˈø	-	0.161
ˈeː	ˈɒ	0.16
ˈa	ˈoː	0.16
ˈi	ˈoː	0.159
ˈi	ˈaː	0.151
ˈɛ	ˈeː	0.14
ˈeː	ˈoː_ŋ	0.137
s	z̥	0.132
ˈeː	ˈa	0.129
ˈiː	ˈiː_ŋ	0.122
ˈiː	ˈiː_ɐ	0.118
ˈi	ˈuː	0.112
ˈɛ	ˈoː	0.104
ˈɛ	ˈaː	0.104
w	-	0.103
t	z̥_n	0.102
θ	-	0.099
ˈɪ	ˈʊ	0.095
d	d̥_n	0.091
d	-	0.07
ˈɪ	ˈuː	0.064
ˈɪ	ˈɒ	0.063
n	n_d̥	0.059
r	-	0.058
ˈe	ˈɒː	0.056
ˈe	ɣ	0.056
