Emilian	Emilian	probability
θ	θ	1.0
ˈʌ_ŋ	ˈõũ̯	1.0
ˈɛ_r	ˈeə̯	1.0
ˈi	ˈi	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈa_ŋ	ˈʌ̃	1.0
ˈa_j	ˈeː	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɡ	ɡ	1.0
ð	ð	1.0
z	z	1.0
w	v	1.0
v_r	v_r	1.0
s	s	1.0
o	o	1.0
n	n	1.0
l	l	1.0
k_r	k_r	1.0
k_#>	k_#>	1.0
k	k	1.0
j_a	j_ɐ	1.0
i	i	1.0
f	f	1.0
e_r	r_ɐ	1.0
d	d	1.0
b	b	1.0
a_d	ɐ_d	1.0
<#_ˈaː	<#_ˈʌ̃	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
#>	v_#>	1.0
a	ɐ	0.943
m	m	0.931
p	p	0.929
ˈɔː	ˈɔə̯	0.9
j	j	0.895
ˈiː	ˈi	0.875
t	t	0.875
r	r	0.864
v	v	0.848
ˈʌu̯	ˈou̯	0.833
u	u	0.833
ˈuː	ˈu	0.8
ɲ	ɲ	0.778
e	ɐ	0.727
ˈɔ	ˈɔ	0.692
ˈɛː	-	0.667
ˈæ	ˈẽ	0.625
ˈʌ	ˈo	0.571
ˈo	ˈo	0.556
ŋ	n	0.529
ˈaː	ˈa	0.524
ˈɛ	ˈeə̯	0.442
ˈʌ	-	0.429
ˈa	ˈɛ	0.429
ˈɛ	ˈɛə̯	0.419
ˈe	ˈɛ	0.4
ˈe	ˈẽ	0.4
ˈa	ˈʌ̃	0.357
ˈɛː	ˈeː	0.333
ˈo	-	0.333
ˈɔ	ˈo	0.308
ˈæ	ˈɛ	0.25
ˈaː	ˈʌ̃	0.238
ɲ	n	0.222
ˈuː	ˈo	0.2
ˈe	ˈi	0.2
e	-	0.182
ŋ	ŋ	0.176
ˈʌu̯	-	0.167
u	-	0.167
ˈaː	-	0.143
r	-	0.136
ˈæ	ˈɛ̃	0.125
ˈiː	-	0.125
t	t_ɐ	0.125
ˈo	ˈɔə̯	0.111
ˈa	-	0.107
j	-	0.105
ˈɔː	-	0.1
ˈaː	ˈɛ	0.095
v	v_ɐ	0.091
e	i	0.091
ŋ	ˈou̯_n	0.088
ŋ	j̃	0.088
ˈa	ˈeː	0.071
p	-	0.071
m	m_b	0.069
v	-	0.061
ŋ	m	0.059
ŋ	-	0.059
a	a	0.057
