Old English	Luxembourgish	probability
a	-	1.0
b	b	0.99
bː	-	1.0
d	t	0.537
d	d	0.382
d	-	0.063
e	ɐ	0.927
eo̯	-	1.0
f	f	0.861
f	ə_f	0.129
h	h	0.928
h	-	0.072
i	ə	0.852
i	-	0.096
i	e	0.051
iː	ə	1.0
iːy̯	e	1.0
j	ɕ	0.378
j	ɡ	0.301
j	-	0.135
j	j	0.088
j	ˈiː	0.08
k	kʰ	0.362
k	k	0.271
k	χ	0.13
k	ɕ	0.123
k	-	0.085
kː	k	1.0
l	l	0.954
lː	l	1.0
l̥	l	1.0
m	m	0.973
mː	m	1.0
n	n	0.85
n	-	0.107
nː	n	1.0
o	ɐ	0.802
o	ə	0.084
o	-	0.083
p	f	0.924
p	p	0.076
pː	p	1.0
r	ɐ	0.41
r	ʀ	0.392
r	-	0.192
rː	ɐ	0.89
rː	ˈiː	0.11
r̥	ʀ	1.0
s	z	0.47
s	ʃ	0.309
s	s	0.221
t	s	0.483
t	t	0.26
t	ʦ	0.243
tː	ʦ	1.0
v	v	0.708
v	-	0.188
v	kʰ	0.073
w	v	0.477
w	w	0.256
w	-	0.201
x	ɕ	0.761
x	χ	0.119
x	ʃ	0.067
x	-	0.053
z	s	0.669
z	z	0.212
z	ʀ	0.119
ç	ɕ	0.945
ç	χ	0.055
ð	d	0.704
ð	t	0.188
ð	n	0.108
ŋ	ŋ	0.923
ŋ	-	0.077
ɑ	ə	0.714
ɑ	-	0.286
ɡ	ɡ	0.547
ɡ	-	0.264
ɡ	k	0.189
ɣ	-	0.763
ɣ	ʑ	0.102
ɣ	ŋ	0.081
ɣ	ɕ	0.054
ɫ	l	0.945
ɫ	n	0.055
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	v	1.0
ʤ	k	1.0
ʤː	-	1.0
ʧ	kʰ	0.478
ʧ	ɕ	0.427
ʧ	χ	0.095
ʧː	k	1.0
ˈe	ˈeː	0.273
ˈe	ˈiː	0.22
ˈe	ˈiə̯	0.157
ˈe	ˈɛ	0.11
ˈe	-	0.099
ˈe	ˈaː	0.065
ˈeo̯	ˈɛː	0.62
ˈeo̯	ˈiə̯	0.163
ˈeo̯	ˈiː	0.124
ˈeo̯	ˈə	0.093
ˈeː	ɐ	0.241
ˈeː	ˈɜɪ̯	0.15
ˈeː	ˈe	0.14
ˈeː	ˈɑ	0.14
ˈeː	ˈi	0.098
ˈeː	ˈɑɪ̯	0.071
ˈeː	ˈaː	0.07
ˈeːo̯	ˈɜɪ̯	0.454
ˈeːo̯	ˈi	0.168
ˈeːo̯	ˈæːɪ̯	0.107
ˈeːo̯	ˈiː	0.1
ˈi	ˈɑ	0.479
ˈi	ˈe	0.158
ˈi	ˈə	0.135
ˈi	ˈiː	0.079
ˈi	ˈuə̯	0.05
ˈiy̯	ˈaː	0.641
ˈiy̯	ˈi	0.286
ˈiy̯	ˈə	0.074
ˈiː	ˈæːɪ̯	0.656
ˈiː	ˈæɪ̯	0.131
ˈiː	ˈɑɪ̯	0.107
ˈiː	ˈə	0.107
ˈiːy̯	ˈɜɪ̯	0.413
ˈiːy̯	ˈɑɪ̯	0.314
ˈiːy̯	ˈeː	0.172
ˈiːy̯	ˈe	0.102
ˈo	ˈaː	0.317
ˈo	ˈo	0.254
ˈo	ˈuː	0.161
ˈo	ˈuə̯	0.105
ˈo	ˈiː	0.101
ˈoː	ˈəʊ̯	0.361
ˈoː	ˈu	0.279
ˈoː	ˈʊ	0.205
ˈoː	ˈæ	0.07
ˈoː	ˈɑ	0.066
ˈu	ˈo	0.45
ˈu	ˈə	0.187
ˈu	ˈɔ	0.126
ˈu	ˈu	0.123
ˈu	ˈʊ	0.099
ˈuː	ˈæːʊ̯	0.726
ˈuː	ˈɔ	0.101
ˈuː	ˈɑɪ̯	0.079
ˈuː	ˈu	0.057
ˈy	ˈuː	0.317
ˈy	ˈe	0.299
ˈy	ˈə	0.263
ˈy	ˈi	0.086
ˈyː	ˈiː	0.456
ˈyː	ˈɑɪ̯	0.297
ˈyː	ˈæːʊ̯	0.158
ˈyː	ˈə	0.089
ˈæ	ˈaː	0.671
ˈæ	ˈoː	0.296
ˈæɑ̯	ˈaː	0.84
ˈæɑ̯	ˈɑ	0.16
ˈæː	ˈoː	0.533
ˈæː	ˈɑ	0.143
ˈæː	ˈeː	0.135
ˈæː	ˈɜɪ̯	0.119
ˈæː	ˈɑɪ̯	0.071
ˈæːɑ̯	ˈoː	0.293
ˈæːɑ̯	ˈəʊ̯	0.292
ˈæːɑ̯	ˈaː	0.284
ˈæːɑ̯	ˈɜɪ̯	0.086
ˈɑ	ˈɑ	0.582
ˈɑ	ˈaː	0.192
ˈɑ	ˈu	0.166
ˈɑ	ˈuə̯	0.06
ˈɑː	ˈeː	0.684
ˈɑː	ˈɜɪ̯	0.181
ˈɑː	ˈoː	0.094
ˈɛ	ˈæ	0.836
ˈɛ	ˈɛ	0.164
θ	d	0.714
θ	t	0.221
θ	n_t	0.065
