Mainland North Frisian	Mainland North Frisian	probability
ˈɔ	ˈoː	1.0
ˈœi̯	ˈaʊ̯	1.0
ˈai̯	ˈɪ	1.0
ˈa_ʀ	r	1.0
ʀ_ˈʊ	r	1.0
ʀ_s	s	1.0
ɛi̯	ɒː	1.0
ə_ʀ	ɐ	1.0
ə_l	l	1.0
ə_#>	#>	1.0
ç	ə	1.0
z̥	d̥	1.0
z_ə	t_n	1.0
z	z	1.0
w	ˈɛɪ̯_ŋ	1.0
v̥_#>	#>	1.0
v̥	f	1.0
tʲ	t	1.0
p_ə	b_m	1.0
p	p	1.0
m	m	1.0
lʲ	l_d̥	1.0
k	k	1.0
j_ˈœː	ˈyː	1.0
j_ə	ɣ	1.0
i	ɪ_ç	1.0
h	h	1.0
f	f	1.0
dʲ_ə	n	1.0
dʲ	d̥	1.0
<#_ʀ	<#_r	1.0
<#_tʲ	<#_d	1.0
<#_j	<#_l	1.0
<#	<#_v	1.0
#>	ə_#>	1.0
l	l	0.947
n	n	0.927
b	b	0.905
ʃ	ʃ	0.875
ˈiː	ˈɛɪ̯	0.792
ɡ	ɣ	0.778
ŋ	ŋ	0.769
d̥	d̥	0.75
t	t	0.745
v	v	0.731
ˈyː	ˈeo̯	0.714
d	d	0.68
s_#>	z̥_#>	0.667
n_ə	n_n	0.667
ˈɔː	-	0.636
x	x	0.625
ə	n	0.61
ˈœː	ˈuː	0.6
ˈaː	-	0.6
j	-	0.6
ʀ	ɐ	0.541
ˈɒ	ˈa	0.5
ˈa	ˈɪ	0.5
s	z	0.5
nʲ	n_d̥	0.5
nʲ	n	0.5
ˈi	ˈiː	0.476
ˈʊ	ˈʊ	0.471
ˈʏ	ˈuː	0.467
ʀ	r	0.459
ˈɛ	ˈɔʏ̯	0.444
s	s	0.438
ˈɔu̯	-	0.429
ˈɒː	ˈɒː	0.429
ˈi	ˈɪ	0.429
ˈuː	ˈeo̯	0.417
ˈœː	-	0.4
ˈaː	ˈoː	0.4
j	j	0.4
ˈɛː	ˈɛː	0.375
ˈɛː	ˈeː	0.375
ˈɛi̯	ˈɒː	0.375
x	ç	0.375
ˈɛ	-	0.333
s_#>	#>	0.333
n_ə	n	0.333
ˈɒ	-	0.3
ˈɔu̯	ˈɒː	0.286
ˈɔu̯	ˈoː	0.286
ˈɒː	ˈa	0.286
ˈɒː	-	0.286
ˈyː	-	0.286
ˈʏ	ˈʏ	0.267
ˈʏ	-	0.267
ˈœ	ˈaʊ̯	0.267
ˈœ	ˈa	0.267
ˈœ	-	0.267
ˈɛː	-	0.25
ˈɛi̯	ˈɛɪ̯	0.25
ˈɛi̯	ˈɔʏ̯	0.25
ˈuː	ˈoː	0.25
ˈuː	ˈa	0.25
ˈeː	ˈʏ	0.25
ˈeː	ˈɛ	0.25
ˈeː	ˈa	0.25
d̥	-	0.25
d	-	0.24
ˈʊ	ˈɪ	0.235
ŋ	-	0.231
ˈɛ	ˈiː	0.222
ɡ	j	0.222
ə	ə	0.22
ˈa	ˈa	0.214
ˈiː	-	0.208
ˈɒ	ˈɛ	0.2
ˈœ	ˈɔ	0.2
t	d	0.191
ˈɔː	ˈɔ	0.182
ˈɔː	ˈa	0.182
ˈʊ	-	0.176
ə	-	0.171
ˈeː	-	0.167
v	-	0.154
ˈa	ˈʏ	0.143
ˈa	ˈœ	0.143
ˈɛi̯	ɣ̊	0.125
ʃ	-	0.125
ˈʊ	ˈa	0.118
v	w	0.115
ˈi	-	0.095
b	-	0.095
ˈuː	ˈaɪ̯	0.083
ˈeː	ˈɛə̯	0.083
d	t	0.08
n	-	0.073
t	-	0.064
s	s_w	0.062
l	ˈɛ_l	0.053
