Latvian	Latvian	probability
ʧ	s	1.0
ʦ	k	1.0
ʎ	l	1.0
ɲ	-	1.0
ɡ̊	ɡ̊	1.0
ɡ_u	ɡʲ	1.0
ɛː	-	1.0
ɛ_#>	#>	1.0
æː	ɪ	1.0
z̥	z̥	1.0
w	-	1.0
u	-	1.0
s_#>	#>	1.0
r̩	r	1.0
p	p	1.0
l̩	w_ɔ	1.0
k_t	ʦ	1.0
j	ɪ_t	1.0
i_#>	#>	1.0
e	s_ɛ	1.0
d̥	d̥	1.0
d_u	d̥	1.0
b̥	b̥	1.0
b_a	bʲ	1.0
b	b	1.0
au̯	u	1.0
ai̯	ɪ	1.0
a_#>	a_#>	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
#>	a_#>	1.0
uɔ̯	u	0.818
z	z	0.778
ʃ	-	0.75
i	-	0.733
ɡ	ɡ	0.714
v	vʲ	0.7
æ	ɔ	0.667
<#	<#_j	0.625
l	w	0.6
d	d	0.6
r	r	0.583
k	k	0.556
a	ɔ	0.538
ʣ	ʐ	0.5
uː	ɨ	0.5
uː	v	0.5
aː	ɔ	0.5
aː	a	0.5
m	m	0.455
t	t	0.429
ɛ	a	0.417
r	rʲ	0.417
n	-	0.417
l	l	0.4
d	ʑ	0.4
<#	<#_v	0.375
m	mʲ	0.364
t	ɕ	0.357
ɛ	e	0.333
æ	-	0.333
iɛ̯	ɪ	0.333
iɛ̯	e	0.333
iɛ̯	-	0.333
a	a	0.308
v	v	0.3
ɡ	-	0.286
s	ɨ	0.286
ʣ	ʒ	0.25
ʣ	ʐ̊	0.25
ʃ	ʨ	0.25
ɛ	ɛ	0.25
n	ɲ	0.25
n	n	0.25
z	ɡ	0.222
k	ʦ	0.222
k	-	0.222
t	-	0.214
s	s	0.214
uɔ̯	-	0.182
m	-	0.182
s	ɔ	0.179
a	-	0.154
i	ɛ	0.133
i	ɕ	0.133
s	x	0.107
n	nʲ	0.083
s	ʦ	0.071
s	k	0.071
s	-	0.071
