Western Lombard	Brazilian Portuguese	probability
p	p	1.0
u	o	1.0
w	w	1.0
z	z	1.0
ɡ	ɡ	1.0
ʦ	s	1.0
ˈaː	ˈa	1.0
ˈẽː	ˈẽ	1.0
ˈĩː	ˈĩ	1.0
ˈø	ˈo	1.0
ˈøː	ˈo	1.0
j	-	0.781
l	l_u	0.141
ˈa	a	0.051
ˈy	ˈu	0.261
ˈɛ	ˈɛ	0.671
a	a	0.172
r	ɦ	0.132
t	t	0.572
ʋ	v	0.892
ˈi	ˈĩ	0.092
ˈɔ	ˈo	0.502
b	v	0.083
n	n	0.603
s	s	0.413
t	d	0.063
ʧ	-	0.573
ˈũː	ˈõ	0.903
ˈɔ	ˈo_w	0.113
a	-	0.084
a	ɐ	0.744
e	e	0.294
k	ɡ_u	0.134
r	ɾ_u	0.134
r	ɾ	0.364
s	ʃ	0.304
ˈãː	ˈɐ̃_w̃	0.484
ˈe	ˈɛ	0.604
ˈyː	ˈu	0.164
d	-	0.085
d	d	0.915
f	v	0.135
f	f	0.865
l	l	0.455
s	s_u	0.05
ɲ	j̃_u	0.185
ɲ	j̃	0.815
ˈa	ˈa	0.345
ˈɔ	ˈɔ	0.385
e	-	0.706
ˈa	ˈɐ̃	0.306
ˈãː	ˈɐ̃	0.516
ˈu	ˈo	0.586
ˈyː	ˈo	0.836
b	b	0.917
l	w	0.277
n	-	0.397
t	t_u	0.287
ˈe	ˈe_j	0.067
ˈu	ˈu	0.117
ˈũː	ˈɐ̃_w̃	0.097
l	-	0.128
m	m	0.988
r	-	0.308
t	ʧ_i	0.078
ʋ	b	0.108
ʧ	ʧ	0.058
ˈa	ˈa_h	0.28
ˈi	ˈi	0.908
ˈu	ˈɔ	0.298
j	u	0.219
k	k	0.79
s	j_ʃ	0.19
ʤ	ʒ	0.959
ʧ	s	0.369
ˈe	ˈe	0.329
ˈy	u	0.739
ˈɛ	ˈe	0.329
