French	Québécois French	probability
b	b	1.0
f	f	1.0
k	k	1.0
l	l	1.0
p	p	1.0
z	z	1.0
ɑ̃	ã	1.0
ɔ̃	ɒ̃ʊ̯̃	1.0
ɲ	ɲ	1.0
ʁ	ʁ	1.0
a	a	0.431
s	s	0.961
y	ʏ	0.151
t	ʦ	0.182
w	w	0.972
ɔ	ɑɔ̯	0.532
ɛ̃	ẽɪ̯̃	0.982
d	ʣ	0.333
i	ɪ	0.333
o	oʊ̯	0.783
u	u	0.863
ɛ	æɛ̯	0.813
a	ɛ	0.454
ə	œ	0.94
ɥ	ɥ	0.934
ʒ	ʒ	0.964
e	-	0.055
e	e	0.945
v	v	0.995
ɡ	ɡ	0.985
ø	j	0.086
œ	aœ̯	0.46
ɔ	ɔ	0.46
ɛ	ɛ	0.126
ɥ	-	0.066
a	ɑ	0.057
i	i	0.667
m	m	0.977
u	ʊ	0.137
d	d	0.648
j	j	0.978
n	n	0.978
t	t	0.818
y	y	0.818
œ	œ	0.498
o	o	0.209
ø	øʏ̯	0.89
ʃ	ʃ	0.99
