Lower Sorbian	Ukrainian	probability
b	b	1.0
d	d	1.0
kʲ	k	1.0
m	m	1.0
x	x	1.0
ɛ	ˈi	1.0
ʐ	ʒ	1.0
ʑ	d	1.0
ʨ	tʲ	1.0
ˈi	ˈɪ	1.0
ˈɨ	ˈɪ	1.0
i	ˈɪ_j	0.121
i	e	0.361
n	n	0.841
s	sʲ	0.251
t	d	0.161
vʲ	ʋ	0.141
w	ˈɔ	0.111
ɔ	ˈɔ	0.111
ɕ	t_e	0.241
ɕ	tʲ	0.331
ˈe	ˈɛ	0.481
k	k	0.782
p	b	0.242
vʲ	ʋ_j	0.292
z	z	0.872
ɔ	ɔ	0.722
ɕ	t	0.22
ʂ	ʒ	0.142
ˈa	ˈɑ	0.432
ˈu	ˈu	0.482
a	ɐ	0.363
l	lʲ	0.63
mʲ	m	0.863
w	ɫ	0.783
ɕ	-	0.163
ɡ	ɦ	0.873
ɨ	e_j	0.803
ɲ	n	0.103
ʦ	ʦʲ	0.163
j	ˈɔ	0.304
pʲ	p	0.394
rʲ	r	0.644
v	w	0.254
ʦ	ʧ	0.734
ˈa	ɐ	0.184
ˈe	ˈi	0.094
ˈɛ	ˈi	0.294
ˈɪ	ɐ	0.084
ˈɪ	j_ˈɑ	0.14
e	i	0.5
e	ɐ	0.5
k	ɦ	0.15
r	ɔ_r	0.185
ˈe	ɛ	0.425
ˈɔ	ɔ	0.25
j	j	0.696
pʲ	pʲ	0.606
r	rʲ	0.06
r	r	0.756
rʲ	rʲ	0.356
v	ʋ	0.746
w	ɔ_ɫ	0.106
ˈɔ	ˈi	0.36
ˈɪ	i	0.136
a	ˈɑ	0.637
l	ɫ	0.37
mʲ	mʲ	0.137
vʲ	ʋʲ	0.567
ɔ	ɛ	0.167
ɨ	ˈɪ_j	0.197
ɲ	nʲ	0.897
ˈɛ	ɔ	0.327
i	ˈɪ	0.518
p	p	0.758
z	zʲ	0.128
ʂ	r	0.858
ˈa	ˈɛ	0.338
ˈu	ʊ	0.518
n	nʲ	0.159
s	s	0.749
t	t	0.839
ɡ	ɦ_ˈɔ	0.109
ʦ	ʦ	0.079
ˈɔ	ˈɔ	0.39
ˈɛ	ˈɔ	0.379
ˈɪ	ˈi	0.639
