Xiang	Xiang	probability
⁴⁵_#>	#>	1.0
⁴⁵	d_s	1.0
⁴¹_#>	#>	1.0
ʨʰ_y	tʰ	1.0
ʨʰ_j	ʦʰ	1.0
ʨʰ	kʰ	1.0
ʦʰ	sʰ	1.0
ʐ	n_i	1.0
ʂ	l̥ʰ	1.0
ɥ	i	1.0
ɕ	s	1.0
ŋ	q	1.0
æ	a	1.0
¹³_#>	#>	1.0
³³_#>	#>	1.0
²⁴_#>	#>	1.0
²⁴	i_ɡ	1.0
²¹	-	1.0
z̩	j	1.0
y_⁴¹	a_ʔ	1.0
y	a	1.0
w_⁴¹	ʔ	1.0
w_ə	m_ɯ	1.0
w_¹³_#>	#>	1.0
w_³³_#>	u_#>	1.0
w_²⁴	ɡ	1.0
w	-	1.0
tʰ	l̥ʰ	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	n	1.0
n_⁴¹	n_ʔ	1.0
m	m	1.0
l̃_a	n_uː	1.0
l	r	1.0
kʰ	kʰ	1.0
k_w	kʷ	1.0
k	k	1.0
j_²¹	d_s	1.0
j_a	r_aː	1.0
e	-	1.0
a_j	ɯː	1.0
<#_ʨ	<#	1.0
ʨ	k	0.714
x	-	0.714
o_²⁴	ɡ	0.667
ɸ	p	0.625
⁴¹	-	0.6
ɤ	ɯː_ɡ	0.6
n_²¹	ŋ_s	0.6
#>	ʔ_#>	0.6
n	ŋ	0.594
u	ɯ_ʔ	0.5
u	aː_ʔ	0.5
t	lʼ	0.5
t	d	0.5
o	aː_l	0.5
o	aː	0.5
ẽ	o_n	0.5
ẽ	n	0.5
<#	<#_ɡ	0.417
⁴¹	l_ʔ	0.4
ɤ	aː_ɡ	0.4
n_²¹	n_s	0.4
a	aː	0.4
#>	s_#>	0.4
ɒ	uː	0.375
ɒ	u	0.375
s	s	0.375
s	h	0.375
j	l	0.364
ʦ	ʔ_s	0.333
ʦ	t	0.333
ʦ	-	0.333
o_²⁴	w	0.333
ə	oː	0.292
ʨ	ɡ	0.286
x	h_m	0.286
i	r	0.286
j	e	0.273
ɸ	-	0.25
ə	u	0.25
ɒ	e	0.25
s	d	0.25
<#	<#_ŋ	0.25
a	a	0.24
n	n	0.219
i	l	0.214
i	eː	0.214
j	r	0.182
j	eː	0.182
ə	i	0.167
<#	<#_ɢʷ	0.167
<#	<#_r	0.167
i	i	0.143
i	-	0.143
ɸ	hʷ	0.125
ə	o	0.125
n	m	0.125
a	ɯː	0.12
ə	ɯː	0.083
ə	ɯ	0.083
a	r_aː	0.08
a	r	0.08
a	o	0.08
n	ɯ_m	0.062
