Old West Norse	Luxembourgish	probability
θ	d	1.0
ˈɛi̯	ˈeː	1.0
ˈɔː	ˈu	1.0
ˈɔ_r	ɐ	1.0
ˈɑ_v	ˈu	1.0
ˈøy̯	-	1.0
ˈuː_ɣ	ə	1.0
ˈe_ɣ	ˈeː	1.0
ʦ	t	1.0
ʝː	ˈoː	1.0
ɾ	ɐ	1.0
ɣ_r̥	ɣ̊	1.0
ɡː	k	1.0
ɡ_r̥	ɐ	1.0
ɑː	e	1.0
ð_r̥	d̥	1.0
x	v	1.0
w_ˈɑ	ˈaː	1.0
tː_r̥	ɕ_t	1.0
tʰ	ʦ	1.0
sː	z̥	1.0
s_ˈy	z	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ɐ	1.0
r̥	ɐ	1.0
r_n	ʀ	1.0
r_i	ɐ	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	f	1.0
n̥	n	1.0
n_d	n	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
j_ˈuː	ˈɜɪ̯	1.0
j_ˈoː	ˈɜɪ̯	1.0
i_r̥	ɐ	1.0
h	h	1.0
f_r̥	v̥	1.0
f	f	1.0
e	ˈə	1.0
d_r̥	d̥	1.0
cː	k	1.0
cʰ	kʰ	1.0
c	ʃ	1.0
b	b	1.0
a	ə	1.0
ŋ	ŋ	0.864
ˈiː	ˈæːɪ̯	0.863
k	ɕ	0.84
l	l	0.811
n	n	0.81
ɑ	ə	0.752
i	-	0.738
ˈe	-	0.727
r	ʀ	0.706
ˈeː	ˈiː	0.702
nː	n	0.701
ˈøː	-	0.672
tː	ʦ	0.642
ˈɔ	-	0.639
v	v	0.634
ˈɑu̯	ˈaː	0.619
t	s	0.607
ˈy	-	0.565
ˈuː	ˈæːʊ̯	0.549
ɣ	ɕ	0.545
ɟ	ɡ	0.539
d	d̥	0.517
ˈɑ	ˈaː	0.516
ˈɑ_r	ɐ	0.505
ˈyː	-	0.501
ð	d	0.501
ˈɛ	ˈɛ	0.5
ˈɛ	ˈaː	0.5
ˈa	ˈɑ	0.5
ˈa	-	0.5
ˈyː	ˈɑɪ̯	0.499
ˈɑ_r	ˈaː	0.495
d	-	0.483
s	z	0.478
ˈi	ˈɑ	0.463
ɣ	-	0.455
ˈuː	ˈɑʊ̯	0.451
s	ʃ	0.448
u	ə	0.436
ˈy	ˈe	0.435
j	-	0.435
ˈɑu̯	ˈəʊ̯	0.381
ˈu	ˈo	0.373
ˈɔ	ˈɑ	0.361
tː	ɕ_t	0.358
ˈo	ˈuː	0.356
u	ŋ	0.348
ɡ	ɡ	0.344
ˈi	ˈə	0.333
ˈɑː	ˈoː	0.329
ˈøː	ˈɜɪ̯	0.328
ð	d̥	0.324
ˈoː	ˈo	0.306
ˈoː	-	0.303
nː	-	0.299
ˈeː	-	0.298
r	ɐ	0.294
j	ˈiː	0.29
ˈɑː	ˈɜɪ̯	0.283
ˈɑː	-	0.282
ɟ	-	0.281
ˈoː	ˈu	0.28
ˈɑ	ˈɑ	0.279
t	t	0.274
ɡ	ɕ	0.265
i	ɐ	0.262
ˈo	-	0.26
ɡ	-	0.249
u	-	0.216
v	w	0.214
ˈɑ	-	0.205
ˈi	-	0.205
ˈo	ˈo	0.2
n	-	0.19
l	l_ə	0.189
ˈo	ˈaː	0.183
ɟ	ʑ	0.18
ˈu	ˈə	0.178
ð	t	0.175
k	χ	0.16
ˈe	ˈe	0.159
j	ˈɜɪ̯	0.145
ɡ	ɡ̊	0.141
ˈiː	ˈe	0.137
ŋ	-	0.136
ɑ	n	0.134
j	ˈɛː	0.129
ˈu	-	0.127
t	ʦ	0.119
ˈu	ˈɔ	0.116
ˈu	ˈu	0.116
ɑ	-	0.114
ˈe	ˈiə̯	0.113
ˈoː	ˈəʊ̯	0.112
ˈɑː	ˈuə̯	0.106
ˈu	ˈɑʊ̯	0.09
v	ə_f	0.084
s	n	0.075
v	v̥	0.068
