Alsatian	Alsatian	probability
ˈʊː_t	ˈɔː_θ	1.0
ˈɛ	-	1.0
ˈɔi̯	ˈɑ_w	1.0
ˈɒː	ˈɑ	1.0
ˈɒ_s	ˈɑ_t	1.0
ˈɒ_n	ɑi̯	1.0
ˈøː	-	1.0
ˈø	ˈu	1.0
ˈæ	ˈe	1.0
ˈyː	ˈuː	1.0
ˈo	ˈu	1.0
ˈaː	-	1.0
ˈai̯	ˈɑu̯	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʁ_n	r_n	1.0
ʁ_#>	z_#>	1.0
ʁ	r	1.0
ɡ̊	ɣ	1.0
ə_ʁ	r	1.0
ə_#>	n_ɑ̃_#>	1.0
z̥	s	1.0
x_t	x_t	1.0
x	x	1.0
w	w	1.0
p͡f	-	1.0
p	p	1.0
n_z̥	n_s	1.0
m_#>	m_ɑ_z_#>	1.0
kʰ	k	1.0
k_s	x_s	1.0
k_#>	ɣ_j_ɔː_#>	1.0
j	ɣ_ɑ	1.0
h	x	1.0
eː	x_u	1.0
e	-	1.0
<#_ˈɒ	<#_ˈɑ	1.0
<#_ˈu	<#_ˈu	1.0
<#_ʦ	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d̥	<#_θ	1.0
<#	<#_x	1.0
m	m	0.95
l	l	0.917
ˈəi̯	ˈɑi̯	0.9
ˈɒ	ˈɑ	0.889
ˈu	ˈu	0.833
b̥	b	0.826
f	ɸ	0.8
n	n	0.795
ʋ	w	0.783
ˈi	ˈi	0.75
s	t	0.733
d̥	d	0.68
ˈæː	ˈe	0.667
ˈʊː	ˈɔː	0.6
ˈei̯	-	0.6
i	i	0.6
ə	ɑ_n	0.565
t	ð	0.533
ˈeː	ˈɑi̯_w	0.5
ˈeː	-	0.5
ŋ	ɡ	0.5
ŋ	ŋ	0.5
k	ɣ	0.5
k	k	0.5
<#_ʁ	<#_x_r	0.5
<#_ʁ	<#_r	0.5
ˈoː	ˈɑu̯	0.438
ˈe	ˈɑ	0.417
#>	ɑ̃_#>	0.413
ˈʊː	ˈɑu̯	0.4
ˈei̯	ˈɑi̯	0.4
ʃ	s_k	0.4
i	ɑ_ɣ	0.4
ˈoː	ˈɛː	0.375
#>	ɑ_z_#>	0.348
ˈæː	-	0.333
ˈe	ˈe	0.333
d̥	θ	0.32
ʃ	s	0.28
t	d	0.267
ˈiː	ˈiː	0.25
ˈiː	ˈeu̯	0.25
ˈe	-	0.25
ˈiː	ˈɔː	0.2
ˈiː	-	0.2
s	t_ɑ	0.2
f	p	0.2
#>	z_#>	0.196
ˈoː	-	0.188
b̥	β	0.174
ˈu	ˈu_ŋ	0.167
t	t	0.133
ʋ	xʷ	0.13
ʃ	k_s	0.12
ʃ	k	0.12
n	nː	0.114
ˈɒ	ˈɑ_ŋ	0.111
ə	ɛː	0.109
ˈi	ˈu	0.107
ˈi	-	0.107
ˈəi̯	jː	0.1
ˈiː	ˈi	0.1
ʋ	-	0.087
l	lː	0.083
ʃ	x	0.08
t	θ	0.067
s	sː	0.067
ə	i	0.065
