East Franconian	Zeelandic	probability
β	v_ə	1.0
ˈɛː	ˈɛː	1.0
ˈɛ_n	ˈæ_n	1.0
ˈɘ	ˈʊə̯	1.0
ˈɒː	ˈɛː	1.0
ˈɒ_l	ˈɑu̯	1.0
ˈaʊ̯	ˈyː	1.0
ˈa	x_ˈæ	1.0
ʦ	t	1.0
ɾ	-	1.0
ɪ	i_ŋ	1.0
ɣ̊	x	1.0
ɣ	x	1.0
ɡ̊_s	s	1.0
ə	-	1.0
z̥_n	t_ə	1.0
v̥	p	1.0
v_ˈɔ	ʋ	1.0
v	ʋ	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ_ŋ	1.0
f_a	v̥	1.0
eː	iː	1.0
d̥_r	d_ɾ	1.0
b̥͡v̥	p	1.0
l	ɫ	0.916
m	m	0.874
f	v	0.874
r	ɾ	0.868
a	ə	0.855
s	z	0.842
b̥	b	0.725
ˈɒ	ˈɑ	0.708
ˈɔ	ˈɔ	0.69
ç	k	0.683
n	n	0.665
ŋ	ŋ	0.664
ˈoː	ˈɛː	0.645
ɐ	ɾ	0.628
ɡ̊	x	0.595
ʃ	s	0.59
ˈeː	ˈɪə̯	0.578
ˈʊ	ˈɔ	0.52
x	k	0.519
ˈɪ	ˈɪ	0.497
ˈiː	ˈiː	0.494
x	x	0.481
ˈuː	ˈʊə̯	0.467
ˈaɪ̯	ˈi	0.431
ˈaː	ˈʊə̯	0.426
d̥	d	0.424
ˈeː	ˈeː	0.422
z̥	z̥	0.416
z̥	z_ə	0.404
ˈaː	ˈæi̯	0.358
ŋ	x_ə	0.336
d̥	d̥	0.33
ç	-	0.317
ˈɔ	ˈʊə̯	0.31
ˈɛ	ˈæ	0.3
ˈɪ	ˈi	0.283
b̥	v̥	0.275
n	ə	0.253
ˈʊ	ˈu	0.247
ɡ̊	k	0.245
ˈɛ	ˈʏ	0.236
ˈɛ	ˈeː	0.236
ʃ	s_x	0.23
d̥	t	0.23
ˈɪ	-	0.22
ˈiː	ˈɪ	0.22
ˈaː	ˈɪə̯	0.216
ˈuː	ˈu	0.201
ˈuː	ˈuː	0.199
ˈaɪ̯	ˈiː	0.19
z̥	t_ə	0.181
ʃ	z	0.18
ɐ	ə_ɾ	0.176
ɡ̊	k_ə	0.16
ˈoː	ˈɑ	0.149
ˈɛ	ˈɛː	0.145
a	-	0.145
ˈʊ	ˈʏ	0.135
ˈuː	ˈøː	0.132
ˈaɪ̯	-	0.132
ɐ	ɾ_ə	0.132
r	-	0.132
ˈaɪ̯	ˈyː	0.129
m	v_ə	0.126
f	p	0.126
ˈaɪ̯	ˈɪ	0.118
ˈɒ	ˈɒː	0.115
s	t	0.113
ˈiː	ˈuː	0.108
ˈiː	-	0.105
ˈoː	ˈøː	0.103
ˈoː	-	0.103
ˈʊ	ˈøː	0.098
ˈɒ	-	0.09
ˈɒ	ˈɛː	0.087
ˈɛ	ˈɑ	0.084
l	l	0.084
n	n_d	0.083
ˈiː	ˈiːə̯	0.072
ɐ	ə	0.064
