Saterland Frisian	West Frisian	probability
f	f	1.0
h	h	1.0
i	ɪ	1.0
ɡ	ɡ	1.0
ˈaːi̯	ˈɛi̯	1.0
ˈeːu̯	ˈaː	1.0
ˈiːu̯	ˈeː	1.0
ˈøː	ˈuː	1.0
ˈœː	ˈeː	1.0
ˈɔːɪ̯	ˈaː	1.0
b	b	0.951
d	d̥	0.381
d	d	0.41
j	ˈiə̯	0.091
j	j	0.581
r	r	0.941
ɣ	z	0.091
ɣ	χ	0.1
ˈa	ˈaː	0.121
ˈaː	ˈiə̯	0.121
ˈaː	ˈa	0.311
ˈaːu̯	ˈɔu̯	0.91
ˈoː	ˈɪ	0.081
ˈɔ	ˈɔ	0.301
ˈɔː	ˈoə̯	0.221
ˈɛ	ˈa	0.321
ˈɛː	ˈɪ	0.281
n	n	0.982
z	z	0.792
ɣ	ɡ	0.412
ɪ	ɪ	0.12
ˈa	ˈɔ	0.2
ˈeː	ˈiə̯	0.512
ˈi	ˈɪ	0.242
ˈuː	ˈɔ	0.122
ˈɛɪ̯	ˈɛː	0.12
ˈɛɪ̯	ˈɛ	0.132
d	-	0.143
s	s	0.913
t	ʦ	0.053
w	ˈuː	0.333
w	f	0.333
w	v	0.333
ŋ	ŋ	0.903
ɪ	-	0.183
ˈa	ˈɪ	0.393
ˈaː	ˈɛː	0.363
ˈeː	ˈaː	0.063
ˈi	-	0.063
ˈiː	ˈɪə̯	0.053
ˈiː	ˈiː	0.313
ˈoːu̯	ˈoː	0.093
ˈɛ	ˈø	0.073
ˈɛɪ̯	ˈiə̯	0.383
ˈɛː	ˈɛː	0.333
ˈʊ	j	0.053
m	m	0.914
x	χ	0.814
ˈi	ˈɛi̯	0.134
ˈoː	-	0.184
ˈu	ˈoː	0.314
ˈuː	ˈuː	0.204
ˈyː	ˈiː	0.194
ˈɔ	ˈa	0.404
ˈɔː	ˈɪə̯	0.124
ˈɛ	ˈɛi̯	0.074
ˈɛɪ̯	ˈɪə̯	0.064
a	ə	0.475
a	ˈiə̯	0.525
t	t	0.935
ə	ə	0.875
ˈaː	ˈaː	0.205
ˈeː	ˈeː	0.095
ˈi	ˈiː	0.055
ˈoːu̯	ˈɔu̯	0.085
ˈoːu̯	ˈuə̯	0.255
ˈɛɪ̯	ˈi	0.055
ˈɪ	ˈi	0.065
ˈɪ	ˈɪ	0.825
ˈʊ	ˈu	0.305
k	k	0.936
m	-	0.086
p	p	0.986
ɪ	ə	0.696
ˈi	ˈi	0.506
ˈoːu̯	ˈaː	0.056
ˈoːu̯	ˈoə̯	0.206
ˈu	ˈuː	0.686
ˈuː	ˈuə̯	0.36
ˈɔː	ˈɔ	0.056
ˈɔː	ˈaː	0.206
ˈɔː	ˈa	0.216
ˈɛ	ˈɛ	0.396
ˈɛː	ˈɛ	0.386
k	-	0.057
v	-	0.127
x	ɣ	0.127
ŋ	n	0.097
ˈa	ˈɛ	0.057
ˈoː	ˈaː	0.07
ˈuː	ˈy	0.067
ˈuː	ˈoə̯	0.107
ˈyː	ˈøə̯	0.637
ˈɔ	ˈɪ	0.27
ˈɔː	ˈɪ	0.117
ˈɛ	ˈɪ	0.137
ˈɛɪ̯	ˈaː	0.077
ˈʊ	ˈɔ	0.557
j	ɡ	0.068
v	v	0.278
z	s	0.208
ə	-	0.108
ɣ	-	0.128
ˈeː	ˈɪ	0.108
ˈiː	ˈi	0.148
ˈiː	ˈɛ	0.168
ˈiː	ˈiə̯	0.268
ˈoːu̯	ˈɔː	0.218
ˈɪ	ˈɛi̯	0.068
j	-	0.259
l	l	0.979
v	ʋ	0.569
x	ŋ	0.059
ɣ	ɣ	0.269
ˈa	ˈa	0.229
ˈaːu̯	ˈaː	0.09
ˈeː	ˈɪə̯	0.099
ˈoː	ˈɪə̯	0.409
ˈuː	ˈyː	0.059
ˈyː	ˈyː	0.169
