Icelandic	Elfdalian	probability
θ	tʰ	1.0
ˈʏ_r̥	rː	1.0
ˈɛi̯	ˈiːe̯	1.0
ˈɔː	-	1.0
ˈɔu̯	-	1.0
ˈɑu̯	-	1.0
ˈœː	-	1.0
ˈu	ˈʉ	1.0
ˈou̯	-	1.0
ˈaːu̯	ˈɔː	1.0
ˈau̯	ˈɔː	1.0
ˈai̯	-	1.0
ʰt͡n̥	t_n	1.0
ʰt	tː	1.0
ʰp	pː	1.0
ʰk	kː	1.0
ʰc	ʨː	1.0
ʏ_r̥	ɑ̃	1.0
ɲ	ŋ	1.0
ɣ	ɣ	1.0
ɡ̊ː	ɡː	1.0
ɟ̊ː	ʥː	1.0
ɑu̯	ʉ	1.0
ŋ	ŋ	1.0
ð_ɪ	r	1.0
ð	ð	1.0
ç	j	1.0
x	ɣ	1.0
t͡n̥	n	1.0
tʰ	tʰ	1.0
sː	sː	1.0
s_t͡l̥	l̥	1.0
s	s	1.0
r_ð	r_d	1.0
r_t͡n̥	nː	1.0
r	r	1.0
pʰ	pʰ	1.0
nː	nː	1.0
m	m	1.0
l_v	v	1.0
kʰ_v	w	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈɛː	ˈɪ̃ː	1.0
j_ʏ	ʉ	1.0
j_a	ɑ	1.0
i	ɪ	1.0
h	ˈoː	1.0
f_ˈɪ	f	1.0
d̥	d	1.0
cʰ	ʨ	1.0
c	ʨ	1.0
b̥	b	1.0
aːu̯	ɔ̃	1.0
r̥	r	0.946
f	f	0.899
ˈʏ	ˈʉ	0.891
n	n	0.88
t	t	0.868
t͡l̥	lː	0.854
p	p	0.829
a	ɑ	0.808
ˈaː	ˈɑː	0.797
ˈi	ˈɪ	0.783
ˈʏː	-	0.766
ˈœːy̯	ˈœː	0.753
ˈɔ	ˈʉə̯	0.732
ˈa	ˈɑ	0.705
ɡ̊	ɡ	0.689
l	ɽ	0.685
ˈoːu̯	ˈʉːə̯	0.663
ʏ	ɛ	0.659
j	j	0.647
ˈœ	-	0.628
ɟ̊	ʥ	0.6
ˈɪ	ˈɪ	0.57
ˈuː	ˈɑːu̯	0.544
ˈɑːu̯	ˈɔː	0.529
ɪ	ɛ	0.523
l̥	ɽ	0.5
l̥	-	0.5
v	w	0.498
ˈɛːi̯	ˈiːe̯	0.47
ˈaːi̯	ˈyːœ̯	0.459
v	v	0.425
n̥	kʰ_n	0.423
ɟ̊	ɡ	0.4
ɪ	-	0.393
ˈiː	ˈɑːi̯	0.39
ˈɪː	ˈɪː	0.38
ˈɪː	ˈɛ	0.367
ˈiː	ˈɪː	0.36
ˈaːi̯	ˈæː	0.353
j	-	0.353
ʏ	-	0.341
ˈɛ	ˈɛ	0.32
ˈɛː	ˈɪː	0.314
ˈœ	ˈɑ	0.305
ˈɛː	-	0.288
n̥	ɛ_n	0.288
n̥	n	0.288
ˈuː	ˈʉːə̯_ɣ	0.28
ˈɛːi̯	-	0.27
ˈɔ	ˈo	0.268
ˈɛːi̯	ˈæː	0.259
ˈɪː	ˈɪ	0.253
ˈɛ	ˈæ	0.252
ˈiː	-	0.25
ˈɛː	ˈɛ	0.248
ˈœːy̯	ˈoː	0.247
ˈɑːu̯	-	0.238
ˈʏː	ˈʉː	0.234
ˈɑːu̯	ˈɔ̃ː	0.233
ˈɪ	ˈʏ	0.232
ˈi	-	0.217
l	l	0.213
ˈa	-	0.208
ˈoːu̯	-	0.206
ˈaː	ˈɔ	0.203
ˈɪ	-	0.198
ˈaːi̯	-	0.188
ˈuː	ˈʉːə̯	0.176
ˈɛ	-	0.174
p	mː	0.171
ɡ̊	ɛ	0.161
a	ɔ	0.158
ˈɛː	ˈɛː	0.151
t͡l̥	ɽ	0.146
t	tː	0.132
ˈoːu̯	ˈʉ̃ːə̯	0.13
ˈɛ	ˈɪ	0.127
ˈɛ	j_ˈæ	0.127
n	-	0.12
ˈʏ	ˈʉː_ɣ	0.109
l	-	0.102
f	f_ˈʉːə̯	0.101
ˈa	ˈo	0.086
ɪ	ʏ	0.084
ɡ̊	ɣ	0.084
v	-	0.077
ˈœ	ˈœ	0.068
ɡ̊	-	0.065
r̥	ɣ	0.054
