Ripuarian	Afrikaans	probability
b	b	1.0
d	d	0.817
d	-	0.105
d	d̥	0.078
d̥	d̥	0.715
d̥	r_d̥	0.138
d̥	d	0.074
d̥	-	0.072
e	i	1.0
f	f	0.757
f	p	0.202
h	ɦ	0.96
j	χ	0.864
j	j	0.071
j	-	0.066
k	k	0.726
k	χ	0.152
k	-	0.057
k	d̥	0.055
l	ɫ	0.959
m	m	0.964
n	n	0.875
n	-	0.076
p	p	0.809
p	f	0.191
s	t	0.521
s	s	0.479
t	t	0.869
t	d̥	0.131
v	-	0.478
v	v	0.458
v	f	0.065
v̥	v̥	0.895
v̥	f	0.105
x	χ	0.838
x	k	0.162
z	s	1.0
ŋ	n	0.507
ŋ	ŋ	0.456
ɐ	r	0.579
ɐ	ə	0.281
ɐ	i	0.056
ɐ	ˈəɪ̯	0.056
ɕ	k	0.459
ɕ	χ	0.452
ɕ	-	0.079
ə	-	0.457
ə	ə	0.429
ə	j	0.114
ɡ̊	d̥	0.697
ɡ̊	ɡ̊	0.134
ɡ̊	χ	0.098
ɡ̊	-	0.07
ɣ	χ	0.818
ɣ	-	0.182
ɪ	ə	0.852
ɪ	-	0.148
ʀ	r	0.986
ʃ	s	1.0
ʋ	v	0.778
ʋ	w	0.222
ʦ	t	0.847
ʦ	r_t	0.153
ˈa	ˈa	0.722
ˈa	ˈɛː	0.066
ˈa	ˈɪ	0.066
ˈa	ˈœu̯	0.062
ˈaʊ̯	ˈœɪ̯	0.512
ˈaʊ̯	ˈœu̯	0.259
ˈaʊ̯	ˈʊə̯	0.181
ˈaː	ˈa	0.479
ˈaː	ˈɑː	0.388
ˈaː	ˈɪø̯	0.081
ˈaː	ˈɛː	0.051
ˈe	ˈə	0.728
ˈe	ˈəɪ̯	0.123
ˈeɪ̯	ˈɪə̯	0.597
ˈeɪ̯	ˈəɪ̯	0.333
ˈeɪ̯	ˈi	0.07
ˈeː	ˈi	0.57
ˈeː	ˈɪə̯	0.185
ˈeː	ˈə	0.073
ˈeː	ˈɛ	0.073
ˈeː	ˈəɪ̯	0.065
ˈiː	ˈəɪ̯	0.324
ˈiː	ˈi	0.296
ˈiː	ˈɑː	0.122
ˈiː	ˈæ	0.074
ˈiː	ˈə	0.065
ˈiː	ˈʊə̯	0.064
ˈiː	ˈɪə̯	0.056
ˈo	ˈɔ	0.729
ˈo	ˈu	0.107
ˈo	ˈɑː	0.083
ˈoʊ̯	ˈʊə̯	1.0
ˈoː	ˈɑː	0.381
ˈoː	ˈʊə̯	0.241
ˈoː	ˈu	0.237
ˈoː	ˈɔ	0.089
ˈoː	ˈɪø̯	0.052
ˈu	ˈɔ	0.811
ˈu	ˈɪø̯	0.189
ˈuː	ˈœɪ̯	0.472
ˈuː	ˈʊə̯	0.36
ˈuː	ˈoːɪ̯	0.075
ˈuː	ˈɔ	0.075
ˈyː	ˈʊə̯	0.445
ˈyː	ˈyː	0.252
ˈyː	j	0.114
ˈyː	ˈœɪ̯	0.088
ˈyː	ˈə	0.082
ˈøʏ̯	ˈi	1.0
ˈøː	ˈu	0.741
ˈøː	-	0.115
ˈøː	ˈʊə̯	0.091
ˈœ	ˈœ	0.524
ˈœ	ˈi	0.238
ˈœ	ˈəɪ̯	0.238
ˈɔ	ˈɔ	0.699
ˈɔ	ˈʊə̯	0.198
ˈɔ	ˈɑː	0.103
ˈɛ	ˈɪə̯	0.307
ˈɛ	ˈɛ	0.226
ˈɛ	ˈa	0.132
ˈɛ	ˈəɪ̯	0.104
ˈɛ	ˈæ	0.093
ˈɛ	ˈɑː	0.06
ˈɛ	ˈə	0.051
ˈɛː	ˈɪə̯	0.531
ˈɛː	ˈæː	0.201
ˈɛː	ˈa	0.076
ˈɛː	ˈɑː	0.076
ˈɛː	ˈɔː	0.066
ˈɪ	ˈə	0.477
ˈɪ	ˈɛ	0.175
ˈɪ	ˈəɪ̯	0.159
ˈɪ	ˈɛː	0.134
ˈʊ	ˈɔ	0.812
ˈʊ	ˈœ	0.188
ˈʏ	ˈʊə̯	0.435
ˈʏ	ˈɪə̯	0.19
ˈʏ	ˈɛ	0.19
ˈʏ	ˈi	0.149
