Faroese	Afrikaans	probability
a	-	0.986
b̥	b	0.929
b̥	-	0.071
d̥	d	0.785
d̥	t	0.196
d̥_ʊ	t	1.0
f	f	0.87
f	-	0.073
f	v	0.061
h	ɦ	0.959
h	k	0.052
j	-	0.577
j	t	0.158
j	ˈɪə̯	0.158
j	ɫ	0.055
j	ˈæː	0.054
k	k	0.573
k	-	0.393
kʰ	k	0.935
kʰ	f	0.064
kʰ_v	v	1.0
l	ɫ	0.687
l	l	0.21
l	-	0.094
l_a	ɫ	1.0
l_ʊ	ɫ	1.0
l̥	ɫ	0.413
l̥	-	0.219
l̥	l	0.219
l̥	ˈœu̯	0.105
l̥_ʊ	ɫ	1.0
m	m	0.923
m	-	0.078
m_a	m	1.0
m_j	m	0.514
m_ʊ	m	1.0
n	n	0.9
n	-	0.097
nː	n	0.687
nː	n_t	0.29
n̥	n	0.324
n̥	ŋ	0.238
n̥	-	0.152
n̥	ə	0.137
p	p	1.0
r	ˈi	0.514
s	s	0.925
s	r_s	0.063
sː	s	1.0
t	t	0.607
t	-	0.392
tʰ	d	0.612
tʰ	t	0.348
tː	f	0.339
tː	p	0.174
v	v	0.439
v	-	0.291
v	w	0.141
v	p	0.057
v	f	0.057
v_ʊ	f	0.542
v_ʊ	χ	0.435
w	-	0.484
w	t	0.324
w	ˈuː	0.093
w	m	0.075
ŋ	ŋ	1.0
ə	ə	0.514
ɛ	ə	0.514
ɡ̊	-	0.501
ɡ̊	χ	0.456
ɡ̊	k	0.05
ɡ̊_l	ɫ	1.0
ɡ̊_ʊ	ə	0.359
ɡ̊_ʊ	χ	0.313
ɪ	ə	0.509
ɪ	-	0.491
ɪ_ɹ	r	1.0
ɲ	ŋ	0.514
ɹ	-	0.637
ɹ	r	0.362
ɹ_a	r	1.0
ɹ_ʊ	r	1.0
ɹː	r	1.0
ʃ	s	1.0
ʈ	t	1.0
ʊ	-	0.943
ʊ	ə	0.05
ʊ_ɹ	ə	0.517
ʊ_ɹ	r	0.45
ʊ̯ˈiː	ˈœi̯	0.514
ʎ	ɫ	0.514
ʤ̊	-	0.327
ʤ̊	χ	0.264
ʤ̊	d	0.18
ʤ̊	t	0.103
ʤ̊	n	0.087
ʧ	k	0.574
ʧ	χ	0.295
ʧʰ	d	0.425
ʧʰ	k	0.322
ʧʰ	v	0.19
ʧː	χ	0.514
ʰkː	ŋ_k	0.683
ʰkː	k	0.232
ʰp	p	0.629
ʰp	p_ə	0.361
ʰt	t	1.0
ʰtː	χ	0.629
ʰtː	χ_t	0.361
ʰtː_ʊ	χ	0.514
ʰʧ	k	1.0
ˈa	ˈa	0.582
ˈa	-	0.093
ˈa	ˈɑː	0.092
ˈa	ˈæ	0.071
ˈa	ˈɔː	0.071
ˈai̯	ˈəɪ̯	0.488
ˈai̯	ˈɪə̯	0.488
ˈaːi̯	ˈəɪ̯	0.723
ˈaːi̯	ˈɪə̯	0.214
ˈeə̯	ˈɪə̯	0.514
ˈeː	ˈa	0.268
ˈeː	ˈi	0.172
ˈeː	ˈɛ	0.172
ˈeː	ˈəɪ̯	0.117
ˈeː	ˈɪə̯	0.117
ˈeː_v	ˈɪə̯	1.0
ˈiː	ˈə	0.398
ˈiː	ˈɪə̯	0.339
ˈiː	ˈɛː	0.132
ˈiː	ˈʊə̯	0.072
ˈoː	ˈɑː	0.53
ˈoː	ˈʊə̯	0.161
ˈoː	ˈœu̯	0.095
ˈuː	ˈɪə̯	0.219
ˈuː	ˈɔ	0.202
ˈuː	ˈɪø̯	0.202
ˈuː	ˈi	0.14
ˈøː	ˈu	0.398
ˈøː	ˈɪø̯	0.15
ˈøː	ˈɑː	0.117
ˈøː	-	0.101
ˈøː	ˈɛ	0.101
ˈœ	ˈɔ	0.245
ˈœ	ˈɛ	0.158
ˈœ	r	0.123
ˈœ	ˈɔː	0.12
ˈœ	ˈu	0.12
ˈɔ	ˈa	0.434
ˈɔ	ˈʊə̯	0.211
ˈɔ	ˈɔ	0.194
ˈɔ	ˈɑː	0.088
ˈɔ	ˈɪø̯	0.064
ˈɔːi̯	ˈʊə̯	1.0
ˈɔːu̯	ˈi	0.384
ˈɔːu̯	ˈu	0.362
ˈɔːu̯	-	0.091
ˈɔːu̯	ˈɔ	0.091
ˈɔːu̯	ˈə	0.058
ˈɔ̯aː	ˈɑː	0.509
ˈɔ̯aː	ˈʊə̯	0.243
ˈɔ̯aː	ˈi	0.14
ˈɔ̯aː	ˈa	0.083
ˈɛ	ˈɛ	0.462
ˈɛ	ˈa	0.426
ˈɛ	ˈə	0.097
ˈɛ_ɡ̊	ˈɪə̯	1.0
ˈɛːa̯	ˈa	0.464
ˈɛːa̯	ˈɑː	0.24
ˈɛːa̯	ˈi	0.142
ˈɛːa̯	ˈɛː	0.082
ˈɛːa̯	ˈɪə̯	0.07
ˈɛːi̯	ˈʊə̯	0.71
ˈɛːi̯	ˈɪə̯	0.143
ˈɛːi̯	ˈoːi̯	0.101
ˈɪ	ˈə	0.459
ˈɪ	ˈɛ	0.208
ˈɪ	ˈœ	0.154
ˈɪ	ˈuːi̯	0.088
ˈɪ	ˈɔ	0.073
ˈʉːu̯	ˈœɪ̯	0.829
ˈʉːu̯	ˈi	0.144
ˈʊ	ˈɔ	0.519
ˈʊ	ˈi	0.134
ˈʊ	ˈœu̯	0.071
ˈʊ	ˈʊə̯	0.071
ˈʊ	ˈœ	0.071
ˈʊ̯iː	ˈəɪ̯	0.491
ˈʊ̯iː	ˈi	0.187
ˈʊ̯iː	ˈyː	0.159
ˈʊ̯iː	ˈœɪ̯	0.079
ˈʊ̯iː	ˈə	0.079
ˈʏ	ˈə	0.288
ˈʏ	ˈi	0.251
ˈʏ	ˈɔ	0.148
