Faroese	Afrikaans	probability
a	-	0.739
a	j	0.185
a	ə	0.063
b̥	b	0.989
d̥	d	0.781
d̥	t	0.201
f	f	0.829
f	-	0.13
h	ɦ	0.908
h	k	0.092
j	-	0.714
j	t	0.116
j	ɦ	0.067
k	k	0.713
k	-	0.287
kʰ	k	1.0
l	ɫ	0.928
l	-	0.072
l̥	ɫ	0.805
l̥	-	0.195
m	m	0.917
m	-	0.083
mː	m	1.0
n	n	0.943
nː	n	1.0
n̥	ŋ	0.486
n̥	n	0.322
n̥	ə	0.111
n̥	-	0.082
p	p	1.0
r	-	0.598
r	r	0.402
s	s	0.937
sː	s	1.0
t	t	0.562
t	r	0.261
t	-	0.176
tʰ	d	0.478
tʰ	t	0.339
tʰ	b	0.1
tʰ	j	0.082
tː	p	0.879
tː	f	0.121
v	v	0.462
v	-	0.264
v	w	0.118
v	f	0.085
v	χ	0.051
w	-	0.503
w	t	0.234
w	χ	0.206
w	m	0.057
ŋ	ŋ	0.877
ŋ	n	0.123
ɑ	-	1.0
ɛ	ə	1.0
ɡ̊	-	0.505
ɡ̊	χ	0.471
ɡ̊ː	χ	1.0
ɪ	ə	0.689
ɪ	-	0.228
ɪ	ˈʊə̯	0.082
ɲ	ŋ	1.0
ɹ	r	0.808
ɹ	-	0.16
ɹː	-	1.0
ʃ	s	1.0
ʈ	t	1.0
ʊ	-	0.939
ʊ	ə	0.061
ʎ	ˈɔ	1.0
ʤ̊	χ	0.459
ʤ̊	d	0.273
ʤ̊	-	0.267
ʤ̊ː	-	0.532
ʤ̊ː	χ	0.266
ʤ̊ː	n	0.144
ʤ̊ː	t	0.058
ʧ	k	0.67
ʧ	χ	0.33
ʧʰ	k	0.692
ʧʰ	d	0.264
ʧː	χ	1.0
ʰk	k	1.0
ʰkː	ŋ_k	0.948
ʰkː	k	0.052
ʰp	p	1.0
ʰpː	p	1.0
ʰt	t	1.0
ʰtː	t	0.513
ʰtː	χ	0.487
ʰʧ	k	1.0
ʰʧː	k	1.0
ˈa	ˈa	0.654
ˈa	ˈɑː	0.123
ˈa	ˈæː	0.061
ˈa	ˈœu̯	0.057
ˈai̯	ˈɪə̯	0.798
ˈai̯	ˈəɪ̯	0.202
ˈaːi̯	ˈəɪ̯	0.552
ˈaːi̯	ˈɪə̯	0.448
ˈeə̯	ˈɪə̯	1.0
ˈeː	ˈɛ	0.327
ˈeː	ˈɪə̯	0.272
ˈeː	ˈæ	0.136
ˈeː	ˈi	0.113
ˈeː	ˈə	0.066
ˈiː	ˈə	0.45
ˈiː	ˈɪə̯	0.26
ˈiː	ˈɛː	0.169
ˈiː	-	0.121
ˈoː	ˈɔ	0.63
ˈoː	ˈʊə̯	0.272
ˈoː	ˈɑː	0.098
ˈuː	ˈɔ	0.336
ˈuː	ˈɪø̯	0.232
ˈuː	ˈi	0.216
ˈuː	ˈɪə̯	0.216
ˈøː	ˈu	0.434
ˈøː	ˈɑː	0.229
ˈøː	ˈɪə̯	0.133
ˈøː	ˈɪø̯	0.127
ˈøː	ˈɛ	0.076
ˈœ	ˈæ	0.238
ˈœ	ˈɔ	0.209
ˈœ	ˈa	0.093
ˈœ	-	0.093
ˈœ	ˈæː	0.087
ˈœ	ˈu	0.074
ˈœ	ˈɔː	0.074
ˈœ	ˈɪ	0.051
ˈɔ	ˈa	0.359
ˈɔ	ˈʊə̯	0.229
ˈɔ	ˈɔ	0.121
ˈɔ	ˈɪø̯	0.109
ˈɔ	-	0.069
ˈɔ	ˈœ	0.068
ˈɔːi̯	ˈʊə̯	1.0
ˈɔːu̯	ˈi	0.437
ˈɔːu̯	ˈu	0.309
ˈɔːu̯	-	0.153
ˈɔːu̯	ˈɔ	0.1
ˈɔ̯aː	ˈɑː	0.714
ˈɔ̯aː	ˈʊə̯	0.178
ˈɔ̯aː	ˈa	0.055
ˈɔ̯aː	ˈi	0.053
ˈɛ	ˈa	0.325
ˈɛ	ˈæ	0.176
ˈɛ	ˈɛ	0.167
ˈɛ	ˈɪə̯	0.09
ˈɛ	ˈɑː	0.089
ˈɛ	-	0.064
ˈɛːa̯	ˈa	0.306
ˈɛːa̯	ˈɑː	0.267
ˈɛːa̯	ˈəɪ̯	0.131
ˈɛːa̯	ˈɪə̯	0.13
ˈɛːa̯	ˈi	0.064
ˈɛːa̯	ˈʊə̯	0.059
ˈɛːi̯	ˈʊə̯	0.727
ˈɛːi̯	ˈɪə̯	0.159
ˈɛːi̯	ˈoːɪ̯	0.114
ˈɪ	ˈə	0.498
ˈɪ	ˈœ	0.101
ˈɪ	ˈɛ	0.092
ˈɪ	ˈəɪ̯	0.075
ˈɪ	ˈæ	0.069
ˈʉːu̯	ˈœɪ̯	0.593
ˈʉːu̯	ˈi	0.239
ˈʉːu̯	ˈyː	0.168
ˈʊ	ˈɔ	0.543
ˈʊ	ˈʊə̯	0.087
ˈʊ	ˈœɪ̯	0.071
ˈʊ	-	0.066
ˈʊ	ˈœ	0.066
ˈʊ	ˈi	0.065
ˈʊ	v_ˈɔ	0.059
ˈʊ̯iː	ˈəɪ̯	0.511
ˈʊ̯iː	ˈyː	0.201
ˈʊ̯iː	ˈi	0.157
ˈʊ̯iː	ˈə	0.097
ˈʏ	ˈi	0.392
ˈʏ	ˈœɪ̯	0.237
ˈʏ	ˈə	0.237
ˈʏ	ˈɔ	0.134
