Latin	Latin	probability
ˈʊ_ɫ	ˈu_l	1.0
ˈʊ	ˈu	1.0
ˈɛ̃ː	ˈa	1.0
ˈɔ_r	ˈɔ_l	1.0
ˈɔ_n	ˈo_n	1.0
ˈyː	ˈi	1.0
ˈuː	ˈu	1.0
ˈu	-	1.0
ˈoe̯	ˈe	1.0
ˈo	-	1.0
ˈiː_w	ˈi	1.0
ˈiː_n	ˈi_n	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ˈaː	ˈa	1.0
ˈae̯	ˈɛ	1.0
ˈa	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ɫ_ʊ̃ː	u	1.0
ɫ_ɛ̃ː	l_i	1.0
ɪ̃	i	1.0
ɪ_k	i_k	1.0
ɡʷ	ɡ	1.0
ɡ_ɪ	ˈi	1.0
ɡ_ɛ	ɟ	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃	i	1.0
ɛ_r	a_r	1.0
ɛ_#>	#>	1.0
ŋ_ɡ	ɲː	1.0
w_ʊ̃ː	u	1.0
w_ɛ̃ː	i	1.0
uː	u	1.0
tː	tː	1.0
tʰ	d	1.0
t_ʊ̃ː	t_u	1.0
t_ãː	t_a	1.0
s_ˈa	s_ˈa	1.0
s_k	ʃː	1.0
rː	rː	1.0
r_ˈa	r_ˈa	1.0
r_ʊ̃ː	r_u	1.0
r_ɛ̃ː	r_i	1.0
r_ɛ_#>	#>	1.0
r_n	rː	1.0
oː	u	1.0
nː	nː	1.0
n_ˈʊ	n_ˈɔ	1.0
n_e	ɲː	1.0
n_ãː	n_a	1.0
mː	m	1.0
lʲː	ɖː	1.0
lʲ_i	ɖː	1.0
lʲ	l	1.0
kː	kː	1.0
k_ʊ	cː	1.0
k_ɫ	c	1.0
k_ɛ̃ː	ʧ_i	1.0
k_t	tː	1.0
k_a	k_a	1.0
j	ɟ	1.0
ĩː	i_n	1.0
f	f	1.0
eː	i	1.0
d_ʊ̃ː	u	1.0
d_i	ɟː	1.0
d	d	1.0
bː	bː	1.0
b_ɛ	ˈi	1.0
ãː	a	1.0
a_ɫ	a_l	1.0
a	a	1.0
<#_ˈʊ	<#_ˈu	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_kʷ	<#_ʧ	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#_au̯	<#_a	1.0
ʊ̃ː	u	0.961
p	p	0.863
s	s	0.848
ˈɔ	ˈɔ	0.84
b	b	0.833
n	n	0.814
<#_ˈa	<#_ˈa	0.8
ŋ	ŋ	0.778
w	v	0.773
ɔ	u	0.769
ʊ	u	0.75
ˈiː	ˈi	0.739
ˈeː	ˈe	0.733
s_#>	#>	0.727
t	t	0.722
sː	sː	0.714
iː	i	0.714
aː	a	0.714
m	m	0.708
ɪ	i	0.7
ˈɛ	ˈɛ	0.675
kʷ	k	0.667
i	-	0.667
r	r	0.657
ɛ̃ː	i	0.606
ˈoː	ˈo	0.6
ˈau̯	ˈɔ	0.6
ˈɪ	ˈi	0.588
ɫ	l	0.567
t_i	ʦ	0.5
t_i	ʒ	0.5
e	i	0.5
e	-	0.5
ɡ	-	0.467
ˈau̯	-	0.4
k	k	0.389
ɛ	i	0.353
kʷ	-	0.333
i	j	0.333
k	ʧ	0.306
ɪ	-	0.3
ɛ	ˈi	0.294
sː	-	0.286
r	l	0.286
iː	-	0.286
aː	-	0.286
ɛ̃ː	u	0.273
s_#>	j_#>	0.273
ˈeː	-	0.267
ɡ	ɟ	0.267
ˈɛ	ˈe	0.25
ʊ	-	0.25
ˈɪ	-	0.235
ɛ	-	0.235
ɫ	j	0.233
ɔ	-	0.231
ŋ	-	0.222
m	mː	0.208
ɡ	ɡ	0.2
<#_ˈa	<#	0.2
ˈɪ	ˈɛ	0.176
ˈiː	i	0.174
k	ɡ	0.167
b	-	0.167
ˈɔ	ˈo	0.16
s	z	0.152
ˈoː	ˈɔ	0.15
ˈoː	-	0.15
t	-	0.139
w	-	0.136
ɛ̃ː	a	0.121
ɛ	ˈe	0.118
ˈoː	ˈu	0.1
p	-	0.098
n	nː	0.093
w	b	0.091
ˈiː	-	0.087
t	tː	0.083
m	-	0.083
k	-	0.083
ˈɛ	ˈa	0.075
ɫ	u_l	0.067
ɫ	i	0.067
ɫ	-	0.067
ɡ	ʤ	0.067
r	ˈe	0.057
t	ʦː	0.056
k	ʃː	0.056
