Danish	Danish	probability
ˈʌˀ	-	1.0
ˈɶˀ	ˈu_k	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɛ_l	l	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈu	1.0
ˈø	-	1.0
ˈæˀ	ˈɒː	1.0
ˈæ	-	1.0
ˈyː	ˈiː	1.0
ˈyˀ	ˈiː	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈeː	-	1.0
ˈaː	ˈɒ	1.0
ʦʰ_ʁ	d̥_ʁ	1.0
ʌ	ə_ʁ	1.0
ʁ	ʁ	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɕ	s_ˈeː	1.0
ɐˀ_n	ʁ_n	1.0
ɐˀ	ʁ	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
w_ə	n	1.0
s_ɡ̊	ʃ	1.0
s_#>	z̥_#>	1.0
nˀ_#>	#>	1.0
n_ə	n_d̥	1.0
m	m	1.0
lˀ	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j_#>	#>	1.0
h	h	1.0
f	f	1.0
d̥_ʁ	t_ʁ	1.0
d̥_#>	ʦ_#>	1.0
b̥_#>	f_#>	1.0
<#_ˈo	<#_ʋ	1.0
<#_n	<#_n	1.0
ʋ	ʋ	0.8
b̥	b̥	0.773
ˈoˀ	ˈʊː	0.75
ˈa	ˈɒ	0.75
n	n	0.7
ˈu	ˈo	0.667
w	-	0.667
<#	<#_ʋ	0.667
ˈe	ˈi	0.647
ˈuˀ	ˈyː	0.6
ˈiː	ˈiː	0.571
ˈiˀ	ˈi	0.571
d̥	t	0.556
ˈeˀ	ˈəi̯	0.545
ʦʰ	ʦ	0.545
nˀ	n_d̥	0.545
ð̞ˠ	t	0.517
ˈɔˀ	ˈoː	0.5
ˈɔˀ	-	0.5
ˈɑˀ	ˈɒː_ʁ	0.5
ˈɑˀ	-	0.5
ˈɑ	ˈɒ	0.5
ˈɑ	ˈi	0.5
ˈøː	ˈʊː	0.5
ˈøː	-	0.5
ˈo	ˈo	0.5
ˈo	-	0.5
ɡ̊	ɡ̊	0.5
ɐ	ʁ	0.5
s	ʃ	0.5
s	s	0.5
j	-	0.5
ð̞ˠ	s	0.483
ˈʌ	ˈu	0.455
ˈeˀ	-	0.455
ʦʰ	d̥	0.455
nˀ	n	0.455
ˈœ	ˈu	0.444
ˈœ	-	0.444
d̥	d̥	0.444
ˈiː	-	0.429
ˈiˀ	ˈiː	0.429
ɐ	ə_ʁ	0.409
ˈœˀ	ˈoː	0.4
ˈœˀ	-	0.4
ɡ̊	k	0.389
ˈɛ	ˈɒ	0.375
ˈɛ	-	0.375
ˈu	ˈu	0.333
w	j	0.333
<#	<#_ˈɒ	0.333
#>	n_#>	0.333
ˈuˀ	-	0.3
ˈʌ	-	0.273
#>	t_#>	0.267
ˈɛ	x	0.25
ˈoˀ	-	0.25
ˈa	ˈɒː	0.25
j	ʃ	0.25
j	h	0.25
ˈe	ˈe	0.235
ˈœˀ	ˈiː	0.2
ʋ	-	0.2
n	n_d̥	0.2
#>	ʁ_#>	0.2
#>	f_#>	0.2
ˈʌ	ˈɒ	0.182
ˈe	-	0.118
ˈœ	ˈai̯	0.111
ɡ̊	i_ʃ	0.111
ˈuˀ	ˈøi̯	0.1
n	-	0.1
ˈʌ	ˈœ	0.091
ɐ	ə	0.091
b̥	f	0.091
b̥	-	0.091
