Romansch	Spanish	probability
a	a	1.0
b	b	0.725
b	p	0.142
b	k	0.105
d	ð	0.473
d	d	0.462
eː	ˈe	1.0
f	-	0.493
f	f	0.197
f	ˈe_β	0.137
f	β	0.089
f	θ	0.084
i	-	0.334
i	e	0.211
i	u	0.211
i	o	0.124
i	i	0.121
j	j	0.221
j	-	0.213
j	w	0.178
j	ɣ	0.174
j	ˈe	0.144
j	o	0.051
k	k	0.811
k	ɟ͡ʝ	0.126
k	ɣ	0.063
l	l	0.68
l	-	0.167
l	ʝ	0.125
m	m	0.978
n	n	0.869
n	ɲ	0.094
o	o	1.0
p	p	0.857
p	ð	0.055
p	ɟ͡ʝ	0.054
r	ɾ	0.832
r	r	0.075
r	-	0.063
s	s	0.767
s	θ	0.088
t	t	0.624
t	ð	0.276
u	o	0.677
u	i	0.127
u	a	0.083
u	ˈo	0.064
v	b	0.605
v	β	0.35
w	β	0.344
w	-	0.336
w	ɣ	0.221
w	ˈo	0.056
z	t	0.786
z	s	0.214
ŋ	ŋ	1.0
ə	a	0.629
ə	-	0.147
ə	ˈe	0.112
ə	e	0.103
ɡ	ɡ	0.588
ɡ	-	0.23
ɡ	ɣ	0.182
ɲ	ɲ	0.746
ɲ	n	0.204
ʃ	θ	0.471
ʃ	e_s	0.231
ʃ	-	0.167
ʃ	ɟ͡ʝ	0.067
ʎ	x	0.853
ʎ	-	0.077
ʎ	l	0.07
ʒ	b	1.0
ʥ	-	0.402
ʥ	x	0.202
ʥ	b	0.119
ʥ	ɣ	0.119
ʥ	ʝ	0.104
ʦ	ʧ	0.93
ʦ	θ	0.07
ʦː	t	1.0
ʧ	θ	0.741
ʧ	ɣ	0.155
ʧ	k	0.083
ʨ	k	0.748
ʨ	ʧ	0.14
ʨ	-	0.058
ʨ	t	0.054
ˈa	ˈa	0.646
ˈa	-	0.245
ˈa	ˈi	0.066
ˈaː	ˈa	0.909
ˈaː	ˈe	0.091
ˈe	ˈe	0.665
ˈe	ˈo	0.132
ˈe	e	0.106
ˈe	ˈa	0.052
ˈeː	ˈe	1.0
ˈi	ˈi	0.475
ˈi	ˈu	0.27
ˈi	j	0.185
ˈiː	ˈi	0.941
ˈiː	ˈu	0.059
ˈoː	ˈo	1.0
ˈu	ˈo	0.444
ˈu	w	0.277
ˈu	ˈu	0.178
ˈu	o	0.057
ˈuɔ̯	w	1.0
ˈuː	ˈo	1.0
ˈɔ	ˈa	0.395
ˈɔ	w	0.318
ˈɔ	o	0.159
ˈɔ	ˈo	0.1
ˈɔː	w	0.853
ˈɔː	ˈa	0.147
ˈɛ	ˈe	0.384
ˈɛ	j	0.339
ˈɛ	ˈi	0.1
ˈɛ	-	0.059
ˈɛː	j	1.0
