East Low German	Proto-Germanic	probability
b	b	0.801
b	β	0.084
b	ɸ	0.055
b	p	0.055
d	θ	0.442
d	d	0.407
d	θ_ɑ̃	0.066
d	-	0.046
d	ð	0.03
f	ɸ	0.819
f	β_ɑ	0.078
f	β_ɑ̃	0.059
f	β	0.038
f	pː	0.03
h	x	0.951
h	-	0.043
h	k	0.033
j	ɣ	0.766
j	j	0.221
k	k	0.376
k	k_s	0.214
k	k_i	0.146
k	ɡ_ɑ	0.087
k	ɣ	0.077
kʰ	k	1.0
l	l	0.612
l	l_ɑ	0.117
l	l_i	0.06
l	lː	0.058
l	l_u	0.057
m	m	0.624
m	ɑ_n	0.143
m	m_ɔːː	0.07
m	m_i	0.061
m	β	0.053
n	n	0.77
n	nː	0.067
n	u_n	0.041
n	-	0.037
n	n_u	0.034
p	p	0.591
p	p_ɑ̃	0.155
p	pː	0.119
p	x	0.089
r	r	1.0
s	s	0.705
s	s_ɑ̃	0.166
s	x_s	0.123
t	t	0.402
t	t_ɑ	0.241
t	ð_ɑ̃	0.104
t	ð_ɑ	0.053
t	ð_i	0.051
tʰ	t	1.0
v	w	0.747
v	xʷ	0.134
v	β	0.105
w	w	1.0
x	x	0.564
x	ɣ_ɑ	0.324
x	ɣ	0.079
z	s	0.919
z	m	0.081
æ	r	0.241
æ	ɛː	0.147
æ	ɔː	0.117
æ	r_ɑ̃	0.087
æ	r_ɑ	0.082
ç	z	0.279
ç	x	0.191
ç	ɣ_j	0.13
ç	ɣ	0.113
ç	ɣ_ɑ	0.099
ŋ	ŋ_ɡ	0.348
ŋ	ŋ	0.31
ŋ	ɣ	0.192
ŋ	n_x	0.121
ɡ	ɣ	1.0
ɣ	w	0.243
ɪ	ɑ	0.843
ɪ	ˈi	0.103
ɾ	ð	0.582
ɾ	θ	0.284
ɾ	i	0.086
ʃ	s	0.494
ʃ	s_k	0.465
ʃ	ɸ	0.045
ˈa	ˈɑ	1.0
ˈae̯	ˈɑi̯	0.468
ˈae̯	ˈeu̯	0.292
ˈae̯	ˈe	0.121
ˈae̯	ˈiː	0.064
ˈae̯	ˈi	0.053
ˈaɪ̯	ˈeu̯	0.493
ˈaʊ̯	ˈɑu̯	0.46
ˈaʊ̯	ˈɔː	0.364
ˈaʊ̯	ˈɑ	0.08
ˈaʊ̯	ˈɑi̯	0.053
ˈaʊ̯	ˈuː	0.042
ˈaː	ˈɑ_r	0.404
ˈaː	ˈe_r	0.182
ˈaː	ˈe	0.182
ˈaː	ˈɑ	0.156
ˈeː	ˈɑi̯	0.561
ˈeː	ˈɑ	0.425
ˈiː	ˈiː	0.515
ˈiː	ˈi	0.169
ˈiː	ˈe	0.107
ˈiː	ˈeː	0.059
ˈiː	ˈiu̯	0.059
ˈoː	ˈɛː	0.441
ˈoː	ˈu	0.253
ˈoː	ˈɑu̯	0.156
ˈoː	ˈe	0.07
ˈuː	ˈuː	0.587
ˈuː	ˈu	0.345
ˈuː	ɔ̃ː	0.064
ˈyː	ˈiu̯	0.425
ˈyː	ˈɑu̯	0.28
ˈyː	ˈɔː	0.28
ˈøː	ˈu	0.425
ˈøː	ˈɑu̯	0.322
ˈøː	u	0.183
ˈœ	ˈe	0.361
ˈœ	ˈɑu̯	0.205
ˈœ	ˈɑ	0.205
ˈœ	ˈu	0.052
ˈœː	ˈu	0.761
ˈœː	ˈuː	0.089
ˈœː	ˈe	0.089
ˈɒː	ˈɑ	0.444
ˈɒː	ˈɛː	0.312
ˈɒː	ˈɑ_x	0.119
ˈɒː	ˈe	0.068
ˈɒː	ˈu	0.055
ˈɔ	ˈu	0.693
ˈɔ	ˈɑ	0.122
ˈɔ	ˈeu̯	0.091
ˈɔ	ˈɑi̯	0.073
ˈɔʏ̯	ˈɔː	0.457
ˈɔʏ̯	ˈɑu̯	0.347
ˈɔʏ̯	ˈɔ	0.149
ˈɛ	ˈe	0.513
ˈɛ	ˈɑ	0.296
ˈɛ	ˈi	0.103
ˈɛ	ˈɔː	0.06
ˈɛː	ˈe	0.536
ˈɛː	ˈɑ	0.384
ˈɪ	ˈi	0.58
ˈɪ	ˈe	0.101
ˈɪ	ˈɑi̯	0.091
ˈɪ	ˈeu̯	0.079
ˈɪ	ˈɑ	0.046
ˈʊ	ˈu	0.887
ˈʊ	ˈuː	0.071
ˈʊ	ˈɔː	0.047
ˈʏ	ˈu	0.695
ˈʏ	j	0.152
ˈʏ	w	0.152
