East Low German	Proto-Germanic	probability
b	b	0.833
b	β	0.122
d	θ	0.495
d	d	0.414
f	ɸ	0.786
f	β_ɑ	0.086
f	β_ɑ̃	0.057
h	x	0.924
h	k	0.056
j	ɣ	0.922
j	j	0.078
k	k	0.6
k	k_i	0.217
k	ɣ	0.101
kʰ	k	1.0
l	l	0.722
l	l_ɑ	0.128
l	x_l	0.057
m	m	0.487
m	m_ɑ	0.176
m	n_ɑ̃	0.088
m	β	0.061
m	m_i	0.052
n	n	0.539
n	ɑ_n	0.178
p	p	0.747
p	p_ɑ̃	0.186
r	r	0.969
s	s	0.668
s	s_ɑ̃	0.189
s	x_s	0.142
t	t	0.361
t	t_ɑ	0.287
t	ð_ɑ̃	0.097
t	ð_ɑ	0.064
tʰ	t	1.0
v	w	0.758
v	xʷ	0.192
w	w	1.0
x	x	0.549
x	ɣ_ɑ	0.367
x	ɣ	0.084
z	s	0.938
z	-	0.062
æ	r	0.304
æ	ɔː	0.14
æ	i	0.117
æ	ɛː	0.116
æ	r_ɑ̃	0.072
æ	r_ɑ	0.058
æ	ɔːː	0.053
ç	x	0.202
ç	ɣ_j	0.188
ç	ɣ_ɑ	0.142
ç	z	0.121
ç	ɣ	0.108
ç	ɑ_z	0.094
ç	ɣ_i	0.086
ç	ɡ	0.06
ŋ	ŋ	0.697
ŋ	ɣ	0.252
ŋ	n	0.05
ɡ	ɣ	1.0
ɣ	w	1.0
ɪ	ɑ	0.573
ɪ	ˈi	0.219
ɪ	i	0.124
ɪ	ŋ	0.083
ɾ	ð	0.528
ɾ	θ	0.365
ɾ	i	0.107
ʃ	s_k	0.553
ʃ	s	0.427
ˈa	ˈɑ	1.0
ˈae̯	ˈɑi̯	0.482
ˈae̯	ˈeu̯	0.238
ˈae̯	ˈe	0.163
ˈae̯	ˈiː	0.067
ˈaɪ̯	ˈeu̯	1.0
ˈaʊ̯	ˈɑu̯	0.427
ˈaʊ̯	ˈɔː	0.407
ˈaʊ̯	ˈɑ	0.068
ˈaː	ˈɑ_r	0.448
ˈaː	ˈe_r	0.392
ˈaː	ˈɑ	0.16
ˈeː	ˈɑi̯_w	0.703
ˈeː	ˈɑ	0.297
ˈiː	ˈiː	0.532
ˈiː	ˈi	0.14
ˈiː	ˈe	0.13
ˈiː	ˈeu̯	0.097
ˈiː	ˈeː	0.06
ˈoː	ˈɛː	0.569
ˈoː	ˈu	0.254
ˈoː	ˈɑu̯	0.12
ˈoː	ˈe	0.057
ˈuː	ˈuː	0.499
ˈuː	ˈu	0.358
ˈuː	ˈɑu̯	0.063
ˈuː	ɔ̃ː	0.059
ˈyː	ˈɑu̯	0.381
ˈyː	ˈiu̯	0.247
ˈyː	ˈɔː	0.157
ˈyː	ˈu	0.125
ˈyː	ˈɑi̯	0.09
ˈøː	ˈu	0.592
ˈøː	u	0.204
ˈøː	ˈɑu̯	0.204
ˈœ	ˈe	0.463
ˈœ	ˈɑ	0.263
ˈœ	ˈu	0.175
ˈœ	ˈɑu̯	0.099
ˈœː	ˈu	0.859
ˈœː	ˈe	0.111
ˈɒː	ˈɑ	0.367
ˈɒː	ˈɛː	0.26
ˈɒː	ˈɑ_x	0.236
ˈɒː	ˈu	0.107
ˈɔ	ˈu	0.622
ˈɔ	ˈɑ	0.151
ˈɔ	ˈeu̯	0.128
ˈɔ	ˈɑi̯	0.099
ˈɔʏ̯	ˈɑu̯	0.535
ˈɔʏ̯	ˈɔː	0.383
ˈɔʏ̯	ˈɔ	0.082
ˈɛ	ˈe	0.435
ˈɛ	ˈɑ	0.325
ˈɛ	ˈi	0.151
ˈɛ	ɑ	0.057
ˈɛː	ˈe	0.644
ˈɛː	ˈɑ	0.356
ˈɪ	ˈi	0.701
ˈɪ	ˈɑi̯	0.084
ˈɪ	ˈɑ	0.062
ˈʊ	ˈu	0.899
ˈʊ	ˈuː	0.073
ˈʏ	ˈu	0.669
ˈʏ	ˈi	0.247
ˈʏ	ˈe	0.084
